"id";"date_instantiated";"street_address";"address_locality";"address_region";"postal_code";"year_closed";"year_demolished";"capacity";"name"
5449;"2020-10-14 04:36:30";"119 West 39th St.";"New York";"NY";"";0;1926;0;"39th Street Theatre"
5476;"2020-10-14 04:36:30";"1363 Old Globe Way";"San Diego";"CA";"92101";0;0;0;"Old Globe Theatre"
5480;"2020-10-14 04:36:30";"445 Geary St";"San Francisco";"CA";"94102";0;0;1665;"Curran Theatre"
5488;"2020-10-14 04:36:30";"217 West 45th Street";"New York";"NY";"";0;1982;954;"Morosco Theatre"
5506;"2020-10-14 04:36:30";"300 King Street West Toronto, ON M5V 1J2, Canada";"Toronto";"";"";0;0;0;"Princess of Wales Theatre"
5509;"2020-10-14 04:36:30";"";"Los Angeles";"CA";"";0;0;0;"Huntington Hartford Theatre"
5525;"2020-10-14 04:36:30";"1567 Broadway at 47th Street";"New York";"NY";"";0;2000;1100;"Central Theatre"
5537;"2020-10-14 04:36:30";"219 West 48th St.";"New York";"NY";"";0;0;945;"Walter Kerr Theatre"
5542;"2020-10-14 04:36:30";"1887 Broadway at 62nd St.";"New York";"NY";"";0;1977;1265;"Harkness Theatre"
5544;"2020-10-14 04:36:30";"1481 Broadway";"New York";"NY";"";0;1998;1960;"Rialto Theatre"
5548;"2020-10-14 04:36:30";"3011 W Grand Blvd # F1";"Detroit";"MI";"48202";0;0;2975;"Fisher Theatre"
5556;"2020-10-14 04:36:30";"";"Cohoes";"NY";"";0;0;0;"Cohoes Musical Hall"
5557;"2020-10-14 04:36:30";"264 Tremont Street";"Boston";"MA";"";0;0;1200;"Wilbur Theatre"
5558;"2020-10-14 04:36:30";"";"Los Angeles";"CA";"";0;0;3086;"Dorothy Chandler Pavillion"
5559;"2020-10-14 04:36:30";"2700 F Street";"Washington";"DC";"20566";0;0;2318;"Kennedy Center [Opera House]"
5562;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"New Locust Theatre"
5563;"2020-10-14 04:36:30";"";"Oakland, CA";"";"";0;0;50000;"Oakland Coliseum"
5567;"2020-10-14 04:36:30";"106 Boylston St.";"Boston";"MA";"";0;0;0;"Colonial Theatre"
5568;"2020-10-14 04:36:30";"100 E. 17th Street";"New York";"NY";"";0;0;499;"Union Square Theatre"
5573;"2020-10-14 04:36:30";"70 S. Main St.";"New Hope, PA";"";"";0;0;0;"Bucks County Playhouse"
5574;"2020-10-14 04:36:30";"";"Owing Mills, MD";"";"";0;0;0;"Painters Mill Music Fair"
5575;"2020-10-14 04:36:30";"";"Westbury, NY";"";"";0;0;0;"Westbury Music Fair"
5578;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"American Shakespeare Theatre"
5581;"2020-10-14 04:36:30";"260 King Street West";"Toronto";"";"";0;0;1500;"Royal Alexandra Theatre"
5582;"2020-10-14 04:36:30";"";"Phoenix, AZ";"";"";0;0;0;"Palace West Theatre"
5585;"2020-10-14 04:36:30";"25 Hopkins Plaza";"Baltimore, MD";"";"";0;0;1600;"Mechanic Theatre"
5586;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Blackstone Theatre"
5609;"2020-10-14 04:36:30";"";"St. Louis, MO";"";"";0;0;12000;"St. Louis Municipal Theatre"
5622;"2020-10-14 04:36:30";"109 West 39th Street";"New York";"NY";"";0;1960;900;"Maxine Elliott's Theatre"
5624;"2020-10-14 04:36:30";"125 W. 48th St.";"New York";"NY";"";0;1951;500;"Belmont Theatre"
5637;"2020-10-14 04:36:30";"485 Broadway";"New York";"NY";"";0;1869;0;"Olympic Theatre"
5640;"2020-10-14 04:36:30";"64-6 Nassau Street";"New York";"NY";"";0;0;0;"Nassau Street Theatre"
5641;"2020-10-14 04:36:30";"15-21 John Street";"New York";"NY";"";0;1798;0;"John Street Theatre"
5649;"2020-10-14 04:36:30";"46-8 Bowery";"New York";"NY";"";0;0;0;"Bowery Theatre"
5651;"2020-10-14 04:36:30";"444 Broadway";"New York";"NY";"";0;1866;0;"American Theatre"
5654;"2020-10-14 04:36:30";"Chatham Street (Roosevelt & James)";"New York";"NY";"";0;0;2200;"Chatham Theatre"
5658;"2020-10-14 04:36:30";"39-41 Chambers St.";"New York";"NY";"";0;0;0;"Burton's Chamber Street Theatre"
5673;"2020-10-14 04:36:30";"Canal and Hester";"New York";"NY";"";0;1866;0;"New Bowery Theatre"
5685;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Old Bowery Theatre"
5697;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Wood's Theatre"
5703;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Thèåtre Français"
5705;"2020-10-14 04:36:30";"107 West 14th Street";"New York";"NY";"";0;1938;1100;"14th Street Theatre"
5714;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Lina Edwin's"
5717;"2020-10-14 04:36:30";"539-41 Broadway";"New York";"NY";"";0;1868;0;"Barnum's New Museum"
5720;"2020-10-14 04:36:30";"8th Ave. & 23rd St.";"New York";"NY";"";0;1961;1890;"Grand Opera House"
5721;"2020-10-14 04:36:30";"231 Broadway";"New York";"NY";"";0;0;0;"Tammany Hall"
5726;"2020-10-14 04:36:30";"24th St. (5th and Madison)";"New York";"NY";"";0;1873;1254;"Daly's Fifth Avenue Theatre"
5731;"2020-10-14 04:36:30";"622 Broadway";"New York";"NY";"";0;1880;0;"Laura Keene's Varieties"
5735;"2020-10-14 04:36:30";"Edgeware Road";"London";"";"";1962;1963;1855;"Metropolitan Music Hall"
5741;"2020-10-14 04:36:30";"23rd St. (6th Ave.)";"New York";"NY";"";0;1883;0;"Booth's Theatre"
5744;"2020-10-14 04:36:30";"West 23rd Street & 6th Avenue";"New York";"NY";"";0;1901;0;"Bryant's Opera House"
5748;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Theatre Francaise"
5763;"2020-10-14 04:36:30";"Piccadilly Circus";"London";"";"";0;0;591;"Criterion Theatre"
5783;"2020-10-14 04:36:30";"1239 Broadway";"New York";"NY";"";0;1915;0;"Bijou Theatre"
5792;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Banvard's Opera House"
5794;"2020-10-14 04:36:30";"61 Madison Avenue";"New York";"NY";"";0;1925;1200;"Garden Theatre"
5798;"2020-10-14 04:36:30";"1514-16 Broadway (44th St.)";"New York";"NY";"";0;1935;0;"Olympia Theatre: Lyric Theatre"
5800;"2020-10-14 04:36:30";"201 West 42nd Street";"New York";"NY";"";0;1935;1200;"Hammerstein's Victoria Theatre"
5802;"2020-10-14 04:36:30";"138 N. Main St.";"Dayton, OH";"";"";0;0;0;"Victoria Theatre"
5803;"2020-10-14 04:36:30";"1230 Fifth Avenue";"New York";"NY";"";0;0;0;"Heckscher Theatre"
5809;"2020-10-14 04:36:30";"17 Irving Pl.";"New York";"NY";"";0;0;0;"Irving Plaza"
5817;"2020-10-14 04:36:30";"123 West 43rd St.";"New York";"NY";"";0;0;0;"Town Hall"
5822;"2020-10-14 04:36:30";"2025 Broadway";"Oakland, CA";"";"";0;0;0;"Paramount Theatre"
5829;"2020-10-14 04:36:30";"Broadway at 39th St.";"New York";"NY";"";0;1967;3045;"Metropolitan Opera House"
5830;"2020-10-14 04:36:30";"22 E. 27th St. (Madison Ave.), Roof";"New York";"NY";"";0;1925;0;"Madison Square Roof Garden"
5831;"2020-10-14 04:36:30";"44th St., near 5th Ave.";"New York";"NY";"";0;0;0;"Mrs. Osborn's Playhouse"
5842;"2020-10-14 04:36:30";"201 W. 42nd St., Roof";"New York";"NY";"";0;1935;0;"Paradise Roof Garden"
5860;"2020-10-14 04:36:30";"214 W. 42nd St.";"New York";"NY";"";0;0;680;"New Amsterdam Roof"
5862;"2020-10-14 04:36:30";"";"Hollywood";"CA";"";0;0;0;"El Capitan Theatre"
5871;"2020-10-14 04:36:30";"";"Philadelphia";"PA";"";0;0;1052;"Walnut Street Theatre"
5889;"2020-10-14 04:36:30";"1537 Broadway";"New York";"NY";"";0;1982;0;"Astor Theatre"
5892;"2020-10-14 04:36:30";"Broadway & 66th St.";"New York";"NY";"";0;0;0;"Lincoln Square Theatre"
5905;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Tammany Grand Theatre"
5906;"2020-10-14 04:36:30";"";"";"";"";0;0;0;"Wood's Museum"
