id,street_address,address_locality,address_region,postal_code,year_closed,year_demolished,capacity,name
5654,Chatham Street (Roosevelt & James),New York,NY,NULL,NULL,NULL,2200,Chatham Theatre
5658,39-41 Chambers St.,New York,NY,NULL,NULL,NULL,NULL,Burton's Chamber Street Theatre
5673,Canal and Hester,New York,NY,NULL,NULL,1866,NULL,New Bowery Theatre
5685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Old Bowery Theatre
5697,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Wood's Theatre
5703,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Thèåtre Français
5705,107 West 14th Street,New York,NY,NULL,NULL,1938,1100,14th Street Theatre
5714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Lina Edwin's
5717,539-41 Broadway,New York,NY,NULL,NULL,1868,NULL,Barnum's New Museum
5720,8th Ave. & 23rd St.,New York,NY,NULL,NULL,1961,1890,Grand Opera House
5721,231 Broadway,New York,NY,NULL,NULL,NULL,NULL,Tammany Hall
5726,24th St. (5th and Madison),New York,NY,NULL,NULL,1873,1254,Daly's Fifth Avenue Theatre
5731,622 Broadway,New York,NY,NULL,NULL,1880,NULL,Laura Keene's Varieties
5735,Edgeware Road,London,NULL,NULL,1962,1963,1855,Metropolitan Music Hall
5741,23rd St. (6th Ave.),New York,NY,NULL,NULL,1883,NULL,Booth's Theatre
5744,West 23rd Street & 6th Avenue,New York,NY,NULL,NULL,1901,NULL,Bryant's Opera House
5748,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Theatre Francaise
5763,Piccadilly Circus,London,NULL,NULL,NULL,NULL,591,Criterion Theatre
5783,1239 Broadway,New York,NY,NULL,NULL,1915,NULL,Bijou Theatre
5792,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Banvard's Opera House
5794,61 Madison Avenue,New York,NY,NULL,NULL,1925,1200,Garden Theatre
5798,1514-16 Broadway (44th St.),New York,NY,NULL,NULL,1935,NULL,Olympia Theatre: Lyric Theatre
5800,201 West 42nd Street,New York,NY,NULL,NULL,1935,1200,Hammerstein's Victoria Theatre
5802,138 N. Main St.,"Dayton, OH",NULL,NULL,NULL,NULL,NULL,Victoria Theatre
5803,1230 Fifth Avenue,New York,NY,NULL,NULL,NULL,NULL,Heckscher Theatre
5809,17 Irving Pl.,New York,NY,NULL,NULL,NULL,NULL,Irving Plaza
5817,123 West 43rd St.,New York,NY,NULL,NULL,NULL,NULL,Town Hall
5822,2025 Broadway,"Oakland, CA",NULL,NULL,NULL,NULL,NULL,Paramount Theatre
5829,Broadway at 39th St.,New York,NY,NULL,NULL,1967,3045,Metropolitan Opera House
5830,"22 E. 27th St. (Madison Ave.), Roof",New York,NY,NULL,NULL,1925,NULL,Madison Square Roof Garden
5831,"44th St., near 5th Ave.",New York,NY,NULL,NULL,NULL,NULL,Mrs. Osborn's Playhouse
5842,"201 W. 42nd St., Roof",New York,NY,NULL,NULL,1935,NULL,Paradise Roof Garden
5860,214 W. 42nd St.,New York,NY,NULL,NULL,NULL,680,New Amsterdam Roof
5862,NULL,Hollywood,CA,NULL,NULL,NULL,NULL,El Capitan Theatre
5871,NULL,Philadelphia,PA,NULL,NULL,NULL,1052,Walnut Street Theatre
5889,1537 Broadway,New York,NY,NULL,NULL,1982,NULL,Astor Theatre
