year,season,season_link,winner,author,author_link,production,production_link
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Pembroke Davenport,,13 Daughters,https://en.wikipedia.org/wiki/13_Daughters
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Elliot Lawrence,https://en.wikipedia.org/wiki/Elliot_Lawrence,Bye Bye Birdie,https://en.wikipedia.org/wiki/Bye_Bye_Birdie_(musical)
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Stanley Lebowsky,https://en.wikipedia.org/wiki/Stanley_Lebowsky,Irma La Douce,https://en.wikipedia.org/wiki/Irma_La_Douce
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Peter Matz,https://en.wikipedia.org/wiki/Peter_Matz,No Strings,https://en.wikipedia.org/wiki/No_Strings
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Herbert Greene,https://en.wikipedia.org/wiki/Herbert_Greene_(Broadway_conductor),The Gay Life,https://en.wikipedia.org/wiki/The_Gay_Life
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Elliot Lawrence,https://en.wikipedia.org/wiki/Elliot_Lawrence,How to Succeed in Business Without Really Trying,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Pembroke Davenport,,Kean,https://en.wikipedia.org/wiki/Kean_(musical)
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Donald Pippin,https://en.wikipedia.org/wiki/Donald_Pippin_(Broadway_director),Oliver!,https://en.wikipedia.org/wiki/Oliver!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Jay Blackton,,Mr. President,https://en.wikipedia.org/wiki/Mr._President_(musical)
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Anton Coppola,https://en.wikipedia.org/wiki/Anton_Coppola,Bravo Giovanni,https://en.wikipedia.org/wiki/Bravo_Giovanni
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Julius Rudel,https://en.wikipedia.org/wiki/Julius_Rudel,Brigadoon,https://en.wikipedia.org/wiki/Brigadoon_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Charles Jaffe,https://en.wikipedia.org/wiki/Charles_Jaffe_(conductor),West Side Story,https://en.wikipedia.org/wiki/West_Side_Story_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Shepard Coleman,,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Lehman Engel,https://en.wikipedia.org/wiki/Lehman_Engel,What Makes Sammy Run?,https://en.wikipedia.org/wiki/What_Makes_Sammy_Run%3F_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Fred Werner,,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical)
