year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Idina Menzel,If/Then,Elizabeth Vaughan,https://en.wikipedia.org/wiki/Idina_Menzel,https://en.wikipedia.org/wiki/If/Then,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Kelli O'Hara,The Bridges of Madison County,Francesca Johnson,https://en.wikipedia.org/wiki/Kelli_O%27Hara,https://en.wikipedia.org/wiki/The_Bridges_of_Madison_County_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Chita Rivera,The Visit,Claire Zachanassian,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/The_Visit_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Beth Malone,Fun Home,Alison Bechdel,https://en.wikipedia.org/wiki/Beth_Malone,https://en.wikipedia.org/wiki/Fun_Home_(musical),https://en.wikipedia.org/wiki/Alison_Bechdel
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Leanne Cope,An American in Paris,Lise Dassin,https://en.wikipedia.org/wiki/Leanne_Cope,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Kelli O'Hara,The King and I,Anna Leonowens,https://en.wikipedia.org/wiki/Kelli_O%27Hara,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Anna_Leonowens
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Kristin Chenoweth,On the Twentieth Century,Lily Garland / Mildred Plotka,https://en.wikipedia.org/wiki/Kristin_Chenoweth,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Cynthia Erivo,The Color Purple,Celie Harris Johnson,https://en.wikipedia.org/wiki/Cynthia_Erivo,https://en.wikipedia.org/wiki/The_Color_Purple_(musical),
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Laura Benanti,She Loves Me,Amalia Balash,https://en.wikipedia.org/wiki/Laura_Benanti,https://en.wikipedia.org/wiki/She_Loves_Me,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Carmen Cusack,Bright Star,Alice Murphy,https://en.wikipedia.org/wiki/Carmen_Cusack,https://en.wikipedia.org/wiki/Bright_Star_(musical),
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jessie Mueller,Waitress,Jenna Hunterson,https://en.wikipedia.org/wiki/Jessie_Mueller,https://en.wikipedia.org/wiki/Waitress_(musical),
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Phillipa Soo,Hamilton,Eliza Hamilton,https://en.wikipedia.org/wiki/Phillipa_Soo,https://en.wikipedia.org/wiki/Hamilton_(musical),https://en.wikipedia.org/wiki/Elizabeth_Schuyler_Hamilton
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Eva Noblezada,Miss Saigon,Kim,https://en.wikipedia.org/wiki/Eva_Noblezada,https://en.wikipedia.org/wiki/Miss_Saigon,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Patti LuPone,War Paint,Helena Rubinstein,https://en.wikipedia.org/wiki/Patti_LuPone,https://en.wikipedia.org/wiki/War_Paint_(musical),https://en.wikipedia.org/wiki/Helena_Rubinstein
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Bette Midler,"Hello, Dolly!",Dolly Gallagher Levi,https://en.wikipedia.org/wiki/Bette_Midler,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Denée Benton,"Natasha, Pierre & The Great Comet of 1812",Natasha Rostova,https://en.wikipedia.org/wiki/Den%C3%A9e_Benton,"https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812",https://en.wikipedia.org/wiki/Natasha_Rostova
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Christine Ebersole,War Paint,Elizabeth Arden,https://en.wikipedia.org/wiki/Christine_Ebersole,https://en.wikipedia.org/wiki/War_Paint_(musical),https://en.wikipedia.org/wiki/Elizabeth_Arden
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Katrina Lenk,The Band's Visit,Dina,https://en.wikipedia.org/wiki/Katrina_Lenk,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical),
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Lauren Ambrose,My Fair Lady,Eliza Doolittle,https://en.wikipedia.org/wiki/Lauren_Ambrose,https://en.wikipedia.org/wiki/My_Fair_Lady,https://en.wikipedia.org/wiki/Eliza_Doolittle
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Hailey Kilgore,Once on This Island,Ti Moune,https://en.wikipedia.org/wiki/Hailey_Kilgore,https://en.wikipedia.org/wiki/Once_on_This_Island,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,LaChanze,Summer: The Donna Summer Musical,Diva Donna/ Mary Gaines,https://en.wikipedia.org/wiki/LaChanze,https://en.wikipedia.org/wiki/Summer:_The_Donna_Summer_Musical,https://en.wikipedia.org/wiki/Donna_Summer
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Taylor Louderman,Mean Girls,Regina George,https://en.wikipedia.org/wiki/Taylor_Louderman,https://en.wikipedia.org/wiki/Mean_Girls_(musical),https://en.wikipedia.org/wiki/Regina_George_(Mean_Girls)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Jessie Mueller,Carousel,Julie Jordan,https://en.wikipedia.org/wiki/Jessie_Mueller,https://en.wikipedia.org/wiki/Carousel_(musical),
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Stephanie J. Block,The Cher Show,Star,https://en.wikipedia.org/wiki/Stephanie_J._Block,https://en.wikipedia.org/wiki/The_Cher_Show_(musical),https://en.wikipedia.org/wiki/Cher
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Caitlin Kinnunen,The Prom,Emma Nolan,https://en.wikipedia.org/wiki/Caitlin_Kinnunen,https://en.wikipedia.org/wiki/The_Prom_(musical),
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Beth Leavel,The Prom,Dee Dee Allen,https://en.wikipedia.org/wiki/Beth_Leavel,https://en.wikipedia.org/wiki/The_Prom_(musical),
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Eva Noblezada,Hadestown,Eurydice,https://en.wikipedia.org/wiki/Eva_Noblezada,https://en.wikipedia.org/wiki/Hadestown_(musical),https://en.wikipedia.org/wiki/Eurydice
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Kelli O'Hara,"Kiss Me, Kate",Lilli Vanessi / Katharine,https://en.wikipedia.org/wiki/Kelli_O%27Hara,"https://en.wikipedia.org/wiki/Kiss_Me,_Kate",
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Elizabeth Stanley,Jagged Little Pill,M. J. Healy,https://en.wikipedia.org/wiki/Elizabeth_Stanley_(actress),https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical),
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Karen Olivo,Moulin Rouge! The Musical,Satine,https://en.wikipedia.org/wiki/Karen_Olivo,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical),
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Adrienne Warren,Tina: The Tina Turner Musical,Tina Turner,https://en.wikipedia.org/wiki/Adrienne_Warren,https://en.wikipedia.org/wiki/Tina_(musical),https://en.wikipedia.org/wiki/Tina_Turner
