year,season,season_link,winner,actress,musical,character,actress_link,musical_link,character_link
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Mildred Natwick,"70, Girls, 70",Ida Dodd,https://en.wikipedia.org/wiki/Mildred_Natwick,"https://en.wikipedia.org/wiki/70,_Girls,_70",
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Glynis Johns,A Little Night Music,Desiree Armfeldt,https://en.wikipedia.org/wiki/Glynis_Johns,https://en.wikipedia.org/wiki/A_Little_Night_Music,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Leland Palmer,Pippin,Fastrada,https://en.wikipedia.org/wiki/Leland_Palmer_(actress),https://en.wikipedia.org/wiki/Pippin_(musical),
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Debbie Reynolds,Irene,Irene O'Dare,https://en.wikipedia.org/wiki/Debbie_Reynolds,https://en.wikipedia.org/wiki/Irene_(musical),
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Marcia Rodd,Shelter,Maud,https://en.wikipedia.org/wiki/Marcia_Rodd,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Michele Lee,Seesaw,Gittel Mosca,https://en.wikipedia.org/wiki/Michele_Lee,https://en.wikipedia.org/wiki/Seesaw_(musical),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Virginia Capers,Raisin,Lena Younger,https://en.wikipedia.org/wiki/Virginia_Capers,https://en.wikipedia.org/wiki/Raisin_(musical),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Carol Channing,Lorelei,Lorelei Lee,https://en.wikipedia.org/wiki/Carol_Channing,https://en.wikipedia.org/wiki/Lorelei_(musical),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Angela Lansbury,Gypsy,Rose,https://en.wikipedia.org/wiki/Angela_Lansbury,https://en.wikipedia.org/wiki/Gypsy_(musical),https://en.wikipedia.org/wiki/Rose_Thompson_Hovick
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Lola Falana,Doctor Jazz,Edna Mae Sheridan,https://en.wikipedia.org/wiki/Lola_Falana,https://en.wikipedia.org/wiki/Doctor_Jazz,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Bernadette Peters,Mack & Mabel,Mabel Normand,https://en.wikipedia.org/wiki/Bernadette_Peters,https://en.wikipedia.org/wiki/Mack_%26_Mabel,https://en.wikipedia.org/wiki/Mabel_Normand
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Ann Reinking,Goodtime Charley,Joan of Arc,https://en.wikipedia.org/wiki/Ann_Reinking,https://en.wikipedia.org/wiki/Goodtime_Charley,https://en.wikipedia.org/wiki/Joan_of_Arc
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Gwen Verdon,Chicago,Roxie Hart,https://en.wikipedia.org/wiki/Gwen_Verdon,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Roxie_Hart
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Chita Rivera,Chicago,Velma Kelly,https://en.wikipedia.org/wiki/Chita_Rivera,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Velma_Kelly
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Vivian Reed,Bubbling Brown Sugar,Marsha / Young Irene,https://en.wikipedia.org/wiki/Vivian_Reed_(musical_theatre_actress),https://en.wikipedia.org/wiki/Bubbling_Brown_Sugar,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Donna McKechnie,A Chorus Line,Cassie Ferguson,https://en.wikipedia.org/wiki/Donna_McKechnie,https://en.wikipedia.org/wiki/A_Chorus_Line,
