year,season,season_link,winner,designer,designer_link,production,production_link
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,The King and I,https://en.wikipedia.org/wiki/The_King_and_I
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Ben Stanton,,Fun Home,https://en.wikipedia.org/wiki/Fun_Home_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Japhy Weideman,,The Visit,https://en.wikipedia.org/wiki/The_Visit_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,Hamilton,https://en.wikipedia.org/wiki/Hamilton_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Shuffle Along,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed"
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Ben Stanton,,Spring Awakening,https://en.wikipedia.org/wiki/Spring_Awakening_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Justin Townsend,,American Psycho,https://en.wikipedia.org/wiki/American_Psycho_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,Come from Away,https://en.wikipedia.org/wiki/Come_from_Away
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Japhy Weideman,,Dear Evan Hansen,https://en.wikipedia.org/wiki/Dear_Evan_Hansen
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Bradley King,https://en.wikipedia.org/wiki/Bradley_King_(lighting_designer),"Natasha, Pierre & The Great Comet of 1812","https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Natasha Katz,https://en.wikipedia.org/wiki/Natasha_Katz,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Tyler Micoleau,,The Band's Visit,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Peggy EisenhauerandJules Fisher,https://en.wikipedia.org/wiki/Peggy_Eisenhauer,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Donald Holder,https://en.wikipedia.org/wiki/Donald_Holder,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Brian MacDevitt,https://en.wikipedia.org/wiki/Brian_MacDevitt,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Peter Mumford,https://en.wikipedia.org/wiki/Peter_Mumford_(lighting_designer),King Kong,https://en.wikipedia.org/wiki/King_Kong_(2013_musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Bradley King,https://en.wikipedia.org/wiki/Bradley_King_(lighting_designer),Hadestown,https://en.wikipedia.org/wiki/Hadestown_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Kevin Adams,https://en.wikipedia.org/wiki/Kevin_Adams,The Cher Show,https://en.wikipedia.org/wiki/The_Cher_Show_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Howell Binkley,https://en.wikipedia.org/wiki/Howell_Binkley,Ain’t Too Proud,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Kenneth PosnerandPeter Nigrini,https://en.wikipedia.org/wiki/Kenneth_Posner,Beetlejuice,https://en.wikipedia.org/wiki/Beetlejuice_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Justin Townsend,,Jagged Little Pill,https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Bruno Poet,,Tina - The Tina Turner Musical,https://en.wikipedia.org/wiki/Tina_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Justin Townsend,,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical)
