year,season,season_link,winner,actress,actress_link,play,play_link,character,character_link,actor,actor_link,role,role_link
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Geraldine Brooks,https://en.wikipedia.org/wiki/Geraldine_Brooks_(actress),Brightower,,Sara Brightower,,,,,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,The Gingerbread Lady,https://en.wikipedia.org/wiki/The_Gingerbread_Lady,Evy Meara,,,,,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Estelle Parsons,https://en.wikipedia.org/wiki/Estelle_Parsons,And Miss Reardon Drinks A Little,https://en.wikipedia.org/wiki/And_Miss_Reardon_Drinks_A_Little,Catherine Reardon,,,,,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Diana Rigg,https://en.wikipedia.org/wiki/Diana_Rigg,Abelard and Heloise,,Heloise,,,,,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Marian Seldes,https://en.wikipedia.org/wiki/Marian_Seldes,Father's Day,,Marian,,,,,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Sada Thompson,https://en.wikipedia.org/wiki/Sada_Thompson,Twigs,https://en.wikipedia.org/wiki/Twigs_(play),Ma / Dorothy / Celia / Emily,,,,,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Eileen Atkins,https://en.wikipedia.org/wiki/Eileen_Atkins,Vivat! Vivat Regina!,https://en.wikipedia.org/wiki/Vivat!_Vivat_Regina!,Elizabeth I,https://en.wikipedia.org/wiki/Elizabeth_I_of_England,,,,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,All Over,https://en.wikipedia.org/wiki/All_Over,The Mistress,,,,,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,Old Times,https://en.wikipedia.org/wiki/Old_Times,Anna,,,,,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,6 Rms Riv Vu,https://en.wikipedia.org/wiki/6_Rms_Riv_Vu,Annie Miller,,,,,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,The Last of Mrs. Lincoln,https://en.wikipedia.org/wiki/The_Last_of_Mrs._Lincoln,Mary Todd Lincoln,https://en.wikipedia.org/wiki/Mary_Todd_Lincoln,,,,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,Mourning Becomes Electra,https://en.wikipedia.org/wiki/Mourning_Becomes_Electra,Christine Mannon,,,,,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Kathleen Widdoes,https://en.wikipedia.org/wiki/Kathleen_Widdoes,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,Beatrice,https://en.wikipedia.org/wiki/Beatrice_(Much_Ado_About_Nothing),,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Rachel Roberts,https://en.wikipedia.org/wiki/Rachel_Roberts_(actress),The Visit/Chemin de Fer,https://en.wikipedia.org/wiki/The_Visit_(play),Claire Zachanassian / Francine,,,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,The Au Pair Man,,Elizabeth Rogers,,,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Madeline Kahn,https://en.wikipedia.org/wiki/Madeline_Kahn,In the Boom Boom Room,https://en.wikipedia.org/wiki/In_the_Boom_Boom_Room,Chrissy,,,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,Josie Hogan,,,,,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,Find Your Way Home,,Jacqueline Harrison,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Liv Ullmann,https://en.wikipedia.org/wiki/Liv_Ullmann,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House,Nora Helmer,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Maggie Smith,https://en.wikipedia.org/wiki/Maggie_Smith,Private Lives,https://en.wikipedia.org/wiki/Private_Lives,Amanda Prynne,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Diana Rigg,https://en.wikipedia.org/wiki/Diana_Rigg,The Misanthrope,https://en.wikipedia.org/wiki/The_Misanthrope,Celimene,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Rachel Roberts,https://en.wikipedia.org/wiki/Rachel_Roberts_(actress),,,,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Ellen Burstyn,https://en.wikipedia.org/wiki/Ellen_Burstyn,"Same Time, Next Year","https://en.wikipedia.org/wiki/Same_Time,_Next_Year_(play)",Doris,,,,,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Elizabeth Ashley,https://en.wikipedia.org/wiki/Elizabeth_Ashley,Cat on a Hot Tin Roof,https://en.wikipedia.org/wiki/Cat_on_a_Hot_Tin_Roof,Maggie Pollitt,,,,,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Irene Worth,https://en.wikipedia.org/wiki/Irene_Worth,Sweet Bird of Youth,https://en.wikipedia.org/wiki/Sweet_Bird_of_Youth,Alexandra Del Lago,,,,,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Tovah Feldshuh,https://en.wikipedia.org/wiki/Tovah_Feldshuh,Yentl,https://en.wikipedia.org/wiki/Yentl,Yentl,,,,,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Rosemary Harris,https://en.wikipedia.org/wiki/Rosemary_Harris,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play),Julie Cavendish,,,,,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Lynn Redgrave,https://en.wikipedia.org/wiki/Lynn_Redgrave,Mrs. Warren's Profession,https://en.wikipedia.org/wiki/Mrs._Warren%27s_Profession,Vivie Warren,,,,,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Irene Worth,https://en.wikipedia.org/wiki/Irene_Worth,The Cherry Orchard,https://en.wikipedia.org/wiki/The_Cherry_Orchard,Ranevskaya,,,,,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Julie Harris,https://en.wikipedia.org/wiki/Julie_Harris,The Belle of Amherst,https://en.wikipedia.org/wiki/The_Belle_of_Amherst,Emily Dickinson,https://en.wikipedia.org/wiki/Emily_Dickinson,,,,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,Martha,,,,,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Liv Ullmann,https://en.wikipedia.org/wiki/Liv_Ullmann,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie,Anna Christopherson,,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Anita Gillette,https://en.wikipedia.org/wiki/Anita_Gillette,Chapter Two,https://en.wikipedia.org/wiki/Chapter_Two_(play),Jennie Maclaine,,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Estelle Parsons,https://en.wikipedia.org/wiki/Estelle_Parsons,Miss Margarida's Way,https://en.wikipedia.org/wiki/Miss_Margarida%27s_Way,Miss Margarida,,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Jessica Tandy,https://en.wikipedia.org/wiki/Jessica_Tandy,The Gin Game,https://en.wikipedia.org/wiki/The_Gin_Game,Fonsia Dorsey,,,,,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft,Golda,,Golda Meir,https://en.wikipedia.org/wiki/Golda_Meir,,,,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Frances Sternhagen,https://en.wikipedia.org/wiki/Frances_Sternhagen,On Golden Pond,https://en.wikipedia.org/wiki/On_Golden_Pond_(play),Ethel Thayer,,,,,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Jane Alexander,https://en.wikipedia.org/wiki/Jane_Alexander,First Monday in October,https://en.wikipedia.org/wiki/First_Monday_in_October,Ruth Loomis,,,,,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Constance Cummings,https://en.wikipedia.org/wiki/Constance_Cummings,Wings,https://en.wikipedia.org/wiki/Wings_(play),Emily Stilson,,,,,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Carole Shelley,https://en.wikipedia.org/wiki/Carole_Shelley,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),Madge Kendal,https://en.wikipedia.org/wiki/Madge_Kendal,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Phyllis Frelich,https://en.wikipedia.org/wiki/Phyllis_Frelich,Children of a Lesser God,https://en.wikipedia.org/wiki/Children_of_a_Lesser_God_(play),Sarah Norman,,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Blythe Danner,https://en.wikipedia.org/wiki/Blythe_Danner,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play),Emma,,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Maggie Smith,https://en.wikipedia.org/wiki/Maggie_Smith,Night and Day,https://en.wikipedia.org/wiki/Night_and_Day_(play),Ruth Carson,,,,,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Anne Twomey,https://en.wikipedia.org/wiki/Anne_Twomey,Nuts,https://en.wikipedia.org/wiki/Nuts_(play),Claudia Draper,,,,,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Jane Lapotaire,https://en.wikipedia.org/wiki/Jane_Lapotaire,Piaf,https://en.wikipedia.org/wiki/Piaf_(play),Édith Piaf,https://en.wikipedia.org/wiki/%C3%89dith_Piaf,,,,
