year,season,season_link,winner,actress,actress_link,play,play_link,character,character_link,actor,actor_link,role,role_link
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,,,Lola Delaney,,,,S. Epatha Merkerson,https://en.wikipedia.org/wiki/S._Epatha_Merkerson,"Come Back, Little Sheba","https://en.wikipedia.org/wiki/Come_Back,_Little_Sheba_(play)"
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,,,Barbara Weston-Fordham,,,,Amy Morton,https://en.wikipedia.org/wiki/Amy_Morton,August: Osage County,https://en.wikipedia.org/wiki/August:_Osage_County
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,,,Elizabeth I,https://en.wikipedia.org/wiki/Elizabeth_I_of_England,,,Harriet Walter,https://en.wikipedia.org/wiki/Harriet_Walter,Mary Stuart,https://en.wikipedia.org/wiki/Mary_Stuart_(play)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,,,Mary Stuart,"https://en.wikipedia.org/wiki/Mary,_Queen_of_Scots",,,Janet McTeer,https://en.wikipedia.org/wiki/Janet_McTeer,Mary Stuart,https://en.wikipedia.org/wiki/Mary_Stuart_(play)
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,,,Katherine Brandt,,,,Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,33 Variations,https://en.wikipedia.org/wiki/33_Variations
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,,,Veronica,,,,Marcia Gay Harden,https://en.wikipedia.org/wiki/Marcia_Gay_Harden,God of Carnage,https://en.wikipedia.org/wiki/God_of_Carnage
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,,,Annette,,,,Hope Davis,https://en.wikipedia.org/wiki/Hope_Davis,God of Carnage,https://en.wikipedia.org/wiki/God_of_Carnage
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,,,Rose Maxson,,,,Viola Davis,https://en.wikipedia.org/wiki/Viola_Davis,Fences,https://en.wikipedia.org/wiki/Fences_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,,,Tallulah Bankhead,https://en.wikipedia.org/wiki/Tallulah_Bankhead,,,Valerie Harper,https://en.wikipedia.org/wiki/Valerie_Harper,Looped,https://en.wikipedia.org/wiki/Looped
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,,,Ruth Steiner,,,,Linda Lavin,https://en.wikipedia.org/wiki/Linda_Lavin,Collected Stories,https://en.wikipedia.org/wiki/Collected_Stories_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,,,Sarah Goodwin,,,,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,Time Stands Still,https://en.wikipedia.org/wiki/Time_Stands_Still_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,,,Julie Cavendish,,,,Jan Maxwell,https://en.wikipedia.org/wiki/Jan_Maxwell,The Royal Family,https://en.wikipedia.org/wiki/The_Royal_Family_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,,,Margie Walsh,,,,Frances McDormand,https://en.wikipedia.org/wiki/Frances_McDormand,Good People,https://en.wikipedia.org/wiki/Good_People_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,,,Emma 'Billie' Dawn,,,,Nina Arianda,https://en.wikipedia.org/wiki/Nina_Arianda,Born Yesterday,https://en.wikipedia.org/wiki/Born_Yesterday_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,,,Portia,https://en.wikipedia.org/wiki/Portia_(Merchant_of_Venice),,,Lily Rabe,https://en.wikipedia.org/wiki/Lily_Rabe,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,,,Daisy Werthan,,,,Vanessa Redgrave,https://en.wikipedia.org/wiki/Vanessa_Redgrave,Driving Miss Daisy,https://en.wikipedia.org/wiki/Driving_Miss_Daisy_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,,,Laura Jesson,,,,Hannah Yelland,https://en.wikipedia.org/wiki/Hannah_Yelland,Brief Encounter,https://en.wikipedia.org/wiki/Brief_Encounter
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,,,Rita Lyons,,,,Linda Lavin,https://en.wikipedia.org/wiki/Linda_Lavin,The Lyons,https://en.wikipedia.org/wiki/The_Lyons
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,,,Polly Wyeth,,,,Stockard Channing,https://en.wikipedia.org/wiki/Stockard_Channing,Other Desert Cities,https://en.wikipedia.org/wiki/Other_Desert_Cities
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,,,Vivian Bearing,,,,Cynthia Nixon,https://en.wikipedia.org/wiki/Cynthia_Nixon,Wit,https://en.wikipedia.org/wiki/Wit_(play)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,,,Vanda,,,,Nina Arianda,https://en.wikipedia.org/wiki/Nina_Arianda,Venus in Fur,https://en.wikipedia.org/wiki/Venus_in_Fur
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,,,Judy Garland,https://en.wikipedia.org/wiki/Judy_Garland,,,Tracie Bennett,https://en.wikipedia.org/wiki/Tracie_Bennett,End of the Rainbow,https://en.wikipedia.org/wiki/End_of_the_Rainbow
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,,,Ann Richards,https://en.wikipedia.org/wiki/Ann_Richards,,,Holland Taylor,https://en.wikipedia.org/wiki/Holland_Taylor,Ann,
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,,,Sonia,,,,Kristine Nielsen,https://en.wikipedia.org/wiki/Kristine_Nielsen,Vanya and Sonia and Masha and Spike,https://en.wikipedia.org/wiki/Vanya_and_Sonia_and_Masha_and_Spike
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,,,Carrie Watts,,,,Cicely Tyson,https://en.wikipedia.org/wiki/Cicely_Tyson,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,,,Juliana Smithton,,,,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,The Other Place,https://en.wikipedia.org/wiki/The_Other_Place_(play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,,,Martha,,,,Amy Morton,https://en.wikipedia.org/wiki/Amy_Morton,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,,,Billie Holiday,https://en.wikipedia.org/wiki/Billie_Holiday,,,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,Lady Day at Emerson's Bar and Grill,https://en.wikipedia.org/wiki/Lady_Day_at_Emerson%27s_Bar_and_Grill
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,,,Katharine Gerard,,,,Tyne Daly,https://en.wikipedia.org/wiki/Tyne_Daly,Mothers and Sons,https://en.wikipedia.org/wiki/Mothers_and_Sons_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,,,Amanda Wingfield,,,,Cherry Jones,https://en.wikipedia.org/wiki/Cherry_Jones,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,,,Alexandra,,,,Estelle Parsons,https://en.wikipedia.org/wiki/Estelle_Parsons,The Velocity of Autumn,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,,,Lena Younger,,,,LaTanya Richardson,https://en.wikipedia.org/wiki/LaTanya_Richardson,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,,,Queen Elizabeth II,https://en.wikipedia.org/wiki/Queen_Elizabeth_II,,,Helen Mirren,https://en.wikipedia.org/wiki/Helen_Mirren,The Audience,https://en.wikipedia.org/wiki/The_Audience_(2013_play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,,,Margery,,,,Geneva Carr,https://en.wikipedia.org/wiki/Geneva_Carr,Hand To God,https://en.wikipedia.org/wiki/Hand_to_God_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,,,Heidi Holland,,,,Elisabeth Moss,https://en.wikipedia.org/wiki/Elisabeth_Moss,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,,,Kyra Hollis,,,,Carey Mulligan,https://en.wikipedia.org/wiki/Carey_Mulligan,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,,,Marianne,,,,Ruth Wilson,https://en.wikipedia.org/wiki/Ruth_Wilson,Constellations,https://en.wikipedia.org/wiki/Constellations_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,,,Elizabeth Proctor,https://en.wikipedia.org/wiki/Elizabeth_Proctor,,,Sophie Okonedo,https://en.wikipedia.org/wiki/Sophie_Okonedo,The Crucible,https://en.wikipedia.org/wiki/The_Crucible
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,,,The Girl,,,,Lupita Nyong'o,https://en.wikipedia.org/wiki/Lupita_Nyong%27o,Eclipsed,https://en.wikipedia.org/wiki/Eclipsed_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,,,Una Spencer,,,,Michelle Williams,https://en.wikipedia.org/wiki/Michelle_Williams_(actress),Blackbird,https://en.wikipedia.org/wiki/Blackbird_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,,,Mary Tyrone,,,,Jessica Lange,https://en.wikipedia.org/wiki/Jessica_Lange,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,,,Annie Wilkes,https://en.wikipedia.org/wiki/Annie_Wilkes,,,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,Misery,https://en.wikipedia.org/wiki/Misery_(novel)#Adaptations
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,,,Nora Helmer,,,,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,"A Doll's House, Part 2","https://en.wikipedia.org/wiki/A_Doll%27s_House,_Part_2"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,,,Anna Petrovna,,,,Cate Blanchett,https://en.wikipedia.org/wiki/Cate_Blanchett,The Present,https://en.wikipedia.org/wiki/Platonov_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,,,Mona Juul,https://en.wikipedia.org/wiki/Mona_Juul,,,Jennifer Ehle,https://en.wikipedia.org/wiki/Jennifer_Ehle,Oslo,https://en.wikipedia.org/wiki/Oslo_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,,,Amanda Wingfield,,,,Sally Field,https://en.wikipedia.org/wiki/Sally_Field,The Glass Menagerie,https://en.wikipedia.org/wiki/The_Glass_Menagerie
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,,,Regina Hubbard Giddens,,,,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,,,Corky,,,,Amy Schumer,https://en.wikipedia.org/wiki/Amy_Schumer,Meteor Shower,https://en.wikipedia.org/wiki/Meteor_Shower_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,,,Sarah Norman,,,,Lauren Ridloff,https://en.wikipedia.org/wiki/Lauren_Ridloff,Children of a Lesser God,https://en.wikipedia.org/wiki/Children_of_a_Lesser_God_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,,,Joan of Arc,https://en.wikipedia.org/wiki/Joan_of_Arc,,,Condola Rashād,https://en.wikipedia.org/wiki/Condola_Rash%C4%81d,Saint Joan,https://en.wikipedia.org/wiki/Saint_Joan_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,,,A,,,,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,,,Heidi Schreck,,,,Heidi Schreck,https://en.wikipedia.org/wiki/Heidi_Schreck,What the Constitution Means to Me,https://en.wikipedia.org/wiki/What_the_Constitution_Means_to_Me
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,,,Gladys Green,,,,Elaine May,https://en.wikipedia.org/wiki/Elaine_May,The Waverly Gallery,https://en.wikipedia.org/wiki/The_Waverly_Gallery
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,,,Kate Keller,,,,Annette Bening,https://en.wikipedia.org/wiki/Annette_Bening,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,,,Caitlin Carney,,,,Laura Donnelly,https://en.wikipedia.org/wiki/Laura_Donnelly_(actress),The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,,,Sarah Bernhardt,https://en.wikipedia.org/wiki/Sarah_Bernhardt,,,Janet McTeer,https://en.wikipedia.org/wiki/Janet_McTeer,Bernhardt/Hamlet,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,,,Hillary Clinton,https://en.wikipedia.org/wiki/Hillary_Clinton,,,Laurie Metcalf,https://en.wikipedia.org/wiki/Laurie_Metcalf,Hillary and Clinton,https://en.wikipedia.org/wiki/Hillary_and_Clinton
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Laura Linney,https://en.wikipedia.org/wiki/Laura_Linney,My Name Is Lucy Barton,https://en.wikipedia.org/wiki/My_Name_Is_Lucy_Barton,Lucy Barton,,,,,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Audra McDonald,https://en.wikipedia.org/wiki/Audra_McDonald,Frankie and Johnny in the Clair de Lune,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune,Frankie,,,,,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Joaquina Kalukango,,Slave Play,https://en.wikipedia.org/wiki/Slave_Play,Kaneisha,,,,,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Mary-Louise Parker,https://en.wikipedia.org/wiki/Mary-Louise_Parker,The Sound Inside,https://en.wikipedia.org/wiki/The_Sound_Inside_(play),Bella Baird,,,,,
