year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,La bohème,https://en.wikipedia.org/wiki/La_boh%C3%A8me,Giuseppe Giacosa&Luigi Illica,https://en.wikipedia.org/wiki/Giuseppe_Giacosa,Giacomo Puccini,https://en.wikipedia.org/wiki/Giacomo_Puccini,Giacosa & Illica,
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Nine,https://en.wikipedia.org/wiki/Nine_(musical),Arthur Kopit,https://en.wikipedia.org/wiki/Arthur_Kopit,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha,Dale Wasserman,https://en.wikipedia.org/wiki/Dale_Wasserman,Mitch Leigh,https://en.wikipedia.org/wiki/Mitch_Leigh,Joe Darion,https://en.wikipedia.org/wiki/Joe_Darion
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Assassins,https://en.wikipedia.org/wiki/Assassins_(musical),John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Big River,https://en.wikipedia.org/wiki/Big_River_(musical),William Hauptman,https://en.wikipedia.org/wiki/William_Hauptman,Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller,Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Wonderful Town,https://en.wikipedia.org/wiki/Wonderful_Town,Jerome Chodorov&Joseph Fields,https://en.wikipedia.org/wiki/Jerome_Chodorov,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2005,59th Tony Awards,/wiki/59th_Tony_Awards,False,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Dorothy Fields,https://en.wikipedia.org/wiki/Dorothy_Fields
2005,59th Tony Awards,/wiki/59th_Tony_Awards,True,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,Sweeney Todd,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2006,60th Tony Awards,/wiki/60th_Tony_Awards,False,The Threepenny Opera,https://en.wikipedia.org/wiki/The_Threepenny_Opera,Bertolt Brecht&Elisabeth Hauptmann,https://en.wikipedia.org/wiki/Bertolt_Brecht,Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,Brecht & Hauptmann,
2006,60th Tony Awards,/wiki/60th_Tony_Awards,True,The Pajama Game,https://en.wikipedia.org/wiki/The_Pajama_Game,George Abbott&Richard Pike Bissell,https://en.wikipedia.org/wiki/George_Abbott,Richard Adler&Jerry Ross,https://en.wikipedia.org/wiki/Richard_Adler,Richard Adler&Jerry Ross,https://en.wikipedia.org/wiki/Richard_Adler
2007,61st Tony Awards,/wiki/61st_Tony_Awards,True,Company,https://en.wikipedia.org/wiki/Company_(musical),George Furth,https://en.wikipedia.org/wiki/George_Furth,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,The Apple Tree,https://en.wikipedia.org/wiki/The_Apple_Tree,Jerry Bock&Sheldon Harnick,https://en.wikipedia.org/wiki/Jerry_Bock,Bock,,Harnick,
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,A Chorus Line,https://en.wikipedia.org/wiki/A_Chorus_Line,Nicholas Dante&James Kirkwood Jr.,https://en.wikipedia.org/wiki/Nicholas_Dante,Marvin Hamlisch,https://en.wikipedia.org/wiki/Marvin_Hamlisch,Ed Kleban,https://en.wikipedia.org/wiki/Edward_Kleban
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade,N. Richard Nash,https://en.wikipedia.org/wiki/N._Richard_Nash,Harvey Schmidt,https://en.wikipedia.org/wiki/Harvey_Schmidt,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(writer)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,South Pacific,https://en.wikipedia.org/wiki/South_Pacific_(musical),Oscar Hammerstein II&Joshua Logan,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Hammerstein,
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Grease,https://en.wikipedia.org/wiki/Grease_(musical),Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey,Warren Casey&Jim Jacobs,https://en.wikipedia.org/wiki/Warren_Casey
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical),Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Sondheim,,Sondheim,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,West Side Story,https://en.wikipedia.org/wiki/West_Side_Story,Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Leonard Bernstein,https://en.wikipedia.org/wiki/Leonard_Bernstein,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Pal Joey,https://en.wikipedia.org/wiki/Pal_Joey_(musical),John O'Hara,https://en.wikipedia.org/wiki/John_O%27Hara,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Lorenz Hart,https://en.wikipedia.org/wiki/Lorenz_Hart
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Hair,https://en.wikipedia.org/wiki/Hair_(musical),James Rado&Gerome Ragni,https://en.wikipedia.org/wiki/James_Rado,Galt MacDermot,https://en.wikipedia.org/wiki/Galt_MacDermot,Rado & Ragni,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Guys and Dolls,https://en.wikipedia.org/wiki/Guys_and_Dolls_(musical),Abe Burrows&Jo Swerling,https://en.wikipedia.org/wiki/Abe_Burrows,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser,Frank Loesser,https://en.wikipedia.org/wiki/Frank_Loesser
