year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Brían F. O'Byrne,https://en.wikipedia.org/wiki/Br%C3%ADan_F._O%27Byrne,Alexander Herzen,,The Coast of Utopia,https://en.wikipedia.org/wiki/The_Coast_of_Utopia
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,Henry Drummond,,Inherit the Wind,https://en.wikipedia.org/wiki/Inherit_the_Wind_(play)
2007,61st Tony Awards,/wiki/61st_Tony_Awards,False,Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,Barry Champlain,,Talk Radio,https://en.wikipedia.org/wiki/Talk_Radio_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,True,Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,Robert Lambert,,Boeing-Boeing,https://en.wikipedia.org/wiki/Boeing-Boeing_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Ben Daniels,https://en.wikipedia.org/wiki/Ben_Daniels,Le Vicomte de Valmont,,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_Liaisons_Dangereuses
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Laurence Fishburne,https://en.wikipedia.org/wiki/Laurence_Fishburne,Thurgood Marshall,https://en.wikipedia.org/wiki/Thurgood_Marshall,Thurgood,https://en.wikipedia.org/wiki/Thurgood_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Rufus Sewell,https://en.wikipedia.org/wiki/Rufus_Sewell,Jan,,Rock 'n' Roll,https://en.wikipedia.org/wiki/Rock_%27n%27_Roll_(play)
2008,62nd Tony Awards,/wiki/62nd_Tony_Awards,False,Patrick Stewart,https://en.wikipedia.org/wiki/Patrick_Stewart,Lord Macbeth,https://en.wikipedia.org/wiki/Macbeth_(character),Macbeth,https://en.wikipedia.org/wiki/Macbeth
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,James Gandolfini,https://en.wikipedia.org/wiki/James_Gandolfini,Michael,,God of Carnage,
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Raúl Esparza,https://en.wikipedia.org/wiki/Ra%C3%BAl_Esparza,Charlie Fox,,Speed-the-Plow,https://en.wikipedia.org/wiki/Speed-the-Plow
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Thomas Sadoski,https://en.wikipedia.org/wiki/Thomas_Sadoski,Greg,,reasons to be pretty,https://en.wikipedia.org/wiki/Reasons_to_be_pretty
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,True,Geoffrey Rush,https://en.wikipedia.org/wiki/Geoffrey_Rush,King Berenger,,Exit the King,https://en.wikipedia.org/wiki/Exit_the_King
2009,63rd Tony Awards,/wiki/63rd_Tony_Awards,False,Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,Alan,,God of Carnage,https://en.wikipedia.org/wiki/God_of_Carnage
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Christopher Walken,https://en.wikipedia.org/wiki/Christopher_Walken,Carmichael,,A Behanding in Spokane,https://en.wikipedia.org/wiki/A_Behanding_in_Spokane
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Liev Schreiber,https://en.wikipedia.org/wiki/Liev_Schreiber,Eddie Carbone,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2010,64th Tony Awards,/wiki/64th_Tony_Awards,True,Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,Troy Maxson,,Fences,https://en.wikipedia.org/wiki/Fences_(play)
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Jude Law,https://en.wikipedia.org/wiki/Jude_Law,Hamlet,https://en.wikipedia.org/wiki/Prince_Hamlet,Hamlet,https://en.wikipedia.org/wiki/Hamlet
2010,64th Tony Awards,/wiki/64th_Tony_Awards,False,Alfred Molina,https://en.wikipedia.org/wiki/Alfred_Molina,Mark Rothko,https://en.wikipedia.org/wiki/Mark_Rothko,Red,https://en.wikipedia.org/wiki/Red_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,True,Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,"Johnny ""Rooster"" Byron",,Jerusalem,https://en.wikipedia.org/wiki/Jerusalem_(play)
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Brian Bedford,https://en.wikipedia.org/wiki/Brian_Bedford,Lady Bracknell,,The Importance of Being Earnest,https://en.wikipedia.org/wiki/The_Importance_of_Being_Earnest
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,Ned Weeks,,The Normal Heart,https://en.wikipedia.org/wiki/The_Normal_Heart
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Al Pacino,https://en.wikipedia.org/wiki/Al_Pacino,Shylock,https://en.wikipedia.org/wiki/Shylock,The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
2011,65th Tony Awards,/wiki/65th_Tony_Awards,False,Bobby Cannavale,https://en.wikipedia.org/wiki/Bobby_Cannavale,Jackie,,The Motherfucker with the Hat,https://en.wikipedia.org/wiki/The_Motherfucker_with_the_Hat
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,James Corden,https://en.wikipedia.org/wiki/James_Corden,Francis Henshall,,"One Man, Two Guvnors","https://en.wikipedia.org/wiki/One_Man,_Two_Guvnors"
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,James Earl Jones,https://en.wikipedia.org/wiki/James_Earl_Jones,President Art Hockstader,,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Philip Seymour Hoffman,https://en.wikipedia.org/wiki/Philip_Seymour_Hoffman,Willy Loman,https://en.wikipedia.org/wiki/Willy_Loman,Death of a Salesman,https://en.wikipedia.org/wiki/Death_of_a_Salesman
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Gregor Antonescu,,Man and Boy,https://en.wikipedia.org/wiki/Man_and_Boy_(play)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,Joseph Alsop,https://en.wikipedia.org/wiki/Joseph_Alsop,The Columnist,https://en.wikipedia.org/wiki/The_Columnist
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Tom Sturridge,https://en.wikipedia.org/wiki/Tom_Sturridge,Phillip,,Orphans,https://en.wikipedia.org/wiki/Orphans_(Lyle_Kessler_play)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,David Hyde Pierce,https://en.wikipedia.org/wiki/David_Hyde_Pierce,Vanya,,Vanya and Sonia and Masha and Spike,https://en.wikipedia.org/wiki/Vanya_and_Sonia_and_Masha_and_Spike
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Nathan Lane,https://en.wikipedia.org/wiki/Nathan_Lane,Chauncey Miles,,The Nance,https://en.wikipedia.org/wiki/The_Nance
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Tracy Letts,https://en.wikipedia.org/wiki/Tracy_Letts,George,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Tom Hanks,https://en.wikipedia.org/wiki/Tom_Hanks,Mike McAlary,https://en.wikipedia.org/wiki/Mike_McAlary,Lucky Guy,https://en.wikipedia.org/wiki/Lucky_Guy_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson,All the Way,https://en.wikipedia.org/wiki/All_the_Way_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Samuel Barnett,https://en.wikipedia.org/wiki/Samuel_Barnett_(actor),Viola,https://en.wikipedia.org/wiki/Viola_(Twelfth_Night),Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Chris O'Dowd,https://en.wikipedia.org/wiki/Chris_O%27Dowd,Lennie Small,,Of Mice and Men,https://en.wikipedia.org/wiki/Of_Mice_and_Men_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,Richard III,https://en.wikipedia.org/wiki/Richard_III_of_England,Richard III,https://en.wikipedia.org/wiki/Richard_III_(play)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Tony Shalhoub,https://en.wikipedia.org/wiki/Tony_Shalhoub,Moss Hart/ Barnett Hart /George S. Kaufman,https://en.wikipedia.org/wiki/Moss_Hart,Act One,https://en.wikipedia.org/wiki/Act_One_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Alex Sharp,https://en.wikipedia.org/wiki/Alex_Sharp,Christopher Boone,,The Curious Incident of the Dog in the Night-Time,https://en.wikipedia.org/wiki/The_Curious_Incident_of_the_Dog_in_the_Night-Time_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Steven Boyer,https://en.wikipedia.org/wiki/Steven_Boyer,Jason / Tyrone,,Hand to God,https://en.wikipedia.org/wiki/Hand_to_God_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Bradley Cooper,https://en.wikipedia.org/wiki/Bradley_Cooper,John Merrick,https://en.wikipedia.org/wiki/Joseph_Merrick,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Ben Miles,https://en.wikipedia.org/wiki/Ben_Miles,Thomas Cromwell,https://en.wikipedia.org/wiki/Thomas_Cromwell,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall_Parts_One_%26_Two
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Bill Nighy,https://en.wikipedia.org/wiki/Bill_Nighy,Tom Sergeant,,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Tim Pigott-Smith,https://en.wikipedia.org/wiki/Tim_Pigott-Smith,King Charles III,"https://en.wikipedia.org/wiki/Charles,_Prince_of_Wales",King Charles III,https://en.wikipedia.org/wiki/King_Charles_III_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,Ray Brooks,,Blackbird,https://en.wikipedia.org/wiki/Blackbird_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Mark Strong,https://en.wikipedia.org/wiki/Mark_Strong,Eddie Carbone,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Frank Langella,https://en.wikipedia.org/wiki/Frank_Langella,Andre,,The Father,https://en.wikipedia.org/wiki/Le_P%C3%A8re
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Gabriel Byrne,https://en.wikipedia.org/wiki/Gabriel_Byrne,James Tyrone Sr.,,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Kevin Kline,https://en.wikipedia.org/wiki/Kevin_Kline,Garry Essendine,,Present Laughter,https://en.wikipedia.org/wiki/Present_Laughter
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Denis Arndt,https://en.wikipedia.org/wiki/Denis_Arndt,Alex Priest,,Heisenberg,https://en.wikipedia.org/wiki/Heisenberg_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Chris Cooper,https://en.wikipedia.org/wiki/Chris_Cooper,Torvald Helmer,,"A Doll's House, Part 2","https://en.wikipedia.org/wiki/A_Doll%27s_House,_Part_2"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Corey Hawkins,https://en.wikipedia.org/wiki/Corey_Hawkins,Paul,,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Jefferson Mays,https://en.wikipedia.org/wiki/Jefferson_Mays,Terje Rød-Larsen,https://en.wikipedia.org/wiki/Terje_R%C3%B8d-Larsen,Oslo,https://en.wikipedia.org/wiki/Oslo_(play)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Denzel Washington,https://en.wikipedia.org/wiki/Denzel_Washington,"Theodore ""Hickey"" Hickman",,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Mark Rylance,https://en.wikipedia.org/wiki/Mark_Rylance,Philip V of Spain,https://en.wikipedia.org/wiki/Philip_V_of_Spain,Farinelli and the King,https://en.wikipedia.org/wiki/Farinelli_and_the_King
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Jamie Parker,https://en.wikipedia.org/wiki/Jamie_Parker,Harry Potter,https://en.wikipedia.org/wiki/Harry_Potter_(character),Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Andrew Garfield,https://en.wikipedia.org/wiki/Andrew_Garfield,"Prior Walter,et al.",,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Tom Hollander,https://en.wikipedia.org/wiki/Tom_Hollander,Henry Carr,,Travesties,https://en.wikipedia.org/wiki/Travesties
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,Howard Beale,https://en.wikipedia.org/wiki/Howard_Beale_(Network),Network,https://en.wikipedia.org/wiki/Network_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Paddy Considine,https://en.wikipedia.org/wiki/Paddy_Considine,Quinn Carney,,The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jeff Daniels,https://en.wikipedia.org/wiki/Jeff_Daniels,Atticus Finch,https://en.wikipedia.org/wiki/Atticus_Finch,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Adam Driver,https://en.wikipedia.org/wiki/Adam_Driver,Pale,,Burn This,https://en.wikipedia.org/wiki/Burn_This
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jeremy Pope,https://en.wikipedia.org/wiki/Jeremy_Pope_(actor),Pharus Jonathan Young,,Choir Boy,https://en.wikipedia.org/wiki/Choir_Boy
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Tom Hiddleston,https://en.wikipedia.org/wiki/Tom_Hiddleston,Robert,,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Jake Gyllenhaal,https://en.wikipedia.org/wiki/Jake_Gyllenhaal,Abe,,Sea Wall/A Life,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Tom Sturridge,https://en.wikipedia.org/wiki/Tom_Sturridge,Alex,,Sea Wall/A Life,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Ian Barford,https://en.wikipedia.org/wiki/Ian_Barford,Wheeler,,Linda Vista,
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Andrew Burnap,,Toby Darling,,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Blair Underwood,https://en.wikipedia.org/wiki/Blair_Underwood,Captain Richard Davenport,,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play
