year,season,season_link,winner,actor,actor_link,role,role_link,play,play_link
1980,1980,/wiki/34th_Tony_Awards,False,Charles Brown,https://en.wikipedia.org/wiki/Charles_Brown_(actor),Cephus Miles,,Home,
1981,1981,/wiki/35th_Tony_Awards,False,Tim Curry,https://en.wikipedia.org/wiki/Tim_Curry,Wolfgang Amadeus Mozart,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,Amadeus,
1981,1981,/wiki/35th_Tony_Awards,False,Roy Dotrice,https://en.wikipedia.org/wiki/Roy_Dotrice,Drumm,,A Life,https://en.wikipedia.org/wiki/A_Life_(play)
1981,1981,/wiki/35th_Tony_Awards,False,Jack Weston,https://en.wikipedia.org/wiki/Jack_Weston,Jerry Wexler,,The Floating Light Bulb,https://en.wikipedia.org/wiki/The_Floating_Light_Bulb
1981,1981,/wiki/35th_Tony_Awards,True,Ian McKellen,https://en.wikipedia.org/wiki/Ian_McKellen,Antonio Salieri,https://en.wikipedia.org/wiki/Antonio_Salieri,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play)
1982,1982,/wiki/36th_Tony_Awards,True,Roger Rees,https://en.wikipedia.org/wiki/Roger_Rees,Nicholas Nickleby,,The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play)
1982,1982,/wiki/36th_Tony_Awards,False,Tom Courtenay,https://en.wikipedia.org/wiki/Tom_Courtenay,Norman,,The Dresser,https://en.wikipedia.org/wiki/The_Dresser
1982,1982,/wiki/36th_Tony_Awards,False,Milo O'Shea,https://en.wikipedia.org/wiki/Milo_O%27Shea,Father Tim Farley,,Mass Appeal,https://en.wikipedia.org/wiki/Mass_Appeal_(play)
1982,1982,/wiki/36th_Tony_Awards,False,Christopher Plummer,https://en.wikipedia.org/wiki/Christopher_Plummer,Iago,https://en.wikipedia.org/wiki/Iago,Othello,https://en.wikipedia.org/wiki/Othello
1983,1983,/wiki/37th_Tony_Awards,False,Edward Herrmann,https://en.wikipedia.org/wiki/Edward_Herrmann,Raymond Brock,,Plenty,https://en.wikipedia.org/wiki/Plenty_(play)
1983,1983,/wiki/37th_Tony_Awards,False,Tony Lo Bianco,https://en.wikipedia.org/wiki/Tony_Lo_Bianco,Eddie,,A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
1983,1983,/wiki/37th_Tony_Awards,False,Jeffrey DeMunn,https://en.wikipedia.org/wiki/Jeffrey_DeMunn,Taylor,,K2,
1983,1983,/wiki/37th_Tony_Awards,True,Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein,Arnold Beckoff,,Torch Song Trilogy,https://en.wikipedia.org/wiki/Torch_Song_Trilogy
1984,1984,/wiki/38th_Tony_Awards,True,Jeremy Irons,https://en.wikipedia.org/wiki/Jeremy_Irons,Henry,,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play)
1984,1984,/wiki/38th_Tony_Awards,False,Rex Harrison,https://en.wikipedia.org/wiki/Rex_Harrison,Captain Shotover,,Heartbreak House,https://en.wikipedia.org/wiki/Heartbreak_House
1984,1984,/wiki/38th_Tony_Awards,False,Calvin Levels,https://en.wikipedia.org/wiki/Calvin_Levels,Calvin Jefferson,,Open Admissions,https://en.wikipedia.org/wiki/Open_Admissions
1984,1984,/wiki/38th_Tony_Awards,False,Ian McKellen,https://en.wikipedia.org/wiki/Ian_McKellen,Himself,,Ian McKellen Acting Shakespeare,https://en.wikipedia.org/wiki/Ian_McKellen_Acting_Shakespeare
1985,1985,/wiki/39th_Tony_Awards,False,John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,"Harlan ""Mountain"" McClintock",,Requiem for a Heavyweight,https://en.wikipedia.org/wiki/Requiem_for_a_Heavyweight
1985,1985,/wiki/39th_Tony_Awards,True,Derek Jacobi,https://en.wikipedia.org/wiki/Derek_Jacobi,Benedick,,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing
1985,1985,/wiki/39th_Tony_Awards,False,Jim Dale,https://en.wikipedia.org/wiki/Jim_Dale,Bri,,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg
1985,1985,/wiki/39th_Tony_Awards,False,Jonathan Hogan,https://en.wikipedia.org/wiki/Jonathan_Hogan,Rich,,As Is,https://en.wikipedia.org/wiki/As_Is_(play)
1986,1986,/wiki/40th_Tony_Awards,False,Jack Lemmon,https://en.wikipedia.org/wiki/Jack_Lemmon,James Tyrone Sr.,,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
1986,1986,/wiki/40th_Tony_Awards,False,Ed Harris,https://en.wikipedia.org/wiki/Ed_Harris,Fred,,Precious Sons,
1986,1986,/wiki/40th_Tony_Awards,True,Judd Hirsch,https://en.wikipedia.org/wiki/Judd_Hirsch,Nat,,I'm Not Rappaport,https://en.wikipedia.org/wiki/I%27m_Not_Rappaport
1986,1986,/wiki/40th_Tony_Awards,False,Hume Cronyn,https://en.wikipedia.org/wiki/Hume_Cronyn,General Sir Edmund Milne,,The Petition,
1987,1987,/wiki/41st_Tony_Awards,False,Richard Kiley,https://en.wikipedia.org/wiki/Richard_Kiley,Joe Keller,,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons
1987,1987,/wiki/41st_Tony_Awards,True,James Earl Jones,https://en.wikipedia.org/wiki/James_Earl_Jones,Troy Maxson,,Fences,https://en.wikipedia.org/wiki/Fences_(play)
1987,1987,/wiki/41st_Tony_Awards,False,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,Waiter,,You Never Can Tell,https://en.wikipedia.org/wiki/You_Never_Can_Tell_(play)
1987,1987,/wiki/41st_Tony_Awards,False,Alan Rickman,https://en.wikipedia.org/wiki/Alan_Rickman,Le Vicomte de Valmont,,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses_(play)
1988,1988,/wiki/42nd_Tony_Awards,False,Robert Prosky,https://en.wikipedia.org/wiki/Robert_Prosky,Andrey Botvinnik,,A Walk in the Woods,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(play)
1988,1988,/wiki/42nd_Tony_Awards,False,John Lithgow,https://en.wikipedia.org/wiki/John_Lithgow,Rene Gallimard,,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly
1988,1988,/wiki/42nd_Tony_Awards,True,Ron Silver,https://en.wikipedia.org/wiki/Ron_Silver,Charlie Fox,,Speed-the-Plow,https://en.wikipedia.org/wiki/Speed-the-Plow
1988,1988,/wiki/42nd_Tony_Awards,False,Derek Jacobi,https://en.wikipedia.org/wiki/Derek_Jacobi,Alan Turing,https://en.wikipedia.org/wiki/Alan_Turing,Breaking the Code,https://en.wikipedia.org/wiki/Breaking_the_Code
1989,1989,/wiki/43rd_Tony_Awards,True,Philip Bosco,https://en.wikipedia.org/wiki/Philip_Bosco,Saunders,,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor
