year,season,season_link,winner,designer,designer_link,production,production_link
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Shuffle Along,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed"
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,David Korins,,Hamilton,https://en.wikipedia.org/wiki/Hamilton_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,David Rockwell,https://en.wikipedia.org/wiki/David_Rockwell,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Es Devlin& Finn Ross,https://en.wikipedia.org/wiki/Es_Devlin,American Psycho,https://en.wikipedia.org/wiki/American_Psycho_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Mimi Lien,https://en.wikipedia.org/wiki/Mimi_Lien,"Natasha, Pierre & The Great Comet of 1812","https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,Groundhog Day,https://en.wikipedia.org/wiki/Groundhog_Day_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,David Korins,,War Paint,https://en.wikipedia.org/wiki/War_Paint_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Dane Laffrey,https://en.wikipedia.org/wiki/Dane_Laffrey,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Scott Pask,https://en.wikipedia.org/wiki/Scott_Pask,The Band's Visit,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,"Scott Pask, Finn Ross & Adam Young",,Mean Girls,https://en.wikipedia.org/wiki/Mean_Girls_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Michael Yeargan,https://en.wikipedia.org/wiki/Michael_Yeargan,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Laura Jellinek,https://en.wikipedia.org/wiki/Laura_Jellinek,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Rachel Hauck,https://en.wikipedia.org/wiki/Rachel_Hauck,Hadestown,https://en.wikipedia.org/wiki/Hadestown_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Robert Brill &Peter Nigrini,https://en.wikipedia.org/wiki/Peter_Nigrini,Ain’t Too Proud,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Peter England,,King Kong,https://en.wikipedia.org/wiki/King_Kong_(2013_musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,David Korins,,Beetlejuice,https://en.wikipedia.org/wiki/Beetlejuice_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Derek McLane,https://en.wikipedia.org/wiki/Derek_McLane,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Riccardo Hernández and Lucy Mackinnon,,Jagged Little Pill,https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Mark Thompson and Jeff Sugg,,Tina - The Tina Turner Musical,https://en.wikipedia.org/wiki/Tina_(musical)
