year,season,season_link,winner,director,director_link,production,production_link
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,Garson Kanin,https://en.wikipedia.org/wiki/Garson_Kanin,Do Re Mi,https://en.wikipedia.org/wiki/Do_Re_Mi_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Joshua Logan,https://en.wikipedia.org/wiki/Joshua_Logan,All American,https://en.wikipedia.org/wiki/All_American_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Joe Layton,https://en.wikipedia.org/wiki/Joe_Layton,No Strings,https://en.wikipedia.org/wiki/No_Strings
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,Abe Burrows,https://en.wikipedia.org/wiki/Abe_Burrows,How to Succeed in Business Without Really Trying†,https://en.wikipedia.org/wiki/How_to_Succeed_in_Business_Without_Really_Trying_(musical)
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,Carnival!,https://en.wikipedia.org/wiki/Carnival!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,George Abbott,https://en.wikipedia.org/wiki/George_Abbott,A Funny Thing Happened on the Way to the Forum†,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Peter Coe,https://en.wikipedia.org/wiki/Peter_Coe_(director),Oliver!,https://en.wikipedia.org/wiki/Oliver!
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,John Fearnley,,Brigadoon,https://en.wikipedia.org/wiki/Brigadoon
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Cy FeuerandBob Fosse,https://en.wikipedia.org/wiki/Cy_Feuer,Little Me,https://en.wikipedia.org/wiki/Little_Me_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,"Hello, Dolly!†","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Joseph Anthony,https://en.wikipedia.org/wiki/Joseph_Anthony,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Noël Coward,https://en.wikipedia.org/wiki/No%C3%ABl_Coward,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Jerome Robbins,https://en.wikipedia.org/wiki/Jerome_Robbins,Fiddler on the Roof†,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Joan Littlewood,https://en.wikipedia.org/wiki/Joan_Littlewood,"Oh, What a Lovely War!","https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!"
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Anthony Newley,https://en.wikipedia.org/wiki/Anthony_Newley,The Roar of the Greasepaint – The Smell of the Crowd,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Gene Saks,https://en.wikipedia.org/wiki/Gene_Saks,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Gene Saks,https://en.wikipedia.org/wiki/Gene_Saks,Mame,https://en.wikipedia.org/wiki/Mame_(musical)
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Cy Feuer,https://en.wikipedia.org/wiki/Cy_Feuer,Skyscraper,https://en.wikipedia.org/wiki/Skyscraper_(musical)
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Albert Marre,https://en.wikipedia.org/wiki/Albert_Marre,Man of La Mancha†,https://en.wikipedia.org/wiki/Man_of_La_Mancha
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Cabaret†,https://en.wikipedia.org/wiki/Cabaret_(musical)
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,I Do! I Do!,https://en.wikipedia.org/wiki/I_Do!_I_Do!
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Mike Nichols,https://en.wikipedia.org/wiki/Mike_Nichols,The Apple Tree,https://en.wikipedia.org/wiki/The_Apple_Tree
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Jack Sydow,,Annie Get Your Gun,https://en.wikipedia.org/wiki/Annie_Get_Your_Gun_(musical)
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical)
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,George Abbott,https://en.wikipedia.org/wiki/George_Abbott,"How Now, Dow Jones","https://en.wikipedia.org/wiki/How_Now,_Dow_Jones"
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Jules Dassin,https://en.wikipedia.org/wiki/Jules_Dassin,Illya Darling,https://en.wikipedia.org/wiki/Illya_Darling
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Burt Shevelove,https://en.wikipedia.org/wiki/Burt_Shevelove,"Hallelujah, Baby!†","https://en.wikipedia.org/wiki/Hallelujah,_Baby!"
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Peter Hunt,https://en.wikipedia.org/wiki/Peter_H._Hunt,1776†,https://en.wikipedia.org/wiki/1776_(musical)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Robert Moore,https://en.wikipedia.org/wiki/Robert_Moore_(director),"Promises, Promises","https://en.wikipedia.org/wiki/Promises,_Promises_(musical)"
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Tom O'Horgan,https://en.wikipedia.org/wiki/Tom_O%27Horgan,Hair,https://en.wikipedia.org/wiki/Hair_(musical)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Philip Rose,https://en.wikipedia.org/wiki/Philip_Rose_(theatrical_producer),Purlie,https://en.wikipedia.org/wiki/Purlie
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Michael Benthall,https://en.wikipedia.org/wiki/Michael_Benthall,Coco,https://en.wikipedia.org/wiki/Coco_(musical)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Ron Field,https://en.wikipedia.org/wiki/Ron_Field,Applause†,https://en.wikipedia.org/wiki/Applause_(musical)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Company†,https://en.wikipedia.org/wiki/Company_(musical)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Michael Kidd,https://en.wikipedia.org/wiki/Michael_Kidd,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Robert H. Livingston,,The Me Nobody Knows,https://en.wikipedia.org/wiki/The_Me_Nobody_Knows
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Burt Shevelove,https://en.wikipedia.org/wiki/Burt_Shevelove,"No, No, Nanette","https://en.wikipedia.org/wiki/No,_No,_Nanette"
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Harold PrinceandMichael Bennett,https://en.wikipedia.org/wiki/Harold_Prince,Follies,https://en.wikipedia.org/wiki/Follies
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Gilbert Moses,https://en.wikipedia.org/wiki/Gilbert_Moses,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Mel Shapiro,https://en.wikipedia.org/wiki/Mel_Shapiro,Two Gentlemen of Verona†,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Burt Shevelove,https://en.wikipedia.org/wiki/Burt_Shevelove,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Vinnette Carroll,https://en.wikipedia.org/wiki/Vinnette_Carroll,"Don't Bother Me, I Can't Cope","https://en.wikipedia.org/wiki/Don%27t_Bother_Me,_I_Can%27t_Cope"
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,Sugar,https://en.wikipedia.org/wiki/Sugar_(musical)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,A Little Night Music†,https://en.wikipedia.org/wiki/A_Little_Night_Music
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Tom Moore,https://en.wikipedia.org/wiki/Tom_Moore_(director),Over Here!,https://en.wikipedia.org/wiki/Over_Here!
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Donald McKayle,https://en.wikipedia.org/wiki/Donald_McKayle,Raisin†,https://en.wikipedia.org/wiki/Raisin_(musical)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Seesaw,https://en.wikipedia.org/wiki/Seesaw_(musical)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Candide,https://en.wikipedia.org/wiki/Candide_(operetta)
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Geoffrey Holder,https://en.wikipedia.org/wiki/Geoffrey_Holder,The Wiz†,https://en.wikipedia.org/wiki/The_Wiz
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,Mack & Mabel,https://en.wikipedia.org/wiki/Mack_%26_Mabel
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Grover Dale,https://en.wikipedia.org/wiki/Grover_Dale,The Magic Show,https://en.wikipedia.org/wiki/The_Magic_Show
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Arthur Laurents,https://en.wikipedia.org/wiki/Arthur_Laurents,Gypsy,https://en.wikipedia.org/wiki/Gypsy_(musical)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Michael Bennett,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),A Chorus Line†,https://en.wikipedia.org/wiki/A_Chorus_Line
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Bill Gile,,Very Good Eddie,https://en.wikipedia.org/wiki/Very_Good_Eddie
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Gene Saks,https://en.wikipedia.org/wiki/Gene_Saks,I Love My Wife,https://en.wikipedia.org/wiki/I_Love_My_Wife
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Vinnette Carroll,https://en.wikipedia.org/wiki/Vinnette_Carroll,Your Arms Too Short to Box with God,https://en.wikipedia.org/wiki/Your_Arms_Too_Short_to_Box_with_God
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Martin Charnin,https://en.wikipedia.org/wiki/Martin_Charnin,Annie†,https://en.wikipedia.org/wiki/Annie_(musical)
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Jack O'Brien,https://en.wikipedia.org/wiki/Jack_O%27Brien_(director),Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados,Runaways,https://en.wikipedia.org/wiki/Runaways_(musical)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Harold Prince,https://en.wikipedia.org/wiki/Harold_Prince,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Dancin',https://en.wikipedia.org/wiki/Dancin%27
