year,season,season_link,winner,designer,designer_link,production,production_link
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Christopher Oram,https://en.wikipedia.org/wiki/Christopher_Oram,Wolf Hall Parts One & Two,https://en.wikipedia.org/wiki/Wolf_Hall#Adaptations
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,The Audience,https://en.wikipedia.org/wiki/The_Audience_(2013_play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,You Can't Take It with You,https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(play)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,Airline Highway,https://en.wikipedia.org/wiki/Airline_Highway_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Clint Ramos,https://en.wikipedia.org/wiki/Clint_Ramos,Eclipsed,https://en.wikipedia.org/wiki/Eclipsed_(play)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Michael Krass,,Noises Off,https://en.wikipedia.org/wiki/Noises_Off
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Tom Scutt,,King Charles III,https://en.wikipedia.org/wiki/King_Charles_III_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,"A Doll's House, Part 2","https://en.wikipedia.org/wiki/A_Doll%27s_House,_Part_2"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Toni-Leslie James,https://en.wikipedia.org/wiki/Toni-Leslie_James,Jitney,https://en.wikipedia.org/wiki/Jitney_(play)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Susan Hilferty,https://en.wikipedia.org/wiki/Susan_Hilferty,Present Laughter,https://en.wikipedia.org/wiki/Present_Laughter
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Katrina Lindsay,,Harry Potter and the Cursed Child,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Cursed_Child
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Jonathan Fensom,,Farinelli and the King,https://en.wikipedia.org/wiki/Farinelli_and_the_King
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Nicky Gillibrand,https://en.wikipedia.org/wiki/Nicky_Gillibrand,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Toni-Leslie James,https://en.wikipedia.org/wiki/Toni-Leslie_James,Bernhardt/Hamlet,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Clint Ramos,https://en.wikipedia.org/wiki/Clint_Ramos,Torch Song,https://en.wikipedia.org/wiki/Torch_Song_Trilogy
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,Gary: A Sequel to Titus Andronicus,https://en.wikipedia.org/wiki/Gary:_A_Sequel_to_Titus_Andronicus
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,A Christmas Carol,https://en.wikipedia.org/wiki/A_Christmas_Carol_(2017_play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Dede Ayite,,Slave Play,https://en.wikipedia.org/wiki/Slave_Play
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Dede Ayite,,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Clint Ramos,https://en.wikipedia.org/wiki/Clint_Ramos,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo
