year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Oliver!,https://en.wikipedia.org/wiki/Oliver!,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart,Lionel Bart,https://en.wikipedia.org/wiki/Lionel_Bart
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Stop the World – I Want to Get Off,https://en.wikipedia.org/wiki/Stop_the_World_%E2%80%93_I_Want_to_Get_Off,Leslie Bricusse&Anthony Newley,https://en.wikipedia.org/wiki/Leslie_Bricusse,Leslie Bricusse&Anthony Newley,https://en.wikipedia.org/wiki/Leslie_Bricusse,Leslie Bricusse&Anthony Newley,https://en.wikipedia.org/wiki/Leslie_Bricusse
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Funny Girl,https://en.wikipedia.org/wiki/Funny_Girl_(musical),Isobel Lennart,https://en.wikipedia.org/wiki/Isobel_Lennart,Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical),Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray,Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray,Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,Joe Masteroff,https://en.wikipedia.org/wiki/Joe_Masteroff,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Golden Boy,https://en.wikipedia.org/wiki/Golden_Boy_(musical),William Gibson&Clifford Odets,https://en.wikipedia.org/wiki/William_Gibson_(playwright),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Lee Adams,https://en.wikipedia.org/wiki/Lee_Adams
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence,Beverley Cross,https://en.wikipedia.org/wiki/Beverley_Cross,David Heneker,https://en.wikipedia.org/wiki/David_Heneker,David Heneker,https://en.wikipedia.org/wiki/David_Heneker
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,"Oh, What a Lovely War!","https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!",Joan Littlewood&Theatre Workshop,https://en.wikipedia.org/wiki/Joan_Littlewood,Various,,Various,
