year,season,season_link,winner,musical,musical_link,book,book_link,music,music_link,lyrics,lyrics_link
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,The Wiz,https://en.wikipedia.org/wiki/The_Wiz,William F. Brown,https://en.wikipedia.org/wiki/William_F._Brown_(writer),Charlie Smalls,https://en.wikipedia.org/wiki/Charlie_Smalls,Charlie Smalls,https://en.wikipedia.org/wiki/Charlie_Smalls
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,A Chorus Line†,https://en.wikipedia.org/wiki/A_Chorus_Line,James Kirkwood Jr.&Nicholas Dante,https://en.wikipedia.org/wiki/James_Kirkwood_Jr.,Marvin Hamlisch,https://en.wikipedia.org/wiki/Marvin_Hamlisch,Ed Kleban,https://en.wikipedia.org/wiki/Edward_Kleban
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Bubbling Brown Sugar,https://en.wikipedia.org/wiki/Bubbling_Brown_Sugar,Loften Mitchell,,Various,,Various,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Chicago,https://en.wikipedia.org/wiki/Chicago_(musical),Fred Ebb&Bob Fosse,https://en.wikipedia.org/wiki/Fred_Ebb,John Kander,https://en.wikipedia.org/wiki/John_Kander,Ebb,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Pacific Overtures,https://en.wikipedia.org/wiki/Pacific_Overtures,John Weidman,https://en.wikipedia.org/wiki/John_Weidman,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Side by Side by Sondheim,https://en.wikipedia.org/wiki/Side_by_Side_by_Sondheim,,,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Annie,https://en.wikipedia.org/wiki/Annie_(musical),Thomas Meehan,https://en.wikipedia.org/wiki/Thomas_Meehan_(writer),Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Martin Charnin,https://en.wikipedia.org/wiki/Martin_Charnin
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Happy End,https://en.wikipedia.org/wiki/Happy_End_(musical),Elisabeth Hauptmann,https://en.wikipedia.org/wiki/Elisabeth_Hauptmann,Kurt Weill,https://en.wikipedia.org/wiki/Kurt_Weill,Bertolt Brecht,https://en.wikipedia.org/wiki/Bertolt_Brecht
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,I Love My Wife,https://en.wikipedia.org/wiki/I_Love_My_Wife,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Stewart,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Runaways,https://en.wikipedia.org/wiki/Runaways_(musical),Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados,Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados,Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,On the Twentieth Century,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Comden & Green,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Ain't Misbehavin',https://en.wikipedia.org/wiki/Ain%27t_Misbehavin%27_(musical),Murray Horwitz&Richard Maltby Jr.,https://en.wikipedia.org/wiki/Murray_Horwitz,Fats Waller,https://en.wikipedia.org/wiki/Fats_Waller,Various,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Dancin',https://en.wikipedia.org/wiki/Dancin%27,,,Various,,Various,
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,They're Playing Our Song,https://en.wikipedia.org/wiki/They%27re_Playing_Our_Song,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Marvin Hamlisch,https://en.wikipedia.org/wiki/Marvin_Hamlisch,Carole Bayer Sager,https://en.wikipedia.org/wiki/Carole_Bayer_Sager
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,The Best Little Whorehouse in Texas,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas,Larry L. King&Peter Masterson,https://en.wikipedia.org/wiki/Larry_L._King,Carol Hall,https://en.wikipedia.org/wiki/Carol_Hall,Carol Hall,https://en.wikipedia.org/wiki/Carol_Hall
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical),Jerome Kass,https://en.wikipedia.org/wiki/Jerome_Kass,Billy Goldenberg,https://en.wikipedia.org/wiki/Billy_Goldenberg,Alan & Marilyn Bergman,https://en.wikipedia.org/wiki/Alan_and_Marilyn_Bergman
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Evita,https://en.wikipedia.org/wiki/Evita_(musical),Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Rice,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine,Dick Vosburgh,https://en.wikipedia.org/wiki/Dick_Vosburgh,Frank Lazarus,,Vosburgh,
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical),Mark Bramble,https://en.wikipedia.org/wiki/Mark_Bramble,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical),Ralph G. Allen,https://en.wikipedia.org/wiki/Ralph_G._Allen,Jimmy McHugh,https://en.wikipedia.org/wiki/Jimmy_McHugh,Al Dubin&Dorothy Fields,https://en.wikipedia.org/wiki/Al_Dubin
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),Mark Bramble&Michael Stewart,https://en.wikipedia.org/wiki/Mark_Bramble,Harry Warren,https://en.wikipedia.org/wiki/Harry_Warren,Al Dubin,https://en.wikipedia.org/wiki/Al_Dubin
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies,Donald McKayle,https://en.wikipedia.org/wiki/Donald_McKayle,Duke Ellington,https://en.wikipedia.org/wiki/Duke_Ellington,Various,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Tintypes,https://en.wikipedia.org/wiki/Tintypes,Mel Marvin & Gary Pearle,,Various,,Various,
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Woman of the Year,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical),Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Pump Boys and Dinettes,https://en.wikipedia.org/wiki/Pump_Boys_and_Dinettes,"John Foley, Mark Hardwick,Debra Monk, Cass Morgan, John Schimmel & Jim Wann",https://en.wikipedia.org/wiki/Debra_Monk,"John Foley, Mark Hardwick,Debra Monk, Cass Morgan, John Schimmel & Jim Wann",https://en.wikipedia.org/wiki/Debra_Monk,"John Foley, Mark Hardwick,Debra Monk, Cass Morgan, John Schimmel & Jim Wann",https://en.wikipedia.org/wiki/Debra_Monk
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Rice,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls,Tom Eyen,https://en.wikipedia.org/wiki/Tom_Eyen,Henry Krieger,https://en.wikipedia.org/wiki/Henry_Krieger,Eyen,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Nine,https://en.wikipedia.org/wiki/Nine_(musical),Arthur Kopit,https://en.wikipedia.org/wiki/Arthur_Kopit,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Cats,https://en.wikipedia.org/wiki/Cats_(musical),T. S. Eliot,https://en.wikipedia.org/wiki/T._S._Eliot,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Eliot &Trevor Nunn,https://en.wikipedia.org/wiki/Trevor_Nunn
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Blues in the Night,https://en.wikipedia.org/wiki/Blues_in_the_Night_(musical),,,Various,,Various,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Merlin,https://en.wikipedia.org/wiki/Merlin_(musical),Richard Levinson&William Link,https://en.wikipedia.org/wiki/Richard_Levinson,Elmer Bernstein,https://en.wikipedia.org/wiki/Elmer_Bernstein,Don Black,https://en.wikipedia.org/wiki/Don_Black_(lyricist)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical),Timothy S. Mayer &Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,George Gershwin,https://en.wikipedia.org/wiki/George_Gershwin,Ira Gershwin,https://en.wikipedia.org/wiki/Ira_Gershwin
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Baby,https://en.wikipedia.org/wiki/Baby_(musical),Sybille Pearson,https://en.wikipedia.org/wiki/Sybille_Pearson,David Shire,https://en.wikipedia.org/wiki/David_Shire,Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Sunday in the Park with George†,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,The Tap Dance Kid,https://en.wikipedia.org/wiki/The_Tap_Dance_Kid,Charles Blackwell,https://en.wikipedia.org/wiki/Charles_Blackwell_(music_producer),Henry Krieger,https://en.wikipedia.org/wiki/Henry_Krieger,Robert Lorick,https://en.wikipedia.org/wiki/Robert_Lorick
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Leader of the Pack,https://en.wikipedia.org/wiki/Leader_of_the_Pack_(musical),Anne Beatts,https://en.wikipedia.org/wiki/Anne_Beatts,Ellie Greenwich,https://en.wikipedia.org/wiki/Ellie_Greenwich,Various,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Quilters,https://en.wikipedia.org/wiki/Quilters_(musical),Barbara Damashek &Molly Newman,https://en.wikipedia.org/wiki/Molly_Newman,Damashek,,Damashek,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Big River,https://en.wikipedia.org/wiki/Big_River_(musical),William Hauptman,https://en.wikipedia.org/wiki/William_Hauptman,Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller,Roger Miller,https://en.wikipedia.org/wiki/Roger_Miller
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Grind,https://en.wikipedia.org/wiki/Grind_(musical),Fay Kanin,https://en.wikipedia.org/wiki/Fay_Kanin,Larry Grossman,https://en.wikipedia.org/wiki/Larry_Grossman_(composer),Ellen Fitzhugh,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance,,,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Don Black,https://en.wikipedia.org/wiki/Don_Black_(lyricist)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Tango Argentino,https://en.wikipedia.org/wiki/Tango_Argentino_(musical),,,Various,,Various,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Big Deal,https://en.wikipedia.org/wiki/Big_Deal_(musical),Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Various,,Various,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Rags,https://en.wikipedia.org/wiki/Rags_(musical),Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Charles Strouse,https://en.wikipedia.org/wiki/Charles_Strouse,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express,,,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Richard Stilgoe,https://en.wikipedia.org/wiki/Richard_Stilgoe
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Schönberg,,Herbert Kretzmer,https://en.wikipedia.org/wiki/Herbert_Kretzmer
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl,Douglas Furber& L. Arthur Rose,https://en.wikipedia.org/wiki/Douglas_Furber,Noel Gay,https://en.wikipedia.org/wiki/Noel_Gay,Furber & Rose,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),Richard Stilgoe&Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Richard_Stilgoe,Webber,,Charles Hart,https://en.wikipedia.org/wiki/Charles_Hart_(lyricist)
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Romance/Romance,https://en.wikipedia.org/wiki/Romance/Romance,Barry Harman,,Keith Herrmann,,Harman,
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Sarafina!,https://en.wikipedia.org/wiki/Sarafina!_(musical),Mbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema,Mbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema,Mbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Jerome Robbins' Broadway,https://en.wikipedia.org/wiki/Jerome_Robbins%27_Broadway,,,Various,,Various,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Black and Blue,https://en.wikipedia.org/wiki/Black_and_Blue_(musical),,,Various,,Various,
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Starmites,https://en.wikipedia.org/wiki/Starmites,Barry Keating & Stuart Ross,,Keating,,Keating,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Meet Me in St. Louis,https://en.wikipedia.org/wiki/Meet_Me_in_St._Louis_(musical),Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Ralph Blane&Hugh Martin,https://en.wikipedia.org/wiki/Ralph_Blane,Ralph Blane&Hugh Martin,https://en.wikipedia.org/wiki/Ralph_Blane
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Grand Hotel,https://en.wikipedia.org/wiki/Grand_Hotel_(musical),Luther Davis,https://en.wikipedia.org/wiki/Luther_Davis,"Chet Forrest,Bob Wright&Maury Yeston",https://en.wikipedia.org/wiki/George_Forrest_(author),"Chet Forrest,Bob Wright&Maury Yeston",https://en.wikipedia.org/wiki/George_Forrest_(author)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Aspects of Love,https://en.wikipedia.org/wiki/Aspects_of_Love,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Don Black&Charles Hart,https://en.wikipedia.org/wiki/Don_Black_(lyricist)
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,City of Angels,https://en.wikipedia.org/wiki/City_of_Angels_(musical),Larry Gelbart,https://en.wikipedia.org/wiki/Larry_Gelbart,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,David Zippel,https://en.wikipedia.org/wiki/David_Zippel
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,The Will Rogers Follies,https://en.wikipedia.org/wiki/The_Will_Rogers_Follies,Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Cy Coleman,https://en.wikipedia.org/wiki/Cy_Coleman,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Miss Saigon,https://en.wikipedia.org/wiki/Miss_Saigon,Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Schönberg,,Boublil &Richard Maltby Jr.,https://en.wikipedia.org/wiki/Richard_Maltby_Jr.
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island,Lynn Ahrens,https://en.wikipedia.org/wiki/Lynn_Ahrens,Stephen Flaherty,https://en.wikipedia.org/wiki/Stephen_Flaherty,Ahrens,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,The Secret Garden,https://en.wikipedia.org/wiki/The_Secret_Garden_(musical),Marsha Norman,https://en.wikipedia.org/wiki/Marsha_Norman,Lucy Simon,https://en.wikipedia.org/wiki/Lucy_Simon,Norman,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Jelly Roll Morton,https://en.wikipedia.org/wiki/Jelly_Roll_Morton,Susan Birkenhead,https://en.wikipedia.org/wiki/Susan_Birkenhead
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Five Guys Named Moe,https://en.wikipedia.org/wiki/Five_Guys_Named_Moe,Clarke Peters,https://en.wikipedia.org/wiki/Clarke_Peters,Various,,Various,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical),Ken Ludwig,https://en.wikipedia.org/wiki/Ken_Ludwig,George Gershwin,https://en.wikipedia.org/wiki/George_Gershwin,Ira Gershwin,https://en.wikipedia.org/wiki/Ira_Gershwin
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Falsettos,https://en.wikipedia.org/wiki/Falsettos,William Finn&James Lapine,https://en.wikipedia.org/wiki/William_Finn,Finn,,Finn,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Blood Brothers,https://en.wikipedia.org/wiki/Blood_Brothers_(musical),Willy Russell,https://en.wikipedia.org/wiki/Willy_Russell,Willy Russell,https://en.wikipedia.org/wiki/Willy_Russell,Willy Russell,https://en.wikipedia.org/wiki/Willy_Russell
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,The Goodbye Girl,https://en.wikipedia.org/wiki/The_Goodbye_Girl_(musical),Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,Marvin Hamlisch,https://en.wikipedia.org/wiki/Marvin_Hamlisch,David Zippel,https://en.wikipedia.org/wiki/David_Zippel
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy,Des McAnuff&Pete Townshend,https://en.wikipedia.org/wiki/Des_McAnuff,Townshend,,Townshend,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Passion,https://en.wikipedia.org/wiki/Passion_(musical),James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,A Grand Night for Singing,https://en.wikipedia.org/wiki/A_Grand_Night_for_Singing,Walter Bobbie,https://en.wikipedia.org/wiki/Walter_Bobbie,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Oscar Hammerstein II,https://en.wikipedia.org/wiki/Oscar_Hammerstein_II
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),Linda Woolverton,https://en.wikipedia.org/wiki/Linda_Woolverton,Alan Menken,https://en.wikipedia.org/wiki/Alan_Menken,Howard Ashman&Tim Rice,https://en.wikipedia.org/wiki/Howard_Ashman
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Cyrano: The Musical,https://en.wikipedia.org/wiki/Cyrano:_The_Musical,Koen van Dijk,,Ad van Dijk,,K. van Dijk,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical),Christopher Hampton&Don Black,https://en.wikipedia.org/wiki/Christopher_Hampton,Andrew Lloyd Webber,https://en.wikipedia.org/wiki/Andrew_Lloyd_Webber,Hampton & Black,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Smokey Joe's Cafe,https://en.wikipedia.org/wiki/Smokey_Joe%27s_Cafe,,,Jerry Leiber & Mike Stoller,https://en.wikipedia.org/wiki/Jerry_Leiber_and_Mike_Stoller,Jerry Leiber & Mike Stoller,https://en.wikipedia.org/wiki/Jerry_Leiber_and_Mike_Stoller
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Swinging on a Star,https://en.wikipedia.org/wiki/Swinging_on_a_Star_(musical),Michael Leeds,,Various,,Johnny Burke,https://en.wikipedia.org/wiki/Johnny_Burke_(lyricist)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Chronicle of a Death Foretold,https://en.wikipedia.org/wiki/Chronicle_of_a_Death_Foretold_(musical),Graciela Daniele& Jim Lewis,https://en.wikipedia.org/wiki/Graciela_Daniele,Bob Telson,https://en.wikipedia.org/wiki/Bob_Telson,Daniele & Lewis,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,"Bring in 'da Noise, Bring in 'da Funk","https://en.wikipedia.org/wiki/Bring_in_%27da_Noise,_Bring_in_%27da_Funk",Reg E. Gaines,,"Ann Duquesnay, Zane Mark & Daryl Waters",https://en.wikipedia.org/wiki/Ann_Duquesnay,"Duquesnay, Gaines &George C. Wolfe",https://en.wikipedia.org/wiki/George_C._Wolfe
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Rent†,https://en.wikipedia.org/wiki/Rent_(musical),Jonathan Larson,https://en.wikipedia.org/wiki/Jonathan_Larson,Jonathan Larson,https://en.wikipedia.org/wiki/Jonathan_Larson,Jonathan Larson,https://en.wikipedia.org/wiki/Jonathan_Larson
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Titanic,https://en.wikipedia.org/wiki/Titanic_(musical),Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston,Maury Yeston,https://en.wikipedia.org/wiki/Maury_Yeston
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Juan Darien,https://en.wikipedia.org/wiki/Juan_Dari%C3%A9n:_A_Carnival_Mass,Elliot Goldenthal&Julie Taymor,https://en.wikipedia.org/wiki/Elliot_Goldenthal,Goldenthal,,Goldenthal,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier_(musical),David Thompson,https://en.wikipedia.org/wiki/David_Thompson_(writer),John Kander,https://en.wikipedia.org/wiki/John_Kander,Fred Ebb,https://en.wikipedia.org/wiki/Fred_Ebb
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,The Life,https://en.wikipedia.org/wiki/The_Life_(musical),"Cy Coleman, David Newman &Ira Gasman",https://en.wikipedia.org/wiki/Cy_Coleman,Coleman,,Gasman,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical),Roger Allers&Irene Mecchi,https://en.wikipedia.org/wiki/Roger_Allers,Elton John,https://en.wikipedia.org/wiki/Elton_John,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Side Show,https://en.wikipedia.org/wiki/Side_Show_(musical),Bill Russell,https://en.wikipedia.org/wiki/Bill_Russell_(lyricist),Henry Krieger,https://en.wikipedia.org/wiki/Henry_Krieger,Russell,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,The Scarlet Pimpernel,https://en.wikipedia.org/wiki/The_Scarlet_Pimpernel_(musical),Nan Knighton,https://en.wikipedia.org/wiki/Nan_Knighton,Frank Wildhorn,https://en.wikipedia.org/wiki/Frank_Wildhorn,Knighton,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical),Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally,Stephen Flaherty,https://en.wikipedia.org/wiki/Stephen_Flaherty,Lynn Ahrens,https://en.wikipedia.org/wiki/Lynn_Ahrens
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Fosse,https://en.wikipedia.org/wiki/Fosse_(musical),,,Various,,Various,
