year,season,season_link,winner,orchestrator,orchestrator_link,production,production_link
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Danny Troob,https://en.wikipedia.org/wiki/Danny_Troob,Newsies,https://en.wikipedia.org/wiki/Newsies_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Bill Elliott,,Nice Work If You Can Get It,https://en.wikipedia.org/wiki/Nice_Work_If_You_Can_Get_It_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,True,Martin Lowe,,Once,https://en.wikipedia.org/wiki/Once_(musical)
2012,66th Tony Awards,/wiki/66th_Tony_Awards,False,Bill Brohn& Christopher Jahnke,https://en.wikipedia.org/wiki/William_David_Brohn,Porgy and Bess,https://en.wikipedia.org/wiki/Porgy_and_Bess
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Stephen Oremus,https://en.wikipedia.org/wiki/Stephen_Oremus,Kinky Boots,https://en.wikipedia.org/wiki/Kinky_Boots_(musical)
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Bryan Crook & Ethan Popp,,Motown: The Musical,https://en.wikipedia.org/wiki/Motown:_The_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Chris Nightingale,,Matilda the Musical,https://en.wikipedia.org/wiki/Matilda_the_Musical
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Danny Troob,https://en.wikipedia.org/wiki/Danny_Troob,Rodgers and Hammerstein's Cinderella,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Jason Robert Brown,https://en.wikipedia.org/wiki/Jason_Robert_Brown,The Bridges of Madison County,https://en.wikipedia.org/wiki/The_Bridges_of_Madison_County_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Doug Besterman,https://en.wikipedia.org/wiki/Doug_Besterman,Bullets Over Broadway,https://en.wikipedia.org/wiki/Bullets_Over_Broadway_(musical)
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Steve Sidwell,https://en.wikipedia.org/wiki/Steve_Sidwell,Beautiful: The Carole King Musical,https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,A Gentleman's Guide to Love and Murder,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Rob Mathes,https://en.wikipedia.org/wiki/Rob_Mathes,The Last Ship,https://en.wikipedia.org/wiki/The_Last_Ship_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,John Clancy,,Fun Home,https://en.wikipedia.org/wiki/Fun_Home_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,"Christopher Austin,Bill Elliott&Don Sebesky",https://en.wikipedia.org/wiki/Christopher_Austin,An American in Paris,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical)
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Larry Hochman,https://en.wikipedia.org/wiki/Larry_Hochman,Something Rotten!,https://en.wikipedia.org/wiki/Something_Rotten!
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Alex Lacamoire,https://en.wikipedia.org/wiki/Alex_Lacamoire,Hamilton,https://en.wikipedia.org/wiki/Hamilton_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,August Eriksmoen,,Bright Star,https://en.wikipedia.org/wiki/Bright_Star_(musical)
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Larry Hochman,https://en.wikipedia.org/wiki/Larry_Hochman,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Daryl Waters,,Shuffle Along,"https://en.wikipedia.org/wiki/Shuffle_Along,_or,_the_Making_of_the_Musical_Sensation_of_1921_and_All_That_Followed"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Alex Lacamoire,https://en.wikipedia.org/wiki/Alex_Lacamoire,Dear Evan Hansen,https://en.wikipedia.org/wiki/Dear_Evan_Hansen
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Bill Elliott& Greg Anthony Rassen,https://en.wikipedia.org/wiki/Bill_Elliott_(musician),Bandstand,https://en.wikipedia.org/wiki/Bandstand_(musical)
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Larry Hochman,https://en.wikipedia.org/wiki/Larry_Hochman,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Dave Malloy,https://en.wikipedia.org/wiki/Dave_Malloy,"Natasha, Pierre & The Great Comet of 1812","https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812"
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Jamshied Sharifi,https://en.wikipedia.org/wiki/Jamshied_Sharifi,The Band's Visit,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,John Clancy,,Mean Girls,https://en.wikipedia.org/wiki/Mean_Girls_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Tom Kitt,https://en.wikipedia.org/wiki/Tom_Kitt_(musician),SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Annmarie Milazzo &Michael Starobin,https://en.wikipedia.org/wiki/Michael_Starobin,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Jonathan Tunick,https://en.wikipedia.org/wiki/Jonathan_Tunick,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Daniel Kluger,,Oklahoma!,https://en.wikipedia.org/wiki/Oklahoma!
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Simon Hale,https://en.wikipedia.org/wiki/Simon_Hale,Tootsie,https://en.wikipedia.org/wiki/Tootsie_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Michael Chorney&Todd Sickafoose,https://en.wikipedia.org/wiki/Michael_Chorney,Hadestown,https://en.wikipedia.org/wiki/Hadestown_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Larry Hochman,https://en.wikipedia.org/wiki/Larry_Hochman,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate"
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Harold Wheeler,https://en.wikipedia.org/wiki/Harold_Wheeler_(musician),Ain’t Too Proud,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,"Katie Kresek, Justin Levine,Charlie Rosen& Matt Stine",https://en.wikipedia.org/wiki/Charlie_Rosen_(musician),Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Tom Kitt,https://en.wikipedia.org/wiki/Tom_Kitt_(musician),Jagged Little Pill,https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Ethan Popp,,Tina - The Tina Turner Musical,https://en.wikipedia.org/wiki/Tina_(musical)
