year,season,season_link,winner,designer,designer_link,production,production_link,award type
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Jennifer Tipton,https://en.wikipedia.org/wiki/Jennifer_Tipton,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies,
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Marcia Madeira,,Nine,https://en.wikipedia.org/wiki/Nine_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Tharon Musser,https://en.wikipedia.org/wiki/Tharon_Musser,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls_(musical),
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Martin Aronstein,https://en.wikipedia.org/wiki/Martin_Aronstein,Medea,https://en.wikipedia.org/wiki/Medea_(play),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Cats,https://en.wikipedia.org/wiki/Cats_(musical),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,Foxfire,https://en.wikipedia.org/wiki/Foxfire_(play),
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Robert Bryan,,All's Well That Ends Well,https://en.wikipedia.org/wiki/All%27s_Well_That_Ends_Well,
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Allen Lee Hughes,,K2,https://en.wikipedia.org/wiki/K2_(film),
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical),
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Richard Nelson,https://en.wikipedia.org/wiki/Richard_Nelson_(lighting_designer),Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Ken Billington,https://en.wikipedia.org/wiki/Ken_Billington,End of the World,,
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Marc B. Weiss,,A Moon for the Misbegotten,https://en.wikipedia.org/wiki/A_Moon_for_the_Misbegotten,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Richard Riddell,https://en.wikipedia.org/wiki/Richard_Riddell,Big River,https://en.wikipedia.org/wiki/Big_River_(musical),
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Terry Hands,https://en.wikipedia.org/wiki/Terry_Hands,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Cyrano_de_Bergerac_(play),
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Terry Hands,https://en.wikipedia.org/wiki/Terry_Hands,Much Ado About Nothing,https://en.wikipedia.org/wiki/Much_Ado_About_Nothing,
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Allen Lee Hughes,,Strange Interlude,https://en.wikipedia.org/wiki/Strange_Interlude,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Jules Fisher,https://en.wikipedia.org/wiki/Jules_Fisher,Song and Dance,https://en.wikipedia.org/wiki/Song_and_Dance,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,The House of Blue Leaves,https://en.wikipedia.org/wiki/The_House_of_Blue_Leaves,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Pat Collins,https://en.wikipedia.org/wiki/Pat_Collins_(lighting_designer),I'm Not Rappaport,https://en.wikipedia.org/wiki/I%27m_Not_Rappaport,
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Thomas R. Skelton,https://en.wikipedia.org/wiki/Thomas_R._Skelton,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Starlight Express,https://en.wikipedia.org/wiki/Starlight_Express,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Beverly EmmonsandChris Parry,https://en.wikipedia.org/wiki/Beverly_Emmons,Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_liaisons_dangereuses,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Martin Aronstein,https://en.wikipedia.org/wiki/Martin_Aronstein,Wild Honey,https://en.wikipedia.org/wiki/Wild_Honey_(play),
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,David Hersey,https://en.wikipedia.org/wiki/David_Hersey,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,Andrew Bridge,https://en.wikipedia.org/wiki/Andrew_Bridge_(lighting_designer),The Phantom of the Opera,https://en.wikipedia.org/wiki/The_Phantom_of_the_Opera_(1986_musical),
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Paul Gallo,https://en.wikipedia.org/wiki/Paul_Gallo,Anything Goes,https://en.wikipedia.org/wiki/Anything_Goes,
