year,season,season_link,winner,director,director_link,production,production_link
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Howard Davies,https://en.wikipedia.org/wiki/Howard_Davies_(director),Les Liaisons Dangereuses,https://en.wikipedia.org/wiki/Les_Liaisons_Dangereuses_(Hampton_play)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Mbongeni Ngema,https://en.wikipedia.org/wiki/Mbongeni_Ngema,Asinamali!,
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Carole Rothman,,Coastal Disturbances,https://en.wikipedia.org/wiki/Coastal_Disturbances
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Clifford Williams,https://en.wikipedia.org/wiki/Clifford_Williams_(actor),Breaking the Code,https://en.wikipedia.org/wiki/Breaking_the_Code
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,True,John Dexter,https://en.wikipedia.org/wiki/John_Dexter,M. Butterfly,https://en.wikipedia.org/wiki/M._Butterfly
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Gregory Mosher,https://en.wikipedia.org/wiki/Gregory_Mosher,Speed-the-Plow,https://en.wikipedia.org/wiki/Speed-the-Plow
1988,42nd Tony Awards,/wiki/42nd_Tony_Awards,False,Lloyd Richards,https://en.wikipedia.org/wiki/Lloyd_Richards,Joe Turner's Come and Gone,https://en.wikipedia.org/wiki/Joe_Turner%27s_Come_and_Gone
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Gregory Mosher,https://en.wikipedia.org/wiki/Gregory_Mosher,Our Town,https://en.wikipedia.org/wiki/Our_Town
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,The Heidi Chronicles,https://en.wikipedia.org/wiki/The_Heidi_Chronicles
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,True,Jerry Zaks,https://en.wikipedia.org/wiki/Jerry_Zaks,Lend Me a Tenor,https://en.wikipedia.org/wiki/Lend_Me_a_Tenor
1989,43rd Tony Awards,/wiki/43rd_Tony_Awards,False,Bill Irwin,https://en.wikipedia.org/wiki/Bill_Irwin,Largely New York,
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Lloyd Richards,https://en.wikipedia.org/wiki/Lloyd_Richards,The Piano Lesson,https://en.wikipedia.org/wiki/The_Piano_Lesson
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Peter Hall,https://en.wikipedia.org/wiki/Peter_Hall_(director),The Merchant of Venice,https://en.wikipedia.org/wiki/The_Merchant_of_Venice
1990,44th Tony Awards,/wiki/44th_Tony_Awards,False,Michael Blakemore,https://en.wikipedia.org/wiki/Michael_Blakemore,Lettice and Lovage,https://en.wikipedia.org/wiki/Lettice_and_Lovage
1990,44th Tony Awards,/wiki/44th_Tony_Awards,True,Frank Galati,https://en.wikipedia.org/wiki/Frank_Galati,The Grapes of Wrath,https://en.wikipedia.org/wiki/The_Grapes_of_Wrath_(play)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,True,Jerry Zaks,https://en.wikipedia.org/wiki/Jerry_Zaks,Six Degrees of Separation,https://en.wikipedia.org/wiki/Six_Degrees_of_Separation_(play)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Richard Jones,https://en.wikipedia.org/wiki/Richard_Jones_(opera_director),La Bête,https://en.wikipedia.org/wiki/La_B%C3%AAte_(play)
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Mark Lamos,https://en.wikipedia.org/wiki/Mark_Lamos,Our Country's Good,https://en.wikipedia.org/wiki/Our_Country%27s_Good
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Gene Saks,https://en.wikipedia.org/wiki/Gene_Saks,Lost in Yonkers,https://en.wikipedia.org/wiki/Lost_in_Yonkers
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Patrick Mason,https://en.wikipedia.org/wiki/Patrick_Mason,Dancing at Lughnasa,https://en.wikipedia.org/wiki/Dancing_at_Lughnasa
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Peter Hall,https://en.wikipedia.org/wiki/Peter_Hall_(director),Four Baboons Adoring the Sun,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Jack O'Brien,https://en.wikipedia.org/wiki/Jack_O%27Brien_(director),Two Shakespearean Actors,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,Conversations with My Father,https://en.wikipedia.org/wiki/Conversations_with_My_Father
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Angels in America: Millennium Approaches,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,David Leveaux,https://en.wikipedia.org/wiki/David_Leveaux,Anna Christie,https://en.wikipedia.org/wiki/Anna_Christie
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Eric Simonson,https://en.wikipedia.org/wiki/Eric_Simonson,The Song of Jacob Zulu,https://en.wikipedia.org/wiki/The_Song_of_Jacob_Zulu
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Daniel J. Sullivan,https://en.wikipedia.org/wiki/Daniel_J._Sullivan,The Sisters Rosensweig,https://en.wikipedia.org/wiki/The_Sisters_Rosensweig
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,George C. Wolfe,https://en.wikipedia.org/wiki/George_C._Wolfe,Angels in America: Perestroika,https://en.wikipedia.org/wiki/Angels_in_America:_A_Gay_Fantasia_on_National_Themes
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Michael Langham,https://en.wikipedia.org/wiki/Michael_Langham,Timon of Athens,https://en.wikipedia.org/wiki/Timon_of_Athens
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Gerald Gutierrez,https://en.wikipedia.org/wiki/Gerald_Gutierrez,Abe Lincoln in Illinois,https://en.wikipedia.org/wiki/Abe_Lincoln_in_Illinois_(play)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Stephen Daldry,https://en.wikipedia.org/wiki/Stephen_Daldry,An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,Gerald Gutierrez,https://en.wikipedia.org/wiki/Gerald_Gutierrez,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Emily Mann,https://en.wikipedia.org/wiki/Emily_Mann_(director),Having Our Say,https://en.wikipedia.org/wiki/Having_Our_Say
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Joe Mantello,https://en.wikipedia.org/wiki/Joe_Mantello,Love! Valour! Compassion!,https://en.wikipedia.org/wiki/Love!_Valour!_Compassion!
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Sean Mathias,https://en.wikipedia.org/wiki/Sean_Mathias,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Gerald Gutierrez,https://en.wikipedia.org/wiki/Gerald_Gutierrez,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Peter Hall,https://en.wikipedia.org/wiki/Peter_Hall_(director),An Ideal Husband,https://en.wikipedia.org/wiki/An_Ideal_Husband
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Lloyd Richards,https://en.wikipedia.org/wiki/Lloyd_Richards,Seven Guitars,https://en.wikipedia.org/wiki/Seven_Guitars
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Gary Sinise,https://en.wikipedia.org/wiki/Gary_Sinise,Buried Child,https://en.wikipedia.org/wiki/Buried_Child
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Anthony Page,https://en.wikipedia.org/wiki/Anthony_Page,A Doll's House,https://en.wikipedia.org/wiki/A_Doll%27s_House
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,John Caird,https://en.wikipedia.org/wiki/John_Caird_(director),Stanley,https://en.wikipedia.org/wiki/Stanley_(play)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Richard Eyre,https://en.wikipedia.org/wiki/Richard_Eyre,Skylight,https://en.wikipedia.org/wiki/Skylight_(play)
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Charles Nelson Reilly,https://en.wikipedia.org/wiki/Charles_Nelson_Reilly,The Gin Game,https://en.wikipedia.org/wiki/The_Gin_Game
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Matthew Warchus,https://en.wikipedia.org/wiki/Matthew_Warchus,'Art',https://en.wikipedia.org/wiki/Art_(play)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Simon McBurney,https://en.wikipedia.org/wiki/Simon_McBurney,The Chairs,https://en.wikipedia.org/wiki/The_Chairs
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Michael Mayer,https://en.wikipedia.org/wiki/Michael_Mayer_(director),A View from the Bridge,https://en.wikipedia.org/wiki/A_View_from_the_Bridge
