year,season,season_link,winner,production,production_link,author,author_link
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,The Rope Dancers,,Morton Wishengrad,
1958,12th Tony Awards,/wiki/12th_Tony_Awards,False,Two for the Seesaw,https://en.wikipedia.org/wiki/Two_for_the_Seesaw_(play),William Gibson,https://en.wikipedia.org/wiki/William_Gibson_(playwright)
1959,13th Tony Awards,/wiki/13th_Tony_Awards,True,J.B.†,https://en.wikipedia.org/wiki/J.B._(play),Archibald MacLeish,https://en.wikipedia.org/wiki/Archibald_MacLeish
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,A Touch of the Poet,https://en.wikipedia.org/wiki/A_Touch_of_the_Poet,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,Epitaph for George Dillon,https://en.wikipedia.org/wiki/Epitaph_for_George_Dillon,John Osborne,https://en.wikipedia.org/wiki/John_Osborne
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,The Disenchanted,https://en.wikipedia.org/wiki/The_Disenchanted,Harvey Breit&Budd Schulberg,https://en.wikipedia.org/wiki/Harvey_Breit
1959,13th Tony Awards,/wiki/13th_Tony_Awards,False,The Visit,https://en.wikipedia.org/wiki/The_Visit_(play),Friedrich Dürrenmatt,https://en.wikipedia.org/wiki/Friedrich_D%C3%BCrrenmatt
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,The Tenth Man,https://en.wikipedia.org/wiki/The_Tenth_Man_(Chayefsky_play),Paddy Chayefsky,https://en.wikipedia.org/wiki/Paddy_Chayefsky
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play),Gore Vidal,https://en.wikipedia.org/wiki/Gore_Vidal
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play),Lillian Hellman,https://en.wikipedia.org/wiki/Lillian_Hellman
1960,14th Tony Awards,/wiki/14th_Tony_Awards,True,The Miracle Worker,https://en.wikipedia.org/wiki/The_Miracle_Worker_(play),William Gibson,https://en.wikipedia.org/wiki/William_Gibson_(playwright)
1960,14th Tony Awards,/wiki/14th_Tony_Awards,False,A Raisin in the Sun,https://en.wikipedia.org/wiki/A_Raisin_in_the_Sun,Lorraine Hansberry,https://en.wikipedia.org/wiki/Lorraine_Hansberry
1961,15th Tony Awards,/wiki/15th_Tony_Awards,True,Becket,https://en.wikipedia.org/wiki/Becket,Jean Anouilh,https://en.wikipedia.org/wiki/Jean_Anouilh
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,All the Way Home†,https://en.wikipedia.org/wiki/All_the_Way_Home_(play),Tad Mosel,https://en.wikipedia.org/wiki/Tad_Mosel
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,The Devil's Advocate,https://en.wikipedia.org/wiki/The_Devil%27s_Advocate_(Morris_West_novel),Dore Schary,https://en.wikipedia.org/wiki/Dore_Schary
1961,15th Tony Awards,/wiki/15th_Tony_Awards,False,The Hostage,https://en.wikipedia.org/wiki/The_Hostage_(play),Brendan Behan,https://en.wikipedia.org/wiki/Brendan_Behan
1962,16th Tony Awards,/wiki/16th_Tony_Awards,True,A Man for All Seasons,https://en.wikipedia.org/wiki/A_Man_for_All_Seasons,Robert Bolt,https://en.wikipedia.org/wiki/Robert_Bolt
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,Gideon,https://en.wikipedia.org/wiki/Gideon_(play),Paddy Chayefsky,https://en.wikipedia.org/wiki/Paddy_Chayefsky
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,The Caretaker,https://en.wikipedia.org/wiki/The_Caretaker,Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
1962,16th Tony Awards,/wiki/16th_Tony_Awards,False,The Night of the Iguana,https://en.wikipedia.org/wiki/The_Night_of_the_Iguana,Tennessee Williams,https://en.wikipedia.org/wiki/Tennessee_Williams
1963,17th Tony Awards,/wiki/17th_Tony_Awards,True,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,A Thousand Clowns,https://en.wikipedia.org/wiki/A_Thousand_Clowns,Herb Gardner,https://en.wikipedia.org/wiki/Herb_Gardner
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Mother Courage and Her Children,https://en.wikipedia.org/wiki/Mother_Courage_and_Her_Children,Bertolt Brecht,https://en.wikipedia.org/wiki/Bertolt_Brecht
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Tchin-Tchin,https://en.wikipedia.org/wiki/Tchin-Tchin,Sidney Michaels,https://en.wikipedia.org/wiki/Sidney_Michaels
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Dylan,https://en.wikipedia.org/wiki/Dylan_(1964_play),Sidney Michaels,https://en.wikipedia.org/wiki/Sidney_Michaels
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,The Ballad of the Sad Cafe,https://en.wikipedia.org/wiki/The_Ballad_of_the_Sad_Cafe,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Luther,https://en.wikipedia.org/wiki/Luther_(play),John Osborne,https://en.wikipedia.org/wiki/John_Osborne
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Barefoot in the Park,https://en.wikipedia.org/wiki/Barefoot_in_the_Park,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,The Subject Was Roses†,https://en.wikipedia.org/wiki/The_Subject_Was_Roses,Frank D. Gilroy,https://en.wikipedia.org/wiki/Frank_D._Gilroy
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Luv,https://en.wikipedia.org/wiki/Luv_(play),Murray Schisgal,https://en.wikipedia.org/wiki/Murray_Schisgal
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,The Odd Couple,https://en.wikipedia.org/wiki/The_Odd_Couple_(play),Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Tiny Alice,https://en.wikipedia.org/wiki/Tiny_Alice,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,"Philadelphia, Here I Come!","https://en.wikipedia.org/wiki/Philadelphia,_Here_I_Come!",Brian Friel,https://en.wikipedia.org/wiki/Brian_Friel
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,The Right Honourable Gentleman,https://en.wikipedia.org/wiki/The_Right_Honourable_Gentleman,Michael Dyne,https://en.wikipedia.org/wiki/Michael_Dyne
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Marat/Sade,https://en.wikipedia.org/wiki/Marat/Sade,Peter Weiss,https://en.wikipedia.org/wiki/Peter_Weiss
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Inadmissible Evidence,https://en.wikipedia.org/wiki/Inadmissible_Evidence,John Osborne,https://en.wikipedia.org/wiki/John_Osborne
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,The Homecoming,https://en.wikipedia.org/wiki/The_Homecoming,Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,A Delicate Balance†,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play),Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Black Comedy,https://en.wikipedia.org/wiki/Black_Comedy_(play),Peter Shaffer,https://en.wikipedia.org/wiki/Peter_Shaffer
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,The Killing of Sister George,https://en.wikipedia.org/wiki/The_Killing_of_Sister_George,Frank Marcus,https://en.wikipedia.org/wiki/Frank_Marcus
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Rosencrantz and Guildenstern Are Dead,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern_Are_Dead,Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,A Day in the Death of Joe Egg,https://en.wikipedia.org/wiki/A_Day_in_the_Death_of_Joe_Egg,Peter Nichols,https://en.wikipedia.org/wiki/Peter_Nichols_(playwright)
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Plaza Suite,https://en.wikipedia.org/wiki/Plaza_Suite,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,The Price,https://en.wikipedia.org/wiki/The_Price_(play),Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,The Man in the Glass Booth,https://en.wikipedia.org/wiki/The_Man_in_the_Glass_Booth,Robert Shaw,https://en.wikipedia.org/wiki/Robert_Shaw_(British_actor)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Lovers,https://en.wikipedia.org/wiki/Lovers_(play),Brian Friel,https://en.wikipedia.org/wiki/Brian_Friel
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Hadrian VII,https://en.wikipedia.org/wiki/Hadrian_the_Seventh,Peter Luke,https://en.wikipedia.org/wiki/Peter_Luke
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,The Great White Hope†,https://en.wikipedia.org/wiki/The_Great_White_Hope,Howard Sackler,https://en.wikipedia.org/wiki/Howard_Sackler
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Borstal Boy,https://en.wikipedia.org/wiki/Borstal_Boy_(play),Frank McMahon,https://en.wikipedia.org/wiki/Frank_McMahon_(author)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(play),Robert Marasco,https://en.wikipedia.org/wiki/Robert_Marasco
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Indians,https://en.wikipedia.org/wiki/Indians_(play),Arthur Kopit,https://en.wikipedia.org/wiki/Arthur_Kopit
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,The Last of the Red Hot Lovers,https://en.wikipedia.org/wiki/The_Last_of_the_Red_Hot_Lovers,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Sleuth,https://en.wikipedia.org/wiki/Sleuth_(play),Anthony Shaffer,https://en.wikipedia.org/wiki/Anthony_Shaffer_(writer)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Home,https://en.wikipedia.org/wiki/Home_(play),David Storey,https://en.wikipedia.org/wiki/David_Storey
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Paul Sills' Story Theatre,https://en.wikipedia.org/wiki/Paul_Sills%27_Story_Theatre,Paul Sills,https://en.wikipedia.org/wiki/Paul_Sills
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,The Philanthropist,https://en.wikipedia.org/wiki/The_Philanthropist_(play),Christopher Hampton,https://en.wikipedia.org/wiki/Christopher_Hampton
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Sticks and Bones,https://en.wikipedia.org/wiki/Sticks_and_Bones,David Rabe,https://en.wikipedia.org/wiki/David_Rabe
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Old Times,https://en.wikipedia.org/wiki/Old_Times,Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,The Prisoner of Second Avenue,https://en.wikipedia.org/wiki/The_Prisoner_of_Second_Avenue,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Vivat! Vivat Regina!,https://en.wikipedia.org/wiki/Vivat!_Vivat_Regina!,Robert Bolt,https://en.wikipedia.org/wiki/Robert_Bolt
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,The Sunshine Boys,https://en.wikipedia.org/wiki/The_Sunshine_Boys,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,The Changing Room,https://en.wikipedia.org/wiki/The_Changing_Room,David Storey,https://en.wikipedia.org/wiki/David_Storey
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,That Championship Season†,https://en.wikipedia.org/wiki/That_Championship_Season,Jason Miller,https://en.wikipedia.org/wiki/Jason_Miller_(playwright)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Butley,https://en.wikipedia.org/wiki/Butley_(play),Simon Gray,https://en.wikipedia.org/wiki/Simon_Gray
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,The River Niger,https://en.wikipedia.org/wiki/The_River_Niger,Joseph A. Walker,https://en.wikipedia.org/wiki/Joseph_A._Walker_(playwright)
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,In the Boom Boom Room,https://en.wikipedia.org/wiki/In_the_Boom_Boom_Room,David Rabe,https://en.wikipedia.org/wiki/David_Rabe
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,The Au Pair Man,,Hugh Leonard,https://en.wikipedia.org/wiki/Hugh_Leonard
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Ulysses in Nighttown,https://en.wikipedia.org/wiki/Ulysses_in_Nighttown,Marjorie Barkentin,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Seascape†,https://en.wikipedia.org/wiki/Seascape_(play),Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,Equus,https://en.wikipedia.org/wiki/Equus_(play),Peter Shaffer,https://en.wikipedia.org/wiki/Peter_Shaffer
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,"Same Time, Next Year","https://en.wikipedia.org/wiki/Same_Time,_Next_Year_(play)",Bernard Slade,https://en.wikipedia.org/wiki/Bernard_Slade
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Short Eyes,https://en.wikipedia.org/wiki/Short_Eyes_(play),Miguel Pinero,https://en.wikipedia.org/wiki/Miguel_Pinero
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Sizwe Banzi Is Dead/The Island,https://en.wikipedia.org/wiki/Sizwe_Banzi_Is_Dead,"Athol Fugard,John Kani&Winston Ntshona",https://en.wikipedia.org/wiki/Athol_Fugard
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,The National Health,https://en.wikipedia.org/wiki/The_National_Health_(play),Peter Nichols,https://en.wikipedia.org/wiki/Peter_Nichols_(playwright)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Lamppost Reunion,,Louis La Russo,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,The First Breeze of Summer,,Leslie Lee,https://en.wikipedia.org/wiki/Leslie_Lee_(playwright)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,Travesties,https://en.wikipedia.org/wiki/Travesties,Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Knock Knock,https://en.wikipedia.org/wiki/Knock_Knock_(play),Jules Feiffer,https://en.wikipedia.org/wiki/Jules_Feiffer
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Streamers,https://en.wikipedia.org/wiki/Streamers_(play),David Rabe,https://en.wikipedia.org/wiki/David_Rabe
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Otherwise Engaged,https://en.wikipedia.org/wiki/Otherwise_Engaged,Simon Gray,https://en.wikipedia.org/wiki/Simon_Gray
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,The Shadow Box†,https://en.wikipedia.org/wiki/The_Shadow_Box,Michael Cristofer,https://en.wikipedia.org/wiki/Michael_Cristofer
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,For Colored Girls Who Have Considered Suicide When the Rainbow Is Enuf,https://en.wikipedia.org/wiki/For_Colored_Girls_Who_Have_Considered_Suicide_When_the_Rainbow_Is_Enuf,Ntozake Shange,https://en.wikipedia.org/wiki/Ntozake_Shange
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,Da,https://en.wikipedia.org/wiki/Da_(play),Hugh Leonard,https://en.wikipedia.org/wiki/Hugh_Leonard
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Chapter Two,https://en.wikipedia.org/wiki/Chapter_Two_(play),Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Deathtrap,https://en.wikipedia.org/wiki/Deathtrap_(play),Ira Levin,https://en.wikipedia.org/wiki/Ira_Levin
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,The Gin Game†,https://en.wikipedia.org/wiki/The_Gin_Game,Donald L. Coburn,https://en.wikipedia.org/wiki/Donald_L._Coburn
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,The Elephant Man,https://en.wikipedia.org/wiki/The_Elephant_Man_(play),Bernard Pomerance,https://en.wikipedia.org/wiki/Bernard_Pomerance
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Bedroom Farce,https://en.wikipedia.org/wiki/Bedroom_Farce_(play),Alan Ayckbourn,https://en.wikipedia.org/wiki/Alan_Ayckbourn
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Whose Life Is It Anyway?,https://en.wikipedia.org/wiki/Whose_Life_Is_It_Anyway%3F_(play),Brian Clark,https://en.wikipedia.org/wiki/Brian_Clark_(writer)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Wings,https://en.wikipedia.org/wiki/Wings_(play),Arthur Kopit,https://en.wikipedia.org/wiki/Arthur_Kopit
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Children of a Lesser God,https://en.wikipedia.org/wiki/Children_of_a_Lesser_God_(play),Mark Medoff,https://en.wikipedia.org/wiki/Mark_Medoff
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Bent,https://en.wikipedia.org/wiki/Bent_(play),Martin Sherman,https://en.wikipedia.org/wiki/Martin_Sherman
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Home,https://en.wikipedia.org/wiki/Home_(play),Samm-Art Williams,https://en.wikipedia.org/wiki/Samm-Art_Williams
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Talley's Folly†,https://en.wikipedia.org/wiki/Talley%27s_Folly,Lanford Wilson,https://en.wikipedia.org/wiki/Lanford_Wilson
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Fifth of July,https://en.wikipedia.org/wiki/Fifth_of_July,Lanford Wilson,https://en.wikipedia.org/wiki/Lanford_Wilson
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,A Life,https://en.wikipedia.org/wiki/A_Life_(play),Hugh Leonard,https://en.wikipedia.org/wiki/Hugh_Leonard
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,A Lesson from Aloes,https://en.wikipedia.org/wiki/A_Lesson_from_Aloes,Athol Fugard,https://en.wikipedia.org/wiki/Athol_Fugard
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Amadeus,https://en.wikipedia.org/wiki/Amadeus_(play),Peter Shaffer,https://en.wikipedia.org/wiki/Peter_Shaffer
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,The Life and Adventures of Nicholas Nickleby,https://en.wikipedia.org/wiki/The_Life_and_Adventures_of_Nicholas_Nickleby_(play),David Edgar,https://en.wikipedia.org/wiki/David_Edgar_(playwright)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Crimes of the Heart†,https://en.wikipedia.org/wiki/Crimes_of_the_Heart,Beth Henley,https://en.wikipedia.org/wiki/Beth_Henley
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,"""Master Harold""...and the Boys",https://en.wikipedia.org/wiki/%22Master_Harold%22...and_the_Boys,Athol Fugard,https://en.wikipedia.org/wiki/Athol_Fugard
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,The Dresser,https://en.wikipedia.org/wiki/The_Dresser,Ronald Harwood,https://en.wikipedia.org/wiki/Ronald_Harwood
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,Torch Song Trilogy,https://en.wikipedia.org/wiki/Torch_Song_Trilogy,Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Angels Fall,https://en.wikipedia.org/wiki/Angels_Fall,Lanford Wilson,https://en.wikipedia.org/wiki/Lanford_Wilson
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Plenty,https://en.wikipedia.org/wiki/Plenty_(play),David Hare,https://en.wikipedia.org/wiki/David_Hare_(playwright)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,"'night, Mother†","https://en.wikipedia.org/wiki/%27night,_Mother",Marsha Norman,https://en.wikipedia.org/wiki/Marsha_Norman
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,The Real Thing,https://en.wikipedia.org/wiki/The_Real_Thing_(play),Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Glengarry Glen Ross†,https://en.wikipedia.org/wiki/Glengarry_Glen_Ross,David Mamet,https://en.wikipedia.org/wiki/David_Mamet
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Noises Off,https://en.wikipedia.org/wiki/Noises_Off,Michael Frayn,https://en.wikipedia.org/wiki/Michael_Frayn
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Play Memory,,Joanna Glass,https://en.wikipedia.org/wiki/Joanna_Glass
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Hurlyburly,https://en.wikipedia.org/wiki/Hurlyburly,David Rabe,https://en.wikipedia.org/wiki/David_Rabe
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Ma Rainey's Black Bottom,https://en.wikipedia.org/wiki/Ma_Rainey%27s_Black_Bottom,August Wilson,https://en.wikipedia.org/wiki/August_Wilson
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,Biloxi Blues,https://en.wikipedia.org/wiki/Biloxi_Blues,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,As Is,https://en.wikipedia.org/wiki/As_Is_(play),William M. Hoffman,https://en.wikipedia.org/wiki/William_M._Hoffman
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Blood Knot,https://en.wikipedia.org/wiki/Blood_Knot,Athol Fugard,https://en.wikipedia.org/wiki/Athol_Fugard
