year,season,season_link,winner,author,author_link,production,production_link
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Stephen Schwartz,https://en.wikipedia.org/wiki/Stephen_Schwartz_(composer),Working,https://en.wikipedia.org/wiki/Working_(musical)
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Elizabeth Swados,https://en.wikipedia.org/wiki/Elizabeth_Swados,Runaways,https://en.wikipedia.org/wiki/Runaways_(musical)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Larry L. King&Peter Masterson,https://en.wikipedia.org/wiki/Larry_L._King,The Best Little Whorehouse in Texas,https://en.wikipedia.org/wiki/The_Best_Little_Whorehouse_in_Texas
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Hugh Wheeler,https://en.wikipedia.org/wiki/Hugh_Wheeler,Sweeney Todd: The Demon Barber of Fleet Street,https://en.wikipedia.org/wiki/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Jerome Kass,https://en.wikipedia.org/wiki/Jerome_Kass,Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Neil Simon,https://en.wikipedia.org/wiki/Neil_Simon,They're Playing Our Song,https://en.wikipedia.org/wiki/They%27re_Playing_Our_Song
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Dick Vosburgh,https://en.wikipedia.org/wiki/Dick_Vosburgh,A Day in Hollywood/A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood/A_Night_in_the_Ukraine
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Mark Bramble,https://en.wikipedia.org/wiki/Mark_Bramble,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Ralph G. Allen&Harry Rigby,https://en.wikipedia.org/wiki/Ralph_G._Allen,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Evita,https://en.wikipedia.org/wiki/Evita_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,Woman of the Year,https://en.wikipedia.org/wiki/Woman_of_the_Year_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Mark Bramble&Michael Stewart,https://en.wikipedia.org/wiki/Mark_Bramble,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Mary Kyte,,Tintypes,https://en.wikipedia.org/wiki/Tintypes
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Julian More &Monty Norman,https://en.wikipedia.org/wiki/Monty_Norman,The Moony Shapiro Songbook,https://en.wikipedia.org/wiki/The_Moony_Shapiro_Songbook
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Tom Eyen,https://en.wikipedia.org/wiki/Tom_Eyen,Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Martin Charnin&Joel Siegel,https://en.wikipedia.org/wiki/Martin_Charnin,The First,https://en.wikipedia.org/wiki/The_First_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Arthur Kopit,https://en.wikipedia.org/wiki/Arthur_Kopit,Nine,https://en.wikipedia.org/wiki/Nine_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Tim Rice,https://en.wikipedia.org/wiki/Tim_Rice,Joseph and the Amazing Technicolor Dreamcoat,https://en.wikipedia.org/wiki/Joseph_and_the_Amazing_Technicolor_Dreamcoat
1983,37th Tony Awards,/wiki/37th_Tony_Awards,True,T. S. Eliot,https://en.wikipedia.org/wiki/T._S._Eliot,Cats,https://en.wikipedia.org/wiki/Cats_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,A Doll's Life,https://en.wikipedia.org/wiki/A_Doll%27s_Life
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Richard Levinson&William Link,https://en.wikipedia.org/wiki/Richard_Levinson,Merlin,https://en.wikipedia.org/wiki/Merlin_(musical)
1983,37th Tony Awards,/wiki/37th_Tony_Awards,False,Timothy S. Mayer &Peter Stone,https://en.wikipedia.org/wiki/Peter_Stone,My One and Only,https://en.wikipedia.org/wiki/My_One_and_Only_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Sybille Pearson,https://en.wikipedia.org/wiki/Sybille_Pearson,Baby,https://en.wikipedia.org/wiki/Baby_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,James Lapine,https://en.wikipedia.org/wiki/James_Lapine,Sunday in the Park with George,https://en.wikipedia.org/wiki/Sunday_in_the_Park_with_George
1984,38th Tony Awards,/wiki/38th_Tony_Awards,True,Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein,La Cage aux Folles,https://en.wikipedia.org/wiki/La_Cage_aux_Folles_(musical)
1984,38th Tony Awards,/wiki/38th_Tony_Awards,False,Charles Blackwell,,The Tap Dance Kid,https://en.wikipedia.org/wiki/The_Tap_Dance_Kid
1985,39th Tony Awards,/wiki/39th_Tony_Awards,True,William Hauptman,https://en.wikipedia.org/wiki/William_Hauptman,Big River,https://en.wikipedia.org/wiki/Big_River_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Barbara Damashek &Molly Newman,https://en.wikipedia.org/wiki/Molly_Newman,Quilters,https://en.wikipedia.org/wiki/Quilters_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Fay Kanin,https://en.wikipedia.org/wiki/Fay_Kanin,Grind,https://en.wikipedia.org/wiki/Grind_(musical)
1985,39th Tony Awards,/wiki/39th_Tony_Awards,False,Michael Stewart,https://en.wikipedia.org/wiki/Michael_Stewart_(playwright),Harrigan 'N Hart,https://en.wikipedia.org/wiki/Harrigan_%27N_Hart
1986,40th Tony Awards,/wiki/40th_Tony_Awards,True,Rupert Holmes,https://en.wikipedia.org/wiki/Rupert_Holmes,The Mystery of Edwin Drood,https://en.wikipedia.org/wiki/Drood
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Betty Comden&Adolph Green,https://en.wikipedia.org/wiki/Betty_Comden,Singin' in the Rain,https://en.wikipedia.org/wiki/Singin%27_in_the_Rain_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Bob Fosse,https://en.wikipedia.org/wiki/Bob_Fosse,Big Deal,https://en.wikipedia.org/wiki/Big_Deal_(musical)
1986,40th Tony Awards,/wiki/40th_Tony_Awards,False,Jane Iredale,,Wind in the Willows,https://en.wikipedia.org/wiki/Wind_in_the_Willows
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Joseph Stein,https://en.wikipedia.org/wiki/Joseph_Stein,Rags,https://en.wikipedia.org/wiki/Rags_(musical)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,"Stephen Fry,Douglas Furber,Mike Ockrent& L. Arthur Rose",https://en.wikipedia.org/wiki/Stephen_Fry,Me and My Girl,https://en.wikipedia.org/wiki/Me_and_My_Girl
1987,41st Tony Awards,/wiki/41st_Tony_Awards,True,Alain Boublil&Claude-Michel Schönberg,https://en.wikipedia.org/wiki/Alain_Boublil,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical)
1987,41st Tony Awards,/wiki/41st_Tony_Awards,False,Howard Ashman,https://en.wikipedia.org/wiki/Howard_Ashman,Smile,https://en.wikipedia.org/wiki/Smile_(musical)
