year,season,season_link,winner,musical,musical_link,music,music_link,lyrics,lyrics_link
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,110 in the Shade,https://en.wikipedia.org/wiki/110_in_the_Shade,Harvey Schmidt,https://en.wikipedia.org/wiki/Harvey_Schmidt,Tom Jones,https://en.wikipedia.org/wiki/Tom_Jones_(writer)
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical),Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray,Timothy Gray&Hugh Martin,https://en.wikipedia.org/wiki/Timothy_Gray
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Funny Girl,https://en.wikipedia.org/wiki/Funny_Girl_(musical),Jule Styne,https://en.wikipedia.org/wiki/Jule_Styne,Bob Merrill,https://en.wikipedia.org/wiki/Bob_Merrill
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Jerry Bock,https://en.wikipedia.org/wiki/Jerry_Bock,Sheldon Harnick,https://en.wikipedia.org/wiki/Sheldon_Harnick
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Do I Hear a Waltz?,https://en.wikipedia.org/wiki/Do_I_Hear_a_Waltz%3F,Richard Rodgers,https://en.wikipedia.org/wiki/Richard_Rodgers,Stephen Sondheim,https://en.wikipedia.org/wiki/Stephen_Sondheim
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence,David Heneker,https://en.wikipedia.org/wiki/David_Heneker,David Heneker,https://en.wikipedia.org/wiki/David_Heneker
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,The Roar of the Greasepaint – The Smell of the Crowd,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd,Anthony Newley,https://en.wikipedia.org/wiki/Anthony_Newley,Leslie Bricusse,https://en.wikipedia.org/wiki/Leslie_Bricusse
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha,Mitch Leigh,https://en.wikipedia.org/wiki/Mitch_Leigh,Joe Darion,https://en.wikipedia.org/wiki/Joe_Darion
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Mame,https://en.wikipedia.org/wiki/Mame_(musical),Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman,Jerry Herman,https://en.wikipedia.org/wiki/Jerry_Herman
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,On a Clear Day You Can See Forever,https://en.wikipedia.org/wiki/On_a_Clear_Day_You_Can_See_Forever,Burton Lane,https://en.wikipedia.org/wiki/Burton_Lane,Alan Jay Lerner,https://en.wikipedia.org/wiki/Alan_Jay_Lerner
