year,season,season_link,winner,designer,designer_link,production,production_link
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,"Hello, Dolly!","https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)"
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Beni Montresor,https://en.wikipedia.org/wiki/Beni_Montresor,Marco Millions,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Irene Sharaff,https://en.wikipedia.org/wiki/Irene_Sharaff,The Girl Who Came to Supper,https://en.wikipedia.org/wiki/The_Girl_Who_Came_to_Supper
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Motley Theatre Design Group,https://en.wikipedia.org/wiki/Motley_Theatre_Design_Group,Baker Street,https://en.wikipedia.org/wiki/Baker_Street_(musical)
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,The Roar of the Greasepaint – The Smell of the Crowd,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,Tartuffe,https://en.wikipedia.org/wiki/Tartuffe
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Loudon Sainthill,https://en.wikipedia.org/wiki/Loudon_Sainthill,The Right Honourable Gentleman,https://en.wikipedia.org/wiki/The_Right_Honourable_Gentleman
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Irene Sharaff,https://en.wikipedia.org/wiki/Irene_Sharaff,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Gunilla Palmstierna-Weiss,,Marat/Sade,https://en.wikipedia.org/wiki/Marat/Sade
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Howard Bayand Patton Campbell,https://en.wikipedia.org/wiki/Howard_Bay_(designer),Man of La Mancha,https://en.wikipedia.org/wiki/Man_of_La_Mancha
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical)
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Nancy Potts,,The School for ScandalandThe Wild Duck,https://en.wikipedia.org/wiki/The_School_for_Scandal
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Tony Walton,https://en.wikipedia.org/wiki/Tony_Walton,The Apple Tree,https://en.wikipedia.org/wiki/The_Apple_Tree
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,I Do! I Do!,https://en.wikipedia.org/wiki/I_Do!_I_Do!
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Desmond Heeley,https://en.wikipedia.org/wiki/Desmond_Heeley,Rosencrantz and Guildenstern Are Dead,https://en.wikipedia.org/wiki/Rosencrantz_and_Guildenstern_Are_Dead
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Jane Greenwood,https://en.wikipedia.org/wiki/Jane_Greenwood,More Stately Mansions,https://en.wikipedia.org/wiki/More_Stately_Mansions
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Irene Sharaff,https://en.wikipedia.org/wiki/Irene_Sharaff,"Hallelujah, Baby!","https://en.wikipedia.org/wiki/Hallelujah,_Baby!"
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Robert Fletcher,https://en.wikipedia.org/wiki/Robert_Fletcher_(costume_designer),Hadrian VII,https://en.wikipedia.org/wiki/Hadrian_VII
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Patricia Zipprodt,https://en.wikipedia.org/wiki/Patricia_Zipprodt,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Loudon Sainthill,https://en.wikipedia.org/wiki/Loudon_Sainthill,Canterbury Tales,https://en.wikipedia.org/wiki/Canterbury_Tales_(musical)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Michael Annals,https://en.wikipedia.org/wiki/Michael_Annals,"Morning, Noon and Night",https://en.wikipedia.org/wiki/Noon_(play)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Ray Aghayan,https://en.wikipedia.org/wiki/Ray_Aghayan,Applause,https://en.wikipedia.org/wiki/Applause_(musical)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,W. Robert Lavine,,Jimmy,https://en.wikipedia.org/wiki/Jimmy_(musical)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Freddy Wittop,https://en.wikipedia.org/wiki/Freddy_Wittop,A Patriot for Me,https://en.wikipedia.org/wiki/A_Patriot_for_Me
