year,season,season_link,winner,actress,actress_link,musical,musical_link,character,character_link
1963,17th Tony Awards,/wiki/17th_Tony_Awards,False,Louise Troy,https://en.wikipedia.org/wiki/Louise_Troy,Tovarich,https://en.wikipedia.org/wiki/Tovarich_(musical),Natalia Mayovskaya,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Louise Troy,https://en.wikipedia.org/wiki/Louise_Troy,High Spirits,https://en.wikipedia.org/wiki/High_Spirits_(musical),Ruth Condomine,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Kay Medford,https://en.wikipedia.org/wiki/Kay_Medford,Funny Girl,https://en.wikipedia.org/wiki/Funny_Girl_(musical),Rose Brice,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,True,Tessie O'Shea,https://en.wikipedia.org/wiki/Tessie_O%27Shea,The Girl Who Came to Supper,https://en.wikipedia.org/wiki/The_Girl_Who_Came_to_Supper,Ada Cockle,
1964,18th Tony Awards,/wiki/18th_Tony_Awards,False,Julienne Marie,https://en.wikipedia.org/wiki/Julienne_Marie,Foxy,https://en.wikipedia.org/wiki/Foxy_(musical),Celia,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,True,Maria Karnilova,https://en.wikipedia.org/wiki/Maria_Karnilova,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,Golde,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Luba Lisa,https://en.wikipedia.org/wiki/Luba_Lisa,I Had a Ball,https://en.wikipedia.org/wiki/I_Had_a_Ball,Addie,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Carrie Nye,https://en.wikipedia.org/wiki/Carrie_Nye,Half a Sixpence,https://en.wikipedia.org/wiki/Half_a_Sixpence,Helen Walsingham,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Barbara Windsor,https://en.wikipedia.org/wiki/Barbara_Windsor,"Oh, What a Lovely War!","https://en.wikipedia.org/wiki/Oh,_What_a_Lovely_War!",Various Characters,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Bea Arthur,https://en.wikipedia.org/wiki/Bea_Arthur,Mame,https://en.wikipedia.org/wiki/Mame_(musical),Vera Charles,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Helen Gallagher,https://en.wikipedia.org/wiki/Helen_Gallagher,Sweet Charity,https://en.wikipedia.org/wiki/Sweet_Charity,Nickie,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Patricia Marand,https://en.wikipedia.org/wiki/Patricia_Marand,It's a Bird...It's a Plane...It's Superman,https://en.wikipedia.org/wiki/It%27s_a_Bird...It%27s_a_Plane...It%27s_Superman,Lois Lane,https://en.wikipedia.org/wiki/Lois_Lane
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Charlotte Rae,https://en.wikipedia.org/wiki/Charlotte_Rae,Pickwick,https://en.wikipedia.org/wiki/Pickwick_(musical),Mrs. Bardell,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Peg Murray,https://en.wikipedia.org/wiki/Peg_Murray,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Fraulein Kost,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Leland Palmer,https://en.wikipedia.org/wiki/Leland_Palmer_(actress),A Joyful Noise,https://en.wikipedia.org/wiki/A_Joyful_Noise,Miss Jimmie,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Josephine Premice,https://en.wikipedia.org/wiki/Josephine_Premice,A Hand Is on the Gate,https://en.wikipedia.org/wiki/A_Hand_Is_on_the_Gate,Various Characters,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Susan Watson,https://en.wikipedia.org/wiki/Susan_Watson,A Joyful Noise,,Jenny Lee,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Alice Playten,https://en.wikipedia.org/wiki/Alice_Playten,"Henry, Sweet Henry","https://en.wikipedia.org/wiki/Henry,_Sweet_Henry",Lillian 'Lili' Kafritz,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Julie Gregg,https://en.wikipedia.org/wiki/Julie_Gregg,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),Laurie Mannon,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Lillian Hayman,https://en.wikipedia.org/wiki/Lillian_Hayman,"Hallelujah, Baby!","https://en.wikipedia.org/wiki/Hallelujah,_Baby!",Momma,
