year,season,season_link,winner,actor,actor_link,role,play,play_link,ref,ref_link,role_link
1963,1963,/wiki/17th_Tony_Awards,False,Frank Silvera,https://en.wikipedia.org/wiki/Frank_Silvera,M. Duval,The Lady of the Carnellias,,[19],https://en.wikipedia.org#cite_note-1963_Awards-20,
1963,1963,/wiki/17th_Tony_Awards,True,Alan Arkin,https://en.wikipedia.org/wiki/Alan_Arkin,David Kolowitz,Enter Laughing,https://en.wikipedia.org/wiki/Enter_Laughing,[19],https://en.wikipedia.org#cite_note-1963_Awards-20,
1963,1963,/wiki/17th_Tony_Awards,False,Barry Gordon,https://en.wikipedia.org/wiki/Barry_Gordon,Nick Burns,A Thousand Clowns,https://en.wikipedia.org/wiki/A_Thousand_Clowns,[19],https://en.wikipedia.org#cite_note-1963_Awards-20,
1964,1964,/wiki/18th_Tony_Awards,True,Hume Cronyn,https://en.wikipedia.org/wiki/Hume_Cronyn,Polonius,Hamlet,https://en.wikipedia.org/wiki/Hamlet,[20],https://en.wikipedia.org#cite_note-1964_Awards-21,https://en.wikipedia.org/wiki/Polonius
1964,1964,/wiki/18th_Tony_Awards,False,Lee Allen,,Patsy,Marathon '33,,[20],https://en.wikipedia.org#cite_note-1964_Awards-21,
1964,1964,/wiki/18th_Tony_Awards,False,Michael Dunn,https://en.wikipedia.org/wiki/Michael_Dunn_(actor),Cousin Lyman,The Ballad of the Sad Café,https://en.wikipedia.org/wiki/The_Ballad_of_the_Sad_Caf%C3%A9,[20],https://en.wikipedia.org#cite_note-1964_Awards-21,
1964,1964,/wiki/18th_Tony_Awards,False,Larry Gates,https://en.wikipedia.org/wiki/Larry_Gates,Boyd Bendix,A Case of Libel,,[20],https://en.wikipedia.org#cite_note-1964_Awards-21,
1965,1965,/wiki/19th_Tony_Awards,True,Jack Albertson,https://en.wikipedia.org/wiki/Jack_Albertson,John Cleary,The Subject Was Roses,https://en.wikipedia.org/wiki/The_Subject_Was_Roses,[21],https://en.wikipedia.org#cite_note-1965_Awards-22,
1965,1965,/wiki/19th_Tony_Awards,False,Murray Hamilton,https://en.wikipedia.org/wiki/Murray_Hamilton,Otis Clifton,Absence of a Cello,,[21],https://en.wikipedia.org#cite_note-1965_Awards-22,
1965,1965,/wiki/19th_Tony_Awards,False,Martin Sheen,https://en.wikipedia.org/wiki/Martin_Sheen,Timmy Cleary,The Subject Was Roses,https://en.wikipedia.org/wiki/The_Subject_Was_Roses,[21],https://en.wikipedia.org#cite_note-1965_Awards-22,
