year,season,season_link,winner,designer,production,production_link,designer_link
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Robert Randolph,Golden Rainbow,https://en.wikipedia.org/wiki/Golden_Rainbow_(musical),
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Peter Wexler,The Happy Time,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Jo Mielziner,1776,https://en.wikipedia.org/wiki/1776_(musical),https://en.wikipedia.org/wiki/Jo_Mielziner
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Oliver Smith,Dear World,https://en.wikipedia.org/wiki/Dear_World,https://en.wikipedia.org/wiki/Oliver_Smith_(designer)
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Boris Aronson,Zorba,https://en.wikipedia.org/wiki/Zorba_(musical),https://en.wikipedia.org/wiki/Boris_Aronson
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Derek Cousins,Canterbury Tales,https://en.wikipedia.org/wiki/Canterbury_Tales_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Jo Mielziner,Child's Play,https://en.wikipedia.org/wiki/Child%27s_Play_(play),https://en.wikipedia.org/wiki/Jo_Mielziner
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Howard Bay,Cry for Us All,https://en.wikipedia.org/wiki/Cry_for_Us_All,https://en.wikipedia.org/wiki/Howard_Bay_(designer)
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Ming Cho Lee,Billy,https://en.wikipedia.org/wiki/Billy_(musical),https://en.wikipedia.org/wiki/Ming_Cho_Lee
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Robert Randolph,Applause,https://en.wikipedia.org/wiki/Applause_(musical),
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Boris Aronson,Company,https://en.wikipedia.org/wiki/Company_(musical),https://en.wikipedia.org/wiki/Boris_Aronson
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,John Bury,The Rothschilds,https://en.wikipedia.org/wiki/The_Rothschilds_(musical),https://en.wikipedia.org/wiki/John_Bury_(theatre_designer)
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Sally Jacobs,A Midsummer Night's Dream,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream,https://en.wikipedia.org/wiki/Sally_Jacobs
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Jo Mielziner,Father's Day,,https://en.wikipedia.org/wiki/Jo_Mielziner
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Boris Aronson,Follies,https://en.wikipedia.org/wiki/Follies,https://en.wikipedia.org/wiki/Boris_Aronson
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,John Bury,Old Times,https://en.wikipedia.org/wiki/Old_Times,https://en.wikipedia.org/wiki/John_Bury_(theatre_designer)
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Kert Lundell,Ain't Supposed to Die a Natural Death,https://en.wikipedia.org/wiki/Ain%27t_Supposed_to_Die_a_Natural_Death,
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Robin Wagner,Jesus Christ Superstar,https://en.wikipedia.org/wiki/Jesus_Christ_Superstar,https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Santo Loquasto,That Championship Season,https://en.wikipedia.org/wiki/That_Championship_Season,https://en.wikipedia.org/wiki/Santo_Loquasto
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,David Jenkins,The Changing Room,https://en.wikipedia.org/wiki/The_Changing_Room,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Tony Walton,Pippin,https://en.wikipedia.org/wiki/Pippin_(musical),https://en.wikipedia.org/wiki/Tony_Walton
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Boris Aronson,A Little Night Music,https://en.wikipedia.org/wiki/A_Little_Night_Music,https://en.wikipedia.org/wiki/Boris_Aronson
