year,season,season_link,winner,designer,production,production_link,designer_link
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Bob Crowley,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical),https://en.wikipedia.org/wiki/Bob_Crowley
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Peter J. Davidson,Medea,https://en.wikipedia.org/wiki/Medea_(play),
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Ian MacNeil,An Inspector Calls,https://en.wikipedia.org/wiki/An_Inspector_Calls,https://en.wikipedia.org/wiki/Ian_MacNeil_(stage_designer)
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Tony Walton,She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,https://en.wikipedia.org/wiki/Tony_Walton
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Mark Thompson,Arcadia,https://en.wikipedia.org/wiki/Arcadia_(play),
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Stephen Brimson Lewis,Indiscretions,https://en.wikipedia.org/wiki/Les_Parents_terribles,https://en.wikipedia.org/wiki/Stephen_Brimson_Lewis
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,John Napier,Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard,https://en.wikipedia.org/wiki/John_Napier_(designer)
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,John Lee Beatty,The Heiress,https://en.wikipedia.org/wiki/The_Heiress_(1947_play),https://en.wikipedia.org/wiki/John_Lee_Beatty
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Brian Thomson,The King and I,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Brian_Thomson_(scenic_designer)
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,John Lee Beatty,A Delicate Balance,https://en.wikipedia.org/wiki/A_Delicate_Balance_(play),https://en.wikipedia.org/wiki/John_Lee_Beatty
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Scott Bradley,Seven Guitars,https://en.wikipedia.org/wiki/Seven_Guitars,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Anthony Ward,A Midsummer Night's Dream,https://en.wikipedia.org/wiki/A_Midsummer_Night%27s_Dream,https://en.wikipedia.org/wiki/Anthony_Ward
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Stewart Laing,Titanic,https://en.wikipedia.org/wiki/Titanic_(musical),https://en.wikipedia.org/wiki/Stewart_Laing
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,John Lee Beatty,The Little Foxes,https://en.wikipedia.org/wiki/The_Little_Foxes,https://en.wikipedia.org/wiki/John_Lee_Beatty
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,G.W. Mercier andJulie Taymor,Juan Darién,https://en.wikipedia.org/wiki/Juan_Dari%C3%A9n:_A_Carnival_Mass_(score),https://en.wikipedia.org/wiki/Julie_Taymor
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Tony Walton,Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier,https://en.wikipedia.org/wiki/Tony_Walton
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Eugene Lee,Ragtime,https://en.wikipedia.org/wiki/Ragtime_(musical),https://en.wikipedia.org/wiki/Eugene_Lee_(designer)
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Quay Brothers,The Chairs,https://en.wikipedia.org/wiki/The_Chairs,https://en.wikipedia.org/wiki/Quay_Brothers
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,False,Bob Crowley,The Capeman,https://en.wikipedia.org/wiki/The_Capeman,https://en.wikipedia.org/wiki/Bob_Crowley
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Richard Hudson,The Lion King,https://en.wikipedia.org/wiki/The_Lion_King_(musical),https://en.wikipedia.org/wiki/Richard_Hudson_(stage_designer)
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,True,Richard Hoover,Not About Nightingales,https://en.wikipedia.org/wiki/Not_About_Nightingales,
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Bob Crowley,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,https://en.wikipedia.org/wiki/Bob_Crowley
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Bob Crowley,Twelfth Night,https://en.wikipedia.org/wiki/Twelfth_Night,https://en.wikipedia.org/wiki/Bob_Crowley
1999,53rd Tony Awards,/wiki/53rd_Tony_Awards,False,Ricardo Hernández,Parade,https://en.wikipedia.org/wiki/Parade_(musical),
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Tony Walton,Uncle Vanya,https://en.wikipedia.org/wiki/Uncle_Vanya,https://en.wikipedia.org/wiki/Tony_Walton
2000,54th Tony Awards,/wiki/54th_Tony_Awards,True,Bob Crowley,Aida,https://en.wikipedia.org/wiki/Aida_(musical),https://en.wikipedia.org/wiki/Bob_Crowley
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Thomas Lynch,The Music Man,https://en.wikipedia.org/wiki/The_Music_Man,
2000,54th Tony Awards,/wiki/54th_Tony_Awards,False,Robin Wagner,"Kiss Me, Kate","https://en.wikipedia.org/wiki/Kiss_Me,_Kate",https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,True,Robin Wagner,The Producers,https://en.wikipedia.org/wiki/The_Producers_(musical),https://en.wikipedia.org/wiki/Robin_Wagner_(designer)
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Bob Crowley,The Invention of Love,https://en.wikipedia.org/wiki/The_Invention_of_Love,https://en.wikipedia.org/wiki/Bob_Crowley
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Heidi Ettinger,The Adventures of Tom Sawyer,https://en.wikipedia.org/wiki/The_Adventures_of_Tom_Sawyer,https://en.wikipedia.org/wiki/Heidi_Ettinger
2001,55th Tony Awards,/wiki/55th_Tony_Awards,False,Douglas W. Schmidt,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Daniel Ostling,Metamorphoses,https://en.wikipedia.org/wiki/Metamorphoses_(play),
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,Douglas W. Schmidt,Into the Woods,https://en.wikipedia.org/wiki/Into_the_Woods,
2002,56th Tony Awards,/wiki/56th_Tony_Awards,True,Tim Hatley,Private Lives,https://en.wikipedia.org/wiki/Private_Lives,https://en.wikipedia.org/wiki/Tim_Hatley
2002,56th Tony Awards,/wiki/56th_Tony_Awards,False,John Lee Beatty,Morning's at Seven,https://en.wikipedia.org/wiki/Morning%27s_at_Seven,https://en.wikipedia.org/wiki/John_Lee_Beatty
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,Santo Loquasto,Long Day's Journey into Night,https://en.wikipedia.org/wiki/Long_Day%27s_Journey_into_Night,https://en.wikipedia.org/wiki/Santo_Loquasto
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,David Rockwell,Hairspray,https://en.wikipedia.org/wiki/Hairspray_(musical),https://en.wikipedia.org/wiki/David_Rockwell
2003,57th Tony Awards,/wiki/57th_Tony_Awards,True,Catherine Martin,La bohème,https://en.wikipedia.org/wiki/La_boh%C3%A8me,https://en.wikipedia.org/wiki/Catherine_Martin_(designer)
2003,57th Tony Awards,/wiki/57th_Tony_Awards,False,John Lee Beatty,Dinner at Eight,https://en.wikipedia.org/wiki/Dinner_at_Eight_(play),https://en.wikipedia.org/wiki/John_Lee_Beatty
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Robert Brill,Assassins,https://en.wikipedia.org/wiki/Assassins_(musical),
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Ralph Funicello,"Henry IV, Part 1andPart 2","https://en.wikipedia.org/wiki/Henry_IV,_Part_1",
2004,58th Tony Awards,/wiki/58th_Tony_Awards,True,Eugene Lee,Wicked,https://en.wikipedia.org/wiki/Wicked_(musical),https://en.wikipedia.org/wiki/Eugene_Lee_(designer)
2004,58th Tony Awards,/wiki/58th_Tony_Awards,False,Tom Pye,Fiddler on the Roof,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,
