year,season,season_link,winner,designer,designer_link,production,production_link
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ian MacNeiland Edward Pierce,https://en.wikipedia.org/wiki/Ian_MacNeil_(scenic_designer),Angels in America,https://en.wikipedia.org/wiki/Angels_in_America
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Jan Versweyveld,https://en.wikipedia.org/wiki/Jan_Versweyveld,Network,https://en.wikipedia.org/wiki/Network_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,The Ferryman,https://en.wikipedia.org/wiki/The_Ferryman_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Miriam Buether,https://en.wikipedia.org/wiki/Miriam_Buether,To Kill a Mockingbird,https://en.wikipedia.org/wiki/To_Kill_a_Mockingbird_(2018_play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Bunny Christie,https://en.wikipedia.org/wiki/Bunny_Christie,Ink,https://en.wikipedia.org/wiki/Ink_(play)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Santo Loquasto,https://en.wikipedia.org/wiki/Santo_Loquasto,Gary: A Sequel to Titus Andronicus,https://en.wikipedia.org/wiki/Gary:_A_Sequel_to_Titus_Andronicus
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Rob Howell,https://en.wikipedia.org/wiki/Rob_Howell,A Christmas Carol,https://en.wikipedia.org/wiki/A_Christmas_Carol_(2017_play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Derek McLane,https://en.wikipedia.org/wiki/Derek_McLane,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Bob Crowley,https://en.wikipedia.org/wiki/Bob_Crowley,The Inheritance,https://en.wikipedia.org/wiki/The_Inheritance_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Soutra Gilmour,https://en.wikipedia.org/wiki/Soutra_Gilmour,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Clint Ramos,https://en.wikipedia.org/wiki/Clint_Ramos,Slave Play,https://en.wikipedia.org/wiki/Slave_Play
