year,season,season_link,winner,designer,production,production_link,award type,designer_link
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Peter Hylenski,After Midnight,https://en.wikipedia.org/wiki/After_Midnight_(musical),Best Sound Design of a Musical,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Tim O'Heir,Hedwig and the Angry Inch,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical),Best Sound Design of a Musical,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Mick Potter,Les Misérables,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),Best Sound Design of a Musical,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Steve Canyon Kennedy,Lady Day at Emerson's Bar and Grill,https://en.wikipedia.org/wiki/Lady_Day_at_Emerson%27s_Bar_and_Grill,Best Sound Design of a Play,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Alex Baranowski,The Cripple of Inishmaan,https://en.wikipedia.org/wiki/The_Cripple_of_Inishmaan,Best Sound Design of a Play,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Dan Moses Schreier,Act One,https://en.wikipedia.org/wiki/Act_One_(play),Best Sound Design of a Play,https://en.wikipedia.org/wiki/Dan_Moses_Schreier
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Brian Ronan,Beautiful: The Carole King Musical,https://en.wikipedia.org/wiki/Beautiful:_The_Carole_King_Musical,Best Sound Design of a Musical,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Matt Tierney,Machinal,https://en.wikipedia.org/wiki/Machinal,Best Sound Design of a Play,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Gareth Fry and Pete Malkin,The Encounter,,Best Sound Design of a Play,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Adam Cork,Travesties,https://en.wikipedia.org/wiki/Travesties,Best Sound Design of a Play,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ian Dickinson,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America,Best Sound Design of a Play,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Tom Gibbons,1984,https://en.wikipedia.org/wiki/1984_(play),Best Sound Design of a Play,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Scott Lehrer,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical),Best Sound Design of a Musical,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Peter Hylenski,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island,Best Sound Design of a Musical,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Mike Dobson and Walter Trarbach,SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical),Best Sound Design of a Musical,
