year,season,season_link,winner,play,play_link,author,author_link
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Angels in America,https://en.wikipedia.org/wiki/Angels_in_America,Tony Kushner,https://en.wikipedia.org/wiki/Tony_Kushner
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,The Iceman Cometh,https://en.wikipedia.org/wiki/The_Iceman_Cometh,Eugene O'Neill,https://en.wikipedia.org/wiki/Eugene_O%27Neill
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Lobby Hero,https://en.wikipedia.org/wiki/Lobby_Hero,Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Three Tall Women,https://en.wikipedia.org/wiki/Three_Tall_Women,Edward Albee,https://en.wikipedia.org/wiki/Edward_Albee
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Travesties,https://en.wikipedia.org/wiki/Travesties,Tom Stoppard,https://en.wikipedia.org/wiki/Tom_Stoppard
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,The Boys in the Band,https://en.wikipedia.org/wiki/The_Boys_in_the_Band_(play),Mart Crowley,https://en.wikipedia.org/wiki/Mart_Crowley
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,All My Sons,https://en.wikipedia.org/wiki/All_My_Sons,Arthur Miller,https://en.wikipedia.org/wiki/Arthur_Miller
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Burn This,https://en.wikipedia.org/wiki/Burn_This,Lanford Wilson,https://en.wikipedia.org/wiki/Lanford_Wilson
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Torch Song,https://en.wikipedia.org/wiki/Torch_Song_Trilogy,Harvey Fierstein,https://en.wikipedia.org/wiki/Harvey_Fierstein
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,The Waverly Gallery,https://en.wikipedia.org/wiki/The_Waverly_Gallery,Kenneth Lonergan,https://en.wikipedia.org/wiki/Kenneth_Lonergan
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Frankie and Johnny in the Clair de Lune,https://en.wikipedia.org/wiki/Frankie_and_Johnny_in_the_Clair_de_Lune,Terrence McNally,https://en.wikipedia.org/wiki/Terrence_McNally
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Betrayal,https://en.wikipedia.org/wiki/Betrayal_(play),Harold Pinter,https://en.wikipedia.org/wiki/Harold_Pinter
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,A Soldier's Play,https://en.wikipedia.org/wiki/A_Soldier%27s_Play,Charles Fuller,https://en.wikipedia.org/wiki/Charles_Fuller
