year,season,season_link,winner,choreographer,choreographer_link,production,production_link
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Dan Siretta,,Whoopee!,https://en.wikipedia.org/wiki/Whoopee!
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,True,Bob AvianandMichael Bennett,https://en.wikipedia.org/wiki/Bob_Avian,Ballroom,https://en.wikipedia.org/wiki/Ballroom_(musical)
1979,33rd Tony Awards,/wiki/33rd_Tony_Awards,False,Henry LeTangand Billy Wilson,https://en.wikipedia.org/wiki/Henry_LeTang,Eubie!,https://en.wikipedia.org/wiki/Eubie!
1980,34th Tony Awards,/wiki/34th_Tony_Awards,True,Tommy TuneandThommie Walsh,https://en.wikipedia.org/wiki/Tommy_Tune,A Day in Hollywood / A Night in the Ukraine,https://en.wikipedia.org/wiki/A_Day_in_Hollywood_/_A_Night_in_the_Ukraine
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Ernest Flatt,,Sugar Babies,https://en.wikipedia.org/wiki/Sugar_Babies_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Larry Fuller,https://en.wikipedia.org/wiki/Larry_Fuller,Evita,https://en.wikipedia.org/wiki/Evita_(musical)
1980,34th Tony Awards,/wiki/34th_Tony_Awards,False,Joe Layton,https://en.wikipedia.org/wiki/Joe_Layton,Barnum,https://en.wikipedia.org/wiki/Barnum_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,True,Gower Champion,https://en.wikipedia.org/wiki/Gower_Champion,42nd Street,https://en.wikipedia.org/wiki/42nd_Street_(musical)
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Graciela Daniele,https://en.wikipedia.org/wiki/Graciela_Daniele,The Pirates of Penzance,https://en.wikipedia.org/wiki/The_Pirates_of_Penzance
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,"Henry LeTang,Donald McKayleandMichael Smuin",https://en.wikipedia.org/wiki/Henry_LeTang,Sophisticated Ladies,https://en.wikipedia.org/wiki/Sophisticated_Ladies
1981,35th Tony Awards,/wiki/35th_Tony_Awards,False,Roland Petit,https://en.wikipedia.org/wiki/Roland_Petit,Can-Can,https://en.wikipedia.org/wiki/Can-Can_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,False,Tommy Tune,https://en.wikipedia.org/wiki/Tommy_Tune,Nine,https://en.wikipedia.org/wiki/Nine_(musical)
1982,36th Tony Awards,/wiki/36th_Tony_Awards,True,Michael BennettandMichael Peters,https://en.wikipedia.org/wiki/Michael_Bennett_(theater),Dreamgirls,https://en.wikipedia.org/wiki/Dreamgirls
