year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Joel Blum,https://en.wikipedia.org/wiki/Joel_Blum,Show Boat,https://en.wikipedia.org/wiki/Show_Boat,Frank,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Victor Trent Cook,,Smokey Joe's Cafe,https://en.wikipedia.org/wiki/Smokey_Joe%27s_Cafe,Various Characters,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Brett Tabisel,,Big,"https://en.wikipedia.org/wiki/Big,_The_Musical",Billy,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Scott Wise,https://en.wikipedia.org/wiki/Scott_Wise,State Fair,https://en.wikipedia.org/wiki/State_Fair_(musical),Pat Gilbert,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,True,Wilson Jermaine Heredia,https://en.wikipedia.org/wiki/Wilson_Jermaine_Heredia,Rent,https://en.wikipedia.org/wiki/Rent_(musical),Angel Dumott Schunard,
1996,50th Tony Awards,/wiki/50th_Tony_Awards,False,Lewis J. Stadlen,https://en.wikipedia.org/wiki/Lewis_J._Stadlen,A Funny Thing Happened on the Way to the Forum,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,Senex,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,True,Chuck Cooper,https://en.wikipedia.org/wiki/Chuck_Cooper_(actor),The Life,https://en.wikipedia.org/wiki/The_Life_(musical),Memphis,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Joel Blum,https://en.wikipedia.org/wiki/Joel_Blum,Steel Pier,https://en.wikipedia.org/wiki/Steel_Pier,Buddy Becker,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,André De Shields,https://en.wikipedia.org/wiki/Andr%C3%A9_De_Shields,Play On!,https://en.wikipedia.org/wiki/Play_On!,Jester,
1997,51st Tony Awards,/wiki/51st_Tony_Awards,False,Sam Harris,https://en.wikipedia.org/wiki/Sam_Harris_(recording_artist),The Life,,Jojo,
1998,52nd Tony Awards,/wiki/52nd_Tony_Awards,True,Ron Rifkin,https://en.wikipedia.org/wiki/Ron_Rifkin,Cabaret,https://en.wikipedia.org/wiki/Cabaret_(musical),Herr Schultz,
