year,season,season_link,winner,actor,actor_link,musical,musical_link,character,character_link
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Bruce Adler,https://en.wikipedia.org/wiki/Bruce_Adler,Those Were the Days,,Various Characters,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Gregg Burge,https://en.wikipedia.org/wiki/Gregg_Burge,"Oh, Kay!","https://en.wikipedia.org/wiki/Oh,_Kay!",Billy Lyes,
1991,45th Tony Awards,/wiki/45th_Tony_Awards,False,Willy Falk,,Miss Saigon,,Chris,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,True,Scott Waara,https://en.wikipedia.org/wiki/Scott_Waara,The Most Happy Fella,https://en.wikipedia.org/wiki/The_Most_Happy_Fella,Herman,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Bruce Adler,https://en.wikipedia.org/wiki/Bruce_Adler,Crazy for You,https://en.wikipedia.org/wiki/Crazy_for_You_(musical),Bela Zangler,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Keith David,https://en.wikipedia.org/wiki/Keith_David,Jelly's Last Jam,https://en.wikipedia.org/wiki/Jelly%27s_Last_Jam,Chimney Man,
1992,46th Tony Awards,/wiki/46th_Tony_Awards,False,Jonathan Kaplan,,Falsettos,https://en.wikipedia.org/wiki/Falsettos,Jason,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,True,Anthony Crivello,https://en.wikipedia.org/wiki/Anthony_Crivello,Kiss of the Spider Woman,https://en.wikipedia.org/wiki/Kiss_of_the_Spider_Woman_(musical),Valentin Arregui Paz,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Michael Cerveris,https://en.wikipedia.org/wiki/Michael_Cerveris,The Who's Tommy,https://en.wikipedia.org/wiki/The_Who%27s_Tommy,Tommy,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Gregg Edelman,https://en.wikipedia.org/wiki/Gregg_Edelman,Anna Karenina,https://en.wikipedia.org/wiki/Anna_Karenina_(musical),Constantin Levin,
1993,47th Tony Awards,/wiki/47th_Tony_Awards,False,Paul Kandel,https://en.wikipedia.org/wiki/Paul_Kandel,The Who's Tommy,,Uncle Ernie,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Gary Beach,https://en.wikipedia.org/wiki/Gary_Beach,Beauty and the Beast,https://en.wikipedia.org/wiki/Beauty_and_the_Beast_(musical),Lumière,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Jonathan Freeman,https://en.wikipedia.org/wiki/Jonathan_Freeman_(actor),She Loves Me,https://en.wikipedia.org/wiki/She_Loves_Me,Headwaiter,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,True,Jarrod Emick,https://en.wikipedia.org/wiki/Jarrod_Emick,Damn Yankees,https://en.wikipedia.org/wiki/Damn_Yankees,Joe Hardy,
1994,48th Tony Awards,/wiki/48th_Tony_Awards,False,Tom Aldredge,https://en.wikipedia.org/wiki/Tom_Aldredge,Passion,https://en.wikipedia.org/wiki/Passion_(musical),Dr. Tambourri,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,True,George Hearn,https://en.wikipedia.org/wiki/George_Hearn,Sunset Boulevard,https://en.wikipedia.org/wiki/Sunset_Boulevard_(musical),Max Von Mayerling,
1995,49th Tony Awards,/wiki/49th_Tony_Awards,False,Michel Bell,,Show Boat,https://en.wikipedia.org/wiki/Show_Boat,Joe,
