year,season,season_link,actor,actor_link,role,role_link,production,production_link,winner
1947,1st tony awards,/wiki/1st_Tony_Awards,Patricia Neal,https://en.wikipedia.org/wiki/Patricia_Neal,Regina Hubbard,,Another Part of the Forest,https://en.wikipedia.org/wiki/Another_Part_of_the_Forest,True
1949,3rd tony awards,/wiki/3rd_Tony_Awards,Shirley Booth,https://en.wikipedia.org/wiki/Shirley_Booth,Grace Woods,,"Goodbye, My Fancy","https://en.wikipedia.org/wiki/Goodbye,_My_Fancy",True
1951,5th tony awards,/wiki/5th_Tony_Awards,Maureen Stapleton,https://en.wikipedia.org/wiki/Maureen_Stapleton,Serafina Delle Rose,,The Rose Tattoo,https://en.wikipedia.org/wiki/The_Rose_Tattoo,True
1952,6th tony awards,/wiki/6th_Tony_Awards,Marian Winters,https://en.wikipedia.org/wiki/Marian_Winters,Natalia Landauer,,I Am a Camera,https://en.wikipedia.org/wiki/I_Am_a_Camera,True
1953,7th tony awards,/wiki/7th_Tony_Awards,Beatrice Straight,https://en.wikipedia.org/wiki/Beatrice_Straight,Elizabeth Proctor,,The Crucible,https://en.wikipedia.org/wiki/The_Crucible,True
1954,8th tony awards,/wiki/8th_Tony_Awards,Jo Van Fleet,https://en.wikipedia.org/wiki/Jo_Van_Fleet,Jessie Mae Watts,,The Trip to Bountiful,https://en.wikipedia.org/wiki/The_Trip_to_Bountiful,True
1955,9th tony awards,/wiki/9th_Tony_Awards,Patricia Jessel,https://en.wikipedia.org/wiki/Patricia_Jessel,Romaine,,Witness for the Prosecution,https://en.wikipedia.org/wiki/Witness_for_the_Prosecution_(play),True
1956,10th tony awards,/wiki/10th_Tony_Awards,Una Merkel,https://en.wikipedia.org/wiki/Una_Merkel,Edna Earle Ponder,,The Ponder Heart,https://en.wikipedia.org/wiki/The_Ponder_Heart,True
1956,10th tony awards,/wiki/10th_Tony_Awards,Diane Cilento,https://en.wikipedia.org/wiki/Diane_Cilento,Helen of Troy,https://en.wikipedia.org/wiki/Helen_of_Troy,Tiger at the Gates,https://en.wikipedia.org/wiki/Tiger_at_the_Gates,False
1956,10th tony awards,/wiki/10th_Tony_Awards,Anne Jackson,https://en.wikipedia.org/wiki/Anne_Jackson,The Daughter,,Middle of the Night,https://en.wikipedia.org/wiki/Middle_of_the_Night,False
1956,10th tony awards,/wiki/10th_Tony_Awards,Elaine Stritch,https://en.wikipedia.org/wiki/Elaine_Stritch,Grace Hoylard,,Bus Stop,https://en.wikipedia.org/wiki/Bus_Stop_(play),False
1957,11th tony awards,/wiki/11th_Tony_Awards,Diana Van der Vlis,https://en.wikipedia.org/wiki/Diana_Van_der_Vlis,Cordelia Biddle,,The Happiest Millionaire,https://en.wikipedia.org/wiki/The_Happiest_Millionaire,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Terry,,Mrs. Railton-Bell,,Separate Tables,,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Mildred Natwick,https://en.wikipedia.org/wiki/Mildred_Natwick,Mme. St. Pé,,The Waltz of the Toreadors,https://en.wikipedia.org/wiki/The_Waltz_of_the_Toreadors,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Beryl Measor,https://en.wikipedia.org/wiki/Beryl_Measor,Pat Cooper,,Separate Tables,https://en.wikipedia.org/wiki/Separate_Tables,False
1957,11th tony awards,/wiki/11th_Tony_Awards,Anna Massey,https://en.wikipedia.org/wiki/Anna_Massey,Jane Broadbent,,The Reluctant Debutante,https://en.wikipedia.org/wiki/The_Reluctant_Debutante_(play),False
1957,11th tony awards,/wiki/11th_Tony_Awards,Peggy Cass,https://en.wikipedia.org/wiki/Peggy_Cass,Agnes Gooch,,Auntie Mame,https://en.wikipedia.org/wiki/Auntie_Mame,True
1958,12th tony awards,/wiki/12th_Tony_Awards,Anne Bancroft,https://en.wikipedia.org/wiki/Anne_Bancroft,Gittel Mosca,,Two for the Seesaw,https://en.wikipedia.org/wiki/Two_for_the_Seesaw,True
1958,12th tony awards,/wiki/12th_Tony_Awards,Brenda De Banzie,https://en.wikipedia.org/wiki/Brenda_De_Banzie,Phoebe Rice,,The Entertainer,https://en.wikipedia.org/wiki/The_Entertainer_(play),False
1958,12th tony awards,/wiki/12th_Tony_Awards,Joan Blondell,https://en.wikipedia.org/wiki/Joan_Blondell,Mrs. Farrow,,The Rope Dancers,,False
1958,12th tony awards,/wiki/12th_Tony_Awards,Mary Fickett,https://en.wikipedia.org/wiki/Mary_Fickett,Eleanor Roosevelt,https://en.wikipedia.org/wiki/Eleanor_Roosevelt,Sunrise at Campobello,https://en.wikipedia.org/wiki/Sunrise_at_Campobello_(play),False
1958,12th tony awards,/wiki/12th_Tony_Awards,Eileen Heckart,https://en.wikipedia.org/wiki/Eileen_Heckart,Lottie Lacey,,The Dark at the Top of the Stairs,https://en.wikipedia.org/wiki/The_Dark_at_the_Top_of_the_Stairs,False
1959,13th tony awards,/wiki/13th_Tony_Awards,Julie Newmar,https://en.wikipedia.org/wiki/Julie_Newmar,Katrin Sveg,,The Marriage-Go-Round,https://en.wikipedia.org/wiki/The_Marriage-Go-Round,True
1959,13th tony awards,/wiki/13th_Tony_Awards,Maureen Delany,https://en.wikipedia.org/wiki/Maureen_Delany,Carrie Donovan,,God and Kate Murphy,,False
1959,13th tony awards,/wiki/13th_Tony_Awards,Dolores Hart,https://en.wikipedia.org/wiki/Dolores_Hart,Jessica Poole,,The Pleasure of His Company,https://en.wikipedia.org/wiki/The_Pleasure_of_His_Company,False
1959,13th tony awards,/wiki/13th_Tony_Awards,Nan Martin,https://en.wikipedia.org/wiki/Nan_Martin,Sarah,,J.B.,https://en.wikipedia.org/wiki/J.B._(play),False
1959,13th tony awards,/wiki/13th_Tony_Awards,Bertice Reading,https://en.wikipedia.org/wiki/Bertice_Reading,Nancy Mannigoe,,Requiem for a Nun,https://en.wikipedia.org/wiki/Requiem_for_a_Nun,False
1960,14th tony awards,/wiki/14th_Tony_Awards,Anne Revere,https://en.wikipedia.org/wiki/Anne_Revere,Anna Berniers,,Toys in the Attic,https://en.wikipedia.org/wiki/Toys_in_the_Attic_(play),True
1960,14th tony awards,/wiki/14th_Tony_Awards,Juliet Mills,https://en.wikipedia.org/wiki/Juliet_Mills,Pamela Harrington,,Five Finger Exercise,https://en.wikipedia.org/wiki/Five_Finger_Exercise,False
1960,14th tony awards,/wiki/14th_Tony_Awards,Sarah Marshall,https://en.wikipedia.org/wiki/Sarah_Marshall_(British_film_actress),Rusty Mayerling,,"Goodbye, Charlie",https://en.wikipedia.org/wiki/Goodbye_Charlie,False
1960,14th tony awards,/wiki/14th_Tony_Awards,Jane Fonda,https://en.wikipedia.org/wiki/Jane_Fonda,Toni Newton,,There Was a Little Girl,,False
1960,14th tony awards,/wiki/14th_Tony_Awards,Leora Dana,https://en.wikipedia.org/wiki/Leora_Dana,Alice Russell,,The Best Man,https://en.wikipedia.org/wiki/The_Best_Man_(play),False
1961,15th tony awards,/wiki/15th_Tony_Awards,Rosemary Murphy,https://en.wikipedia.org/wiki/Rosemary_Murphy,Dorothea Bates,,Period of Adjustment,https://en.wikipedia.org/wiki/Period_of_Adjustment,False
1961,15th tony awards,/wiki/15th_Tony_Awards,Tresa Hughes,https://en.wikipedia.org/wiki/Tresa_Hughes,Nina Sanduzzi,,The Devil's Advocate,,False
1961,15th tony awards,/wiki/15th_Tony_Awards,Colleen Dewhurst,https://en.wikipedia.org/wiki/Colleen_Dewhurst,Mary Follet,,All the Way Home,https://en.wikipedia.org/wiki/All_the_Way_Home_(play),True
1961,15th tony awards,/wiki/15th_Tony_Awards,Eileen Heckart,https://en.wikipedia.org/wiki/Eileen_Heckart,DeeDee Grogan,,Invitation to a March,,False
1962,16th tony awards,/wiki/16th_Tony_Awards,Zohra Lampert,https://en.wikipedia.org/wiki/Zohra_Lampert,Jennifer Lewison,,Look: We've Come Through,,False
1962,16th tony awards,/wiki/16th_Tony_Awards,Janet Margolin,https://en.wikipedia.org/wiki/Janet_Margolin,Anna Albertini,,Daughter of Silence,,False
1962,16th tony awards,/wiki/16th_Tony_Awards,Pat Stanley in Sunday,,Eileen Taylor,,Sunday in New York,https://en.wikipedia.org/wiki/Sunday_in_New_York,False
1962,16th tony awards,/wiki/16th_Tony_Awards,Elizabeth Ashley,https://en.wikipedia.org/wiki/Elizabeth_Ashley,Mollie Michaelson,,"Take Her, She's Mine","https://en.wikipedia.org/wiki/Take_Her,_She%27s_Mine",True
1963,17th tony awards,/wiki/17th_Tony_Awards,Melinda Dillon,https://en.wikipedia.org/wiki/Melinda_Dillon,Honey,,Who's Afraid of Virginia Woolf?,https://en.wikipedia.org/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F,False
1963,17th tony awards,/wiki/17th_Tony_Awards,Alice Ghostley,https://en.wikipedia.org/wiki/Alice_Ghostley,Various Characters,,The Beauty Part,https://en.wikipedia.org/wiki/The_Beauty_Part,False
1963,17th tony awards,/wiki/17th_Tony_Awards,Zohra Lampert,https://en.wikipedia.org/wiki/Zohra_Lampert,Kattrin,,Mother Courage and Her Children,https://en.wikipedia.org/wiki/Mother_Courage_and_Her_Children,False
1963,17th tony awards,/wiki/17th_Tony_Awards,Sandy Dennis,https://en.wikipedia.org/wiki/Sandy_Dennis,Sandra Markowitz,,A Thousand Clowns,https://en.wikipedia.org/wiki/A_Thousand_Clowns,True
1964,18th tony awards,/wiki/18th_Tony_Awards,Rosemary Murphy,https://en.wikipedia.org/wiki/Rosemary_Murphy,Dorothea Cleves,,Any Wednesday,https://en.wikipedia.org/wiki/Any_Wednesday,False
1964,18th tony awards,/wiki/18th_Tony_Awards,Kate Reid,https://en.wikipedia.org/wiki/Kate_Reid,Caitlin Thomas,https://en.wikipedia.org/wiki/Caitlin_Thomas,Dylan,https://en.wikipedia.org/wiki/Dylan_(1964_play),False
1964,18th tony awards,/wiki/18th_Tony_Awards,Barbara Loden,https://en.wikipedia.org/wiki/Barbara_Loden,Maggie,,After the Fall,https://en.wikipedia.org/wiki/After_the_Fall_(play),True
1964,18th tony awards,/wiki/18th_Tony_Awards,Diana Sands,https://en.wikipedia.org/wiki/Diana_Sands,Juanita,,Blues for Mister Charlie,https://en.wikipedia.org/wiki/Blues_for_Mister_Charlie,False
1965,19th tony awards,/wiki/19th_Tony_Awards,Carolan Daniels,,Rosie,,Slow Dance on the Killing Ground,,False
1965,19th tony awards,/wiki/19th_Tony_Awards,Alexandra Berlin in All,,Violet Fitton,,All in Good Time,https://en.wikipedia.org/wiki/All_in_Good_Time_(play),False
1965,19th tony awards,/wiki/19th_Tony_Awards,Rae Allen,https://en.wikipedia.org/wiki/Rae_Allen,Juliette,,Traveller Without Luggage,https://en.wikipedia.org/wiki/Le_voyageur_sans_bagage,False
1965,19th tony awards,/wiki/19th_Tony_Awards,Alice Ghostley,https://en.wikipedia.org/wiki/Alice_Ghostley,Mavis Parodus Bryson,,The Sign in Sidney Brustein's Window,https://en.wikipedia.org/wiki/The_Sign_in_Sidney_Brustein%27s_Window,True
1966,20th tony awards,/wiki/20th_Tony_Awards,Glenda Jackson,https://en.wikipedia.org/wiki/Glenda_Jackson,Charlotte Corday,https://en.wikipedia.org/wiki/Charlotte_Corday,Marat/Sade,https://en.wikipedia.org/wiki/Marat/Sade,False
1966,20th tony awards,/wiki/20th_Tony_Awards,Sullivan,,Madge Mulhern,,"Philadelphia, Here I Come!","https://en.wikipedia.org/wiki/Philadelphia,_Here_I_Come!",False
