year,season,season_link,winner,designer,designer_link,production,production_link
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,War Paint,https://en.wikipedia.org/wiki/War_Paint_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,David Zinn,https://en.wikipedia.org/wiki/David_Zinn,SpongeBob SquarePants,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Clint Ramos,,Once on This Island,https://en.wikipedia.org/wiki/Once_on_This_Island
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ann Roth,https://en.wikipedia.org/wiki/Ann_Roth,Carousel,https://en.wikipedia.org/wiki/Carousel_(musical)
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,My Fair Lady,https://en.wikipedia.org/wiki/My_Fair_Lady
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Gregg Barnes,https://en.wikipedia.org/wiki/Gregg_Barnes,Mean Girls,https://en.wikipedia.org/wiki/Mean_Girls_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Bob Mackie,https://en.wikipedia.org/wiki/Bob_Mackie,The Cher Show,https://en.wikipedia.org/wiki/The_Cher_Show_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Michael Krass,,Hadestown,https://en.wikipedia.org/wiki/Hadestown_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Beetlejuice,https://en.wikipedia.org/wiki/Beetlejuice_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,William Ivey Long,https://en.wikipedia.org/wiki/William_Ivey_Long,Tootsie,https://en.wikipedia.org/wiki/Tootsie_(musical)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Paul Tazewell,https://en.wikipedia.org/wiki/Paul_Tazewell,Ain’t Too Proud,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Mark Thompson,,Tina - The Tina Turner Musical,https://en.wikipedia.org/wiki/Tina_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Emily Rebholz,,Jagged Little Pill,https://en.wikipedia.org/wiki/Jagged_Little_Pill_(musical)
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Catherine Zuber,https://en.wikipedia.org/wiki/Catherine_Zuber,Moulin Rouge! The Musical,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical)
