year,season,season_link,winner,actor,musical,character,actor_link,musical_link,character_link
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Cyril Ritchard,The Roar of the Greasepaint – The Smell of the Crowd,Sir,https://en.wikipedia.org/wiki/Cyril_Ritchard,https://en.wikipedia.org/wiki/The_Roar_of_the_Greasepaint_%E2%80%93_The_Smell_of_the_Crowd,
1965,19th Tony Awards,/wiki/19th_Tony_Awards,False,Tommy Steele,Half a Sixpence,Arthur Kipps,https://en.wikipedia.org/wiki/Tommy_Steele,https://en.wikipedia.org/wiki/Half_a_Sixpence,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,True,Richard Kiley,Man of La Mancha,Don Quixote/Cervantes,https://en.wikipedia.org/wiki/Richard_Kiley,https://en.wikipedia.org/wiki/Man_of_La_Mancha,https://en.wikipedia.org/wiki/Don_Quixote
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Jack Cassidy,It's a Bird...It's a Plane...It's Superman,Max Mencken,https://en.wikipedia.org/wiki/Jack_Cassidy,https://en.wikipedia.org/wiki/It%27s_a_Bird...It%27s_a_Plane...It%27s_Superman,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,John Cullum,On a Clear Day You Can See Forever,Dr. Mark Bruckner,https://en.wikipedia.org/wiki/John_Cullum,https://en.wikipedia.org/wiki/On_a_Clear_Day_You_Can_See_Forever,
1966,20th Tony Awards,/wiki/20th_Tony_Awards,False,Harry Secombe,Pickwick,Pickwick,https://en.wikipedia.org/wiki/Harry_Secombe,https://en.wikipedia.org/wiki/Pickwick_(musical),
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Jack Gilford,Cabaret,Herr Schultz,https://en.wikipedia.org/wiki/Jack_Gilford,https://en.wikipedia.org/wiki/Cabaret_(musical),
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Norman Wisdom,Walking Happy,Will Mossop,https://en.wikipedia.org/wiki/Norman_Wisdom,https://en.wikipedia.org/wiki/Walking_Happy,
1967,21st Tony Awards,/wiki/21st_Tony_Awards,True,Robert Preston,I Do! I Do!,Michael,https://en.wikipedia.org/wiki/Robert_Preston_(actor),https://en.wikipedia.org/wiki/I_Do!_I_Do!_(musical),
1967,21st Tony Awards,/wiki/21st_Tony_Awards,False,Alan Alda,The Apple Tree,Various Characters,https://en.wikipedia.org/wiki/Alan_Alda,https://en.wikipedia.org/wiki/The_Apple_Tree,
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,True,Robert Goulet,The Happy Time,Jacques Bonnard,https://en.wikipedia.org/wiki/Robert_Goulet,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Robert Hooks,"Hallelujah, Baby!",Clem,https://en.wikipedia.org/wiki/Robert_Hooks,"https://en.wikipedia.org/wiki/Hallelujah,_Baby!",
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,Tony Roberts,"How Now, Dow Jones",Charley,https://en.wikipedia.org/wiki/Tony_Roberts_(actor),"https://en.wikipedia.org/wiki/How_Now,_Dow_Jones",
1968,22nd Tony Awards,/wiki/22nd_Tony_Awards,False,David Wayne,The Happy Time,Grandpere Bonnard,https://en.wikipedia.org/wiki/David_Wayne,https://en.wikipedia.org/wiki/The_Happy_Time_(musical),
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Joel Grey,George M!,George M. Cohan,https://en.wikipedia.org/wiki/Joel_Grey,https://en.wikipedia.org/wiki/George_M!,https://en.wikipedia.org/wiki/George_M._Cohan
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Jack Cassidy,Maggie Flynn,The Clown,https://en.wikipedia.org/wiki/Jack_Cassidy,https://en.wikipedia.org/wiki/Maggie_Flynn,
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,True,Jerry Orbach,"Promises, Promises",Chuck Baxter,https://en.wikipedia.org/wiki/Jerry_Orbach,"https://en.wikipedia.org/wiki/Promises,_Promises_(musical)",
1969,23rd Tony Awards,/wiki/23rd_Tony_Awards,False,Herschel Bernardi,Zorba,Zorba,https://en.wikipedia.org/wiki/Herschel_Bernardi,https://en.wikipedia.org/wiki/Zorba_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,True,Cleavon Little,Purlie,Purlie,https://en.wikipedia.org/wiki/Cleavon_Little,https://en.wikipedia.org/wiki/Purlie,
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Len Cariou,Applause,Bill Sampson,https://en.wikipedia.org/wiki/Len_Cariou,https://en.wikipedia.org/wiki/Applause_(musical),
1970,24th Tony Awards,/wiki/24th_Tony_Awards,False,Robert Weede,Cry for Us All,Edward Quinn,https://en.wikipedia.org/wiki/Robert_Weede,https://en.wikipedia.org/wiki/Cry_for_Us_All,
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Bobby Van,"No, No, Nanette",Billy Early,https://en.wikipedia.org/wiki/Bobby_Van_(actor),"https://en.wikipedia.org/wiki/No,_No,_Nanette",
1971,25th Tony Awards,/wiki/25th_Tony_Awards,True,Hal Linden,The Rothschilds,Mayer Rothschild,https://en.wikipedia.org/wiki/Hal_Linden,https://en.wikipedia.org/wiki/The_Rothschilds_(musical),https://en.wikipedia.org/wiki/Mayer_Amschel_Rothschild
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,David Burns,"Lovely Ladies, Kind Gentlemen",Col. Wainwright Purdy III,https://en.wikipedia.org/wiki/David_Burns_(actor),"https://en.wikipedia.org/wiki/Lovely_Ladies,_Kind_Gentlemen",
1971,25th Tony Awards,/wiki/25th_Tony_Awards,False,Larry Kert,Company,Bobby,https://en.wikipedia.org/wiki/Larry_Kert,https://en.wikipedia.org/wiki/Company_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Barry Bostwick,Grease,Danny Zuko,https://en.wikipedia.org/wiki/Barry_Bostwick,https://en.wikipedia.org/wiki/Grease_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Raul Julia,Two Gentlemen of Verona,Proteus,https://en.wikipedia.org/wiki/Raul_Julia,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,False,Clifton Davis,Two Gentlemen of Verona,Valentine,https://en.wikipedia.org/wiki/Clifton_Davis,https://en.wikipedia.org/wiki/Two_Gentlemen_of_Verona_(musical),
1972,26th Tony Awards,/wiki/26th_Tony_Awards,True,Phil Silvers,A Funny Thing Happened on the Way to the Forum,Pseudolus,https://en.wikipedia.org/wiki/Phil_Silvers,https://en.wikipedia.org/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,True,Ben Vereen,Pippin,The Leading Player,https://en.wikipedia.org/wiki/Ben_Vereen,https://en.wikipedia.org/wiki/Pippin_(musical),
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Len Cariou,A Little Night Music,Frederick Egerman,https://en.wikipedia.org/wiki/Len_Cariou,https://en.wikipedia.org/wiki/A_Little_Night_Music,
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Robert Morse,Sugar,Jerry,https://en.wikipedia.org/wiki/Robert_Morse,https://en.wikipedia.org/wiki/Sugar_(musical),
1973,27th Tony Awards,/wiki/27th_Tony_Awards,False,Brock Peters,Lost in the Stars,Stephen Kumalo,https://en.wikipedia.org/wiki/Brock_Peters,https://en.wikipedia.org/wiki/Lost_in_the_Stars,
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Lewis J. Stadlen,Candide,Various Characters,https://en.wikipedia.org/wiki/Lewis_J._Stadlen,https://en.wikipedia.org/wiki/Candide_(operetta),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Joe Morton,Raisin,Walter Lee Younger,https://en.wikipedia.org/wiki/Joe_Morton,https://en.wikipedia.org/wiki/Raisin_(musical),
1974,28th Tony Awards,/wiki/28th_Tony_Awards,True,Christopher Plummer,Cyrano,Cyrano de Bergerac,https://en.wikipedia.org/wiki/Christopher_Plummer,https://en.wikipedia.org/wiki/Cyrano_(musical),https://en.wikipedia.org/wiki/Cyrano_de_Bergerac
1974,28th Tony Awards,/wiki/28th_Tony_Awards,False,Alfred Drake,Gigi,Honore Lachailles,https://en.wikipedia.org/wiki/Alfred_Drake,https://en.wikipedia.org/wiki/Gigi_(musical),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,True,John Cullum,Shenandoah,Charlie Anderson,https://en.wikipedia.org/wiki/John_Cullum,https://en.wikipedia.org/wiki/Shenandoah_(musical),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Joel Grey,Goodtime Charley,Charley,https://en.wikipedia.org/wiki/Joel_Grey,https://en.wikipedia.org/wiki/Goodtime_Charley,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Raul Julia,Where's Charley?,Charley Wykeham,https://en.wikipedia.org/wiki/Raul_Julia,https://en.wikipedia.org/wiki/Where%27s_Charley%3F,
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Eddie Mekka,The Lieutenant,Lieutenant,https://en.wikipedia.org/wiki/Eddie_Mekka,https://en.wikipedia.org/wiki/The_Lieutenant_(musical),
1975,29th Tony Awards,/wiki/29th_Tony_Awards,False,Robert Preston,Mack & Mabel,Mack Sennett,https://en.wikipedia.org/wiki/Robert_Preston_(actor),https://en.wikipedia.org/wiki/Mack_%26_Mabel,https://en.wikipedia.org/wiki/Mack_Sennett
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Ian Richardson,My Fair Lady,Henry Higgins,https://en.wikipedia.org/wiki/Ian_Richardson,,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Jerry Orbach,Chicago,Billy Flynn,https://en.wikipedia.org/wiki/Jerry_Orbach,https://en.wikipedia.org/wiki/Chicago_(musical),https://en.wikipedia.org/wiki/Billy_Flynn_(Chicago)
1976,30th Tony Awards,/wiki/30th_Tony_Awards,True,George Rose,My Fair Lady,Alfred P. Doolittle,https://en.wikipedia.org/wiki/George_Rose_(actor),https://en.wikipedia.org/wiki/My_Fair_Lady,
1976,30th Tony Awards,/wiki/30th_Tony_Awards,False,Mako,Pacific Overtures,Various Characters,https://en.wikipedia.org/wiki/Mako_(actor),https://en.wikipedia.org/wiki/Pacific_Overtures,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,True,Barry Bostwick,The Robber Bridegroom,Jamie Lockhart,https://en.wikipedia.org/wiki/Barry_Bostwick,https://en.wikipedia.org/wiki/The_Robber_Bridegroom_(musical),
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Robert Guillaume,Guys and Dolls,Nathan Detroit,https://en.wikipedia.org/wiki/Robert_Guillaume,https://en.wikipedia.org/wiki/Guys_and_Dolls,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Raul Julia,The Threepenny Opera,Macheath,https://en.wikipedia.org/wiki/Raul_Julia,https://en.wikipedia.org/wiki/The_Threepenny_Opera,
1977,31st Tony Awards,/wiki/31st_Tony_Awards,False,Reid Shelton,Annie,Oliver Warbucks,https://en.wikipedia.org/wiki/Reid_Shelton,https://en.wikipedia.org/wiki/Annie_(musical),https://en.wikipedia.org/wiki/Daddy_Warbucks
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,True,John Cullum,On the Twentieth Century,Oscar Jaffee,https://en.wikipedia.org/wiki/John_Cullum,https://en.wikipedia.org/wiki/On_the_Twentieth_Century,
1978,32nd Tony Awards,/wiki/32nd_Tony_Awards,False,Eddie Bracken,"Hello, Dolly!",Horace Vandergelder,https://en.wikipedia.org/wiki/Eddie_Bracken,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",
