year,season,season_link,winner,actor,musical,character,actor_link,musical_link,character_link
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Bertie Carvel,Matilda the Musical,Miss Trunchbull,https://en.wikipedia.org/wiki/Bertie_Carvel,https://en.wikipedia.org/wiki/Matilda_the_Musical,https://en.wikipedia.org/wiki/Miss_Trunchbull
2013,67th Tony Awards,/wiki/67th_Tony_Awards,True,Billy Porter,Kinky Boots,Lola / Simon,https://en.wikipedia.org/wiki/Billy_Porter_(entertainer),https://en.wikipedia.org/wiki/Kinky_Boots_(musical),
2013,67th Tony Awards,/wiki/67th_Tony_Awards,False,Santino Fontana,Cinderella,Prince Topher,https://en.wikipedia.org/wiki/Santino_Fontana,https://en.wikipedia.org/wiki/Cinderella_(2013_Broadway_production),
2014,68th Tony Awards,/wiki/68th_Tony_Awards,True,Neil Patrick Harris,Hedwig and the Angry Inch,Hedwig Schmidt,https://en.wikipedia.org/wiki/Neil_Patrick_Harris,https://en.wikipedia.org/wiki/Hedwig_and_the_Angry_Inch_(musical),
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Ramin Karimloo,Les Misérables,Jean Valjean,https://en.wikipedia.org/wiki/Ramin_Karimloo,https://en.wikipedia.org/wiki/Les_Mis%C3%A9rables_(musical),https://en.wikipedia.org/wiki/Jean_Valjean
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Andy Karl,Rocky the Musical,Rocky Balboa,https://en.wikipedia.org/wiki/Andy_Karl,https://en.wikipedia.org/wiki/Rocky_the_Musical,https://en.wikipedia.org/wiki/Rocky_Balboa
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Jefferson Mays,A Gentleman's Guide to Love and Murder,The D'Ysquith Family,https://en.wikipedia.org/wiki/Jefferson_Mays,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder,
2014,68th Tony Awards,/wiki/68th_Tony_Awards,False,Bryce Pinkham,A Gentleman's Guide to Love and Murder,Monty Navarro,https://en.wikipedia.org/wiki/Bryce_Pinkham,https://en.wikipedia.org/wiki/A_Gentleman%27s_Guide_to_Love_and_Murder,
2015,69th Tony Awards,/wiki/69th_Tony_Awards,True,Michael Cerveris,Fun Home,Bruce Bechdel,https://en.wikipedia.org/wiki/Michael_Cerveris,https://en.wikipedia.org/wiki/Fun_Home_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Brian d'Arcy James,Something Rotten!,Nick Bottom,https://en.wikipedia.org/wiki/Brian_d%27Arcy_James,https://en.wikipedia.org/wiki/Something_Rotten!_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Robert Fairchild,An American in Paris,Jerry Mulligan,https://en.wikipedia.org/wiki/Robert_Fairchild,https://en.wikipedia.org/wiki/An_American_in_Paris_(musical),
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Ken Watanabe,The King and I,The King of Siam,https://en.wikipedia.org/wiki/Ken_Watanabe,https://en.wikipedia.org/wiki/The_King_and_I,https://en.wikipedia.org/wiki/Mongkut
2015,69th Tony Awards,/wiki/69th_Tony_Awards,False,Tony Yazbeck,On the Town,Gabey,https://en.wikipedia.org/wiki/Tony_Yazbeck,https://en.wikipedia.org/wiki/On_the_Town_(musical),
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Lin-Manuel Miranda,Hamilton,Alexander Hamilton,https://en.wikipedia.org/wiki/Lin-Manuel_Miranda,https://en.wikipedia.org/wiki/Hamilton_(musical),https://en.wikipedia.org/wiki/Alexander_Hamilton
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Zachary Levi,She Loves Me,Georg Nowack,https://en.wikipedia.org/wiki/Zachary_Levi,https://en.wikipedia.org/wiki/She_Loves_Me,
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Alex Brightman,School of Rock,Dewey Finn,https://en.wikipedia.org/wiki/Alex_Brightman,https://en.wikipedia.org/wiki/School_of_Rock_(musical),
2016,70th Tony Awards,/wiki/70th_Tony_Awards,True,Leslie Odom Jr.,Hamilton,Aaron Burr,https://en.wikipedia.org/wiki/Leslie_Odom_Jr.,https://en.wikipedia.org/wiki/Hamilton_(musical),https://en.wikipedia.org/wiki/Aaron_Burr
2016,70th Tony Awards,/wiki/70th_Tony_Awards,False,Danny Burstein,Fiddler on the Roof,Tevye,https://en.wikipedia.org/wiki/Danny_Burstein,https://en.wikipedia.org/wiki/Fiddler_on_the_Roof,https://en.wikipedia.org/wiki/Tevye
2017,71st Tony Awards,/wiki/71st_Tony_Awards,True,Ben Platt,Dear Evan Hansen,Evan Hansen,https://en.wikipedia.org/wiki/Ben_Platt,https://en.wikipedia.org/wiki/Dear_Evan_Hansen,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Christian Borle,Falsettos,Marvin,https://en.wikipedia.org/wiki/Christian_Borle,https://en.wikipedia.org/wiki/Falsettos,
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Josh Groban,"Natasha, Pierre & The Great Comet of 1812",Pierre Bezukhov,https://en.wikipedia.org/wiki/Josh_Groban,"https://en.wikipedia.org/wiki/Natasha,_Pierre_%26_The_Great_Comet_of_1812",https://en.wikipedia.org/wiki/Pierre_Bezukhov
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,Andy Karl,Groundhog Day,Phil Connors,https://en.wikipedia.org/wiki/Andy_Karl,https://en.wikipedia.org/wiki/Groundhog_Day_(musical),
2017,71st Tony Awards,/wiki/71st_Tony_Awards,False,David Hyde Pierce,"Hello, Dolly!",Horace Vandergelder,https://en.wikipedia.org/wiki/David_Hyde_Pierce,"https://en.wikipedia.org/wiki/Hello,_Dolly!_(musical)",
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,True,Tony Shalhoub,The Band's Visit,Tewfiq Zakaria,https://en.wikipedia.org/wiki/Tony_Shalhoub,https://en.wikipedia.org/wiki/The_Band%27s_Visit_(musical),
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Harry Hadden-Paton,My Fair Lady,Henry Higgins,https://en.wikipedia.org/wiki/Harry_Hadden-Paton,https://en.wikipedia.org/wiki/My_Fair_Lady,
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Joshua Henry,Carousel,Billy Bigelow,https://en.wikipedia.org/wiki/Joshua_Henry,https://en.wikipedia.org/wiki/Carousel_(musical),
2018,72nd Tony Awards,/wiki/72nd_Tony_Awards,False,Ethan Slater,SpongeBob SquarePants,SpongeBob SquarePants,https://en.wikipedia.org/wiki/Ethan_Slater,https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(musical),https://en.wikipedia.org/wiki/SpongeBob_SquarePants_(character)
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Alex Brightman,Beetlejuice,Beetlejuice,https://en.wikipedia.org/wiki/Alex_Brightman,https://en.wikipedia.org/wiki/Beetlejuice_(musical),
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Derrick Baskin,Ain’t Too Proud,Otis Williams,https://en.wikipedia.org/wiki/Derrick_Baskin,https://en.wikipedia.org/wiki/Ain%27t_Too_Proud_(musical),https://en.wikipedia.org/wiki/Otis_Williams
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Damon Daunno,Oklahoma!,Curly McLain,https://en.wikipedia.org/wiki/Damon_Daunno,https://en.wikipedia.org/wiki/Oklahoma!,
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,True,Santino Fontana,Tootsie,Michael Dorsey / Dorothy Michaels,https://en.wikipedia.org/wiki/Santino_Fontana,https://en.wikipedia.org/wiki/Tootsie_(musical),
2019,73rd Tony Awards,/wiki/73rd_Tony_Awards,False,Brooks Ashmanskas,The Prom,Barry Glickman,https://en.wikipedia.org/wiki/Brooks_Ashmanskas,https://en.wikipedia.org/wiki/The_Prom_(musical),
2020,74th Tony Awards,/wiki/74th_Tony_Awards,False,Aaron Tveit,Moulin Rouge! The Musical,Christian,https://en.wikipedia.org/wiki/Aaron_Tveit,https://en.wikipedia.org/wiki/Moulin_Rouge!_(musical),
